,who,is,expected,to,lead,the,family,in,spiritual,mentorship,?
the,0.3733934462070465,0.5823672413825989,0.3108554780483246,0.535392165184021,0.21995973587036133,1.0,0.2394849956035614,0.6662389636039734,0.2149372547864914,0.24017667770385742,0.22068053483963013
emphasis,0.1335449069738388,0.18040892481803894,0.2709102928638458,0.22717075049877167,0.2676011919975281,0.19833582639694214,0.08129742741584778,0.2321949303150177,0.30415070056915283,0.3372918665409088,0.2750280499458313
on,0.2340552806854248,0.3635730445384979,0.27832189202308655,0.41031414270401,0.18420197069644928,0.5107308030128479,0.19757194817066193,0.46853652596473694,0.17063623666763306,0.2458476424217224,0.2714994251728058
spiritual,0.26703861355781555,0.1757679283618927,0.25572410225868225,0.24096204340457916,0.1750570833683014,0.2149372547864914,0.158342182636261,0.1903325319290161,1.0,0.3217136859893799,0.1801415979862213
mentorship,0.3553404211997986,0.1776241511106491,0.2543676197528839,0.3409256339073181,0.18411771953105927,0.24017667770385742,0.12059915065765381,0.2141905128955841,0.3217136859893799,1.0000001192092896,0.37482789158821106
in,0.2792111933231354,0.5394441485404968,0.2959997057914734,0.45010748505592346,0.2055644989013672,0.6662389636039734,0.2165997177362442,1.0,0.1903325319290161,0.2141905128955841,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,0.3108554780483246,0.535392165184021,0.21995973587036133,1.0,0.2394849956035614,0.6662389636039734,0.2149372547864914,0.24017667770385742,0.22068053483963013
lds,0.2545211613178253,0.13198885321617126,0.20013761520385742,0.1840296983718872,0.13994088768959045,0.21610027551651,0.16286726295948029,0.1740175187587738,0.2216624915599823,0.18749958276748657,0.23273463547229767
church,0.19418756663799286,0.203276589512825,0.09576874226331711,0.24439501762390137,0.08152201771736145,0.23846197128295898,0.2087540179491043,0.2493300437927246,0.3318040370941162,0.25213363766670227,0.18081501126289368
is,0.24293622374534607,1.0,0.20087631046772003,0.42745086550712585,0.18414030969142914,0.5823672413825989,0.20392227172851562,0.5394441485404968,0.1757679283618927,0.1776241511106491,0.22961433231830597
similar,0.20777717232704163,0.28929588198661804,0.24570083618164062,0.2888135313987732,0.1403181403875351,0.2963123023509979,0.18669655919075012,0.28091391921043396,0.1767560988664627,0.18488754332065582,0.23309361934661865
to,0.42656609416007996,0.42745086550712585,0.42255479097366333,1.0,0.23490607738494873,0.535392165184021,0.21285007894039154,0.45010748505592346,0.24096204340457916,0.3409256339073181,0.29463258385658264
