,who,wrote,``,the,hidden,prosperity,of,the,poor,'',?
the,0.3733934462070465,0.2426944375038147,0.029072100296616554,1.0,0.2697983384132385,0.29066985845565796,0.733189046382904,1.0,0.21093174815177917,0.041273195296525955,0.22068053483963013
debate,0.19672362506389618,0.1739228218793869,-0.014278445392847061,0.2608932852745056,0.1275743693113327,0.20005011558532715,0.2139439731836319,0.2608932852745056,0.15502670407295227,0.05401964485645294,0.227684885263443
is,0.24293622374534607,0.23763930797576904,0.058766357600688934,0.5823672413825989,0.14082451164722443,0.17147988080978394,0.4854315221309662,0.5823672413825989,0.18218109011650085,0.0793738141655922,0.22961433231830597
summarized,0.23090383410453796,0.2705983817577362,0.10370694100856781,0.2575894892215729,0.19536899030208588,0.13095982372760773,0.2152964025735855,0.2575894892215729,0.1933611035346985,0.128043532371521,0.26025301218032837
in,0.2792111933231354,0.2898900806903839,0.04765888676047325,0.6662389636039734,0.1708582192659378,0.21032258868217468,0.5696388483047485,0.6662389636039734,0.23408232629299164,0.07432962208986282,0.20430970191955566
``,0.02397952415049076,0.0734158530831337,1.0,0.029072100296616554,-0.029363570734858513,0.028341811150312424,0.06780257821083069,0.029072100296616554,-0.023418420925736427,-0.09173435717821121,0.0685480609536171
the,0.3733934462070465,0.2426944375038147,0.029072100296616554,1.0,0.2697983384132385,0.29066985845565796,0.733189046382904,1.0,0.21093174815177917,0.041273195296525955,0.22068053483963013
hidden,0.20753099024295807,0.08188585937023163,-0.029363570734858513,0.2697983384132385,1.0,0.14499594271183014,0.16790804266929626,0.2697983384132385,0.12040732800960541,0.1028464287519455,0.22134476900100708
prosperity,0.2036919891834259,0.12267781049013138,0.028341811150312424,0.29066985845565796,0.14499594271183014,1.0000001192092896,0.27180835604667664,0.29066985845565796,0.33626818656921387,-0.06587032973766327,0.1755954772233963
of,0.2827862501144409,0.30241408944129944,0.06780257821083069,0.733189046382904,0.16790804266929626,0.27180835604667664,1.0,0.733189046382904,0.23458099365234375,0.13035868108272552,0.1826142966747284
the,0.3733934462070465,0.2426944375038147,0.029072100296616554,1.0,0.2697983384132385,0.29066985845565796,0.733189046382904,1.0,0.21093174815177917,0.041273195296525955,0.22068053483963013
poor,0.30099374055862427,0.20200729370117188,-0.023418420925736427,0.21093174815177917,0.12040732800960541,0.33626818656921387,0.23458099365234375,0.21093174815177917,1.0,0.08478884398937225,0.12937016785144806
'',0.024401003494858742,0.019677795469760895,-0.09173435717821121,0.041273195296525955,0.1028464287519455,-0.06587032973766327,0.13035868108272552,0.041273195296525955,0.08478884398937225,1.0,0.018684765323996544
by,0.39727845788002014,0.2766735553741455,-0.030704375356435776,0.4408751428127289,0.18196332454681396,0.16700772941112518,0.3646814823150635,0.4408751428127289,0.15843991935253143,-0.010275691747665405,0.17966607213020325
journalist,0.2652316093444824,0.35501551628112793,0.06694222241640091,0.1387142688035965,0.07340362668037415,0.15009517967700958,0.10838672518730164,0.1387142688035965,0.14698655903339386,-0.07312441617250443,0.09252665191888809
thomas,0.26103657484054565,0.25712817907333374,0.03435184434056282,0.23505409061908722,0.062314506620168686,0.07871481031179428,0.18699592351913452,0.23505409061908722,0.14364475011825562,-0.0363897867500782,0.16133050620555878
b.,-0.04261862486600876,-0.07626620680093765,0.005547747481614351,-0.008502916432917118,-0.0026124226860702038,0.018351035192608833,-0.0008460881654173136,-0.008502916432917118,-0.021848861128091812,-0.003750094911083579,-0.032647255808115005
edsall,0.23504526913166046,0.23334266245365143,-0.07345466315746307,0.3679543137550354,0.15016846358776093,0.18791228532791138,0.3581623136997223,0.3679543137550354,0.17237956821918488,0.016443584114313126,0.18097791075706482
.,0.3541337847709656,0.2480330765247345,0.05720457062125206,0.5934505462646484,0.24433697760105133,0.18124070763587952,0.5352458953857422,0.5934505462646484,0.2311597615480423,-0.07181349396705627,0.4130953550338745
