,crew,members,were,required,to,wear,what,type,of,space,suit,during,testing,after,the,incident,?
crew,1.0,0.3809862732887268,0.2108691781759262,0.24122337996959686,0.21819929778575897,0.1796460598707199,0.17533187568187714,0.14148186147212982,0.20427432656288147,0.23906563222408295,0.19764278829097748,0.22457106411457062,0.18300510942935944,0.21056842803955078,0.25329816341400146,0.26743414998054504,0.16586194932460785
members,0.3809862732887268,0.9999998807907104,0.30637234449386597,0.17882193624973297,0.26617446541786194,0.2090926468372345,0.16873176395893097,0.1498030573129654,0.28120753169059753,0.06040218099951744,0.06495097279548645,0.24851804971694946,0.09900804609060287,0.2411569207906723,0.3321719169616699,0.15480080246925354,0.10212311148643494
would,0.175220787525177,0.27080827951431274,0.37426912784576416,0.40757498145103455,0.5965728163719177,0.2568493187427521,0.45766422152519226,0.13977667689323425,0.3353942930698395,0.2089509218931198,0.22283904254436493,0.25707411766052246,0.25950556993484497,0.31067174673080444,0.4133751392364502,0.31992724537849426,0.37178951501846313
also,0.1947569102048874,0.2781495451927185,0.31877249479293823,0.2510998845100403,0.5348826050758362,0.25170955061912537,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.17468027770519257,0.20079143345355988,0.4275238513946533,0.24603553116321564,0.33205533027648926,0.6021018624305725,0.25317779183387756,0.21848613023757935
exclusively,0.16360120475292206,0.2143988013267517,0.24191062152385712,0.25332289934158325,0.2837362289428711,0.1822149008512497,0.1829550862312317,0.14147184789180756,0.21564675867557526,0.1154104694724083,0.19825264811515808,0.2558733820915222,0.2167397141456604,0.19928321242332458,0.3155750334262848,0.15101741254329681,0.09723977744579315
wear,0.1796460598707199,0.2090926468372345,0.32153943181037903,0.25300610065460205,0.28873685002326965,1.0,0.21155497431755066,0.21845313906669617,0.24815733730793,0.08885808289051056,0.41571298241615295,0.2433840036392212,0.15890932083129883,0.16023945808410645,0.27011215686798096,0.12467598915100098,0.1366986185312271
modified,0.11198300123214722,0.14920289814472198,0.24391725659370422,0.3049645721912384,0.23477645218372345,0.16309668123722076,0.1667574942111969,0.20619618892669678,0.19437947869300842,0.1683148592710495,0.2185080498456955,0.1244296208024025,0.3317371606826782,0.14898139238357544,0.25787946581840515,0.11787131428718567,0.2008686512708664
",",0.2217068374156952,0.2357054501771927,0.36755475401878357,0.22653338313102722,0.44245919585227966,0.2098228484392166,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2285580337047577,0.21944370865821838,0.3225448727607727,0.18808996677398682,0.38860568404197693,0.4933079481124878,0.2505533993244171,0.31091248989105225
fire-resistant,0.25283631682395935,0.19988858699798584,0.2386266589164734,0.2551569640636444,0.2606329023838043,0.23376679420471191,0.2150782346725464,0.18834231793880463,0.23351843655109406,0.1685183346271515,0.22522959113121033,0.23662082850933075,0.22916387021541595,0.1626977026462555,0.24097640812397003,0.2107778787612915,0.13104087114334106
block,0.1343916654586792,0.06024222820997238,0.09141441434621811,0.22336746752262115,0.30297139286994934,0.13135993480682373,0.33229514956474304,0.17057344317436218,0.1477721929550171,0.14749902486801147,0.08441198617219925,0.16038095951080322,0.22742795944213867,0.16278640925884247,0.20056472718715668,0.21798008680343628,0.27211859822273254
ii,0.15660187602043152,0.15946169197559357,0.20646095275878906,0.09873855859041214,0.20368696749210358,0.09720929712057114,0.13866674900054932,0.13462698459625244,0.2844806909561157,0.07207868993282318,0.08113660663366318,0.32448866963386536,0.1406821608543396,0.20194965600967407,0.2631464898586273,0.11669731885194778,0.11928234249353409
space,0.23906563222408295,0.06040218099951744,0.15497688949108124,0.23494939506053925,0.22712917625904083,0.08885808289051056,0.20525942742824554,0.19901056587696075,0.21300287544727325,1.0000001192092896,0.2503943145275116,0.11470604687929153,0.22454731166362762,0.15923935174942017,0.24495907127857208,0.18559883534908295,0.1885536164045334
suits,0.1691911518573761,0.1667858362197876,0.26320192217826843,0.3056434988975525,0.22097660601139069,0.5240257978439331,0.19080564379692078,0.20885436236858368,0.2601613402366638,0.16642162203788757,0.7464051842689514,0.20862919092178345,0.16020606458187103,0.1332836151123047,0.2673831284046173,0.15087634325027466,0.12951350212097168
",",0.2217068374156952,0.2357054501771927,0.36755475401878357,0.22653338313102722,0.44245919585227966,0.2098228484392166,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2285580337047577,0.21944370865821838,0.3225448727607727,0.18808996677398682,0.38860568404197693,0.4933079481124878,0.2505533993244171,0.31091248989105225
and,0.22802916169166565,0.2994427978992462,0.42175528407096863,0.25104308128356934,0.48971283435821533,0.21877847611904144,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.22901733219623566,0.24078676104545593,0.36462149024009705,0.218893900513649,0.3765919506549835,0.5171257257461548,0.19273918867111206,0.20544172823429108
would,0.175220787525177,0.27080827951431274,0.37426912784576416,0.40757498145103455,0.5965728163719177,0.2568493187427521,0.45766422152519226,0.13977667689323425,0.3353942930698395,0.2089509218931198,0.22283904254436493,0.25707411766052246,0.25950556993484497,0.31067174673080444,0.4133751392364502,0.31992724537849426,0.37178951501846313
be,0.11320306360721588,0.20344331860542297,0.4064064621925354,0.3677930235862732,0.4972836375236511,0.2583579123020172,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.21281394362449646,0.25384601950645447,0.24990400671958923,0.2693830132484436,0.32360681891441345,0.4248143136501312,0.19421468675136566,0.3324260413646698
designated,0.14741435647010803,0.10214455425739288,0.11946389079093933,0.23874661326408386,0.194892019033432,0.20904937386512756,0.06610333919525146,0.22202736139297485,0.22357919812202454,0.08055661618709564,0.15340210497379303,0.1416691541671753,0.11468324810266495,0.17208169400691986,0.23178240656852722,0.10089410096406937,0.1318070888519287
by,0.176463782787323,0.24919851124286652,0.4406847059726715,0.21564500033855438,0.33534231781959534,0.15099391341209412,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.16067887842655182,0.1115850955247879,0.3220438063144684,0.1932322233915329,0.41259682178497314,0.4408751428127289,0.20485974848270416,0.17966607213020325
the,0.25329816341400146,0.3321719169616699,0.3906462490558624,0.27848219871520996,0.535392165184021,0.27011215686798096,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24495907127857208,0.21465148031711578,0.4838213622570038,0.25075584650039673,0.4565047025680542,1.0,0.248931884765625,0.22068053483963013
block,0.1343916654586792,0.06024222820997238,0.09141441434621811,0.22336746752262115,0.30297139286994934,0.13135993480682373,0.33229514956474304,0.17057344317436218,0.1477721929550171,0.14749902486801147,0.08441198617219925,0.16038095951080322,0.22742795944213867,0.16278640925884247,0.20056472718715668,0.21798008680343628,0.27211859822273254
ii,0.15660187602043152,0.15946169197559357,0.20646095275878906,0.09873855859041214,0.20368696749210358,0.09720929712057114,0.13866674900054932,0.13462698459625244,0.2844806909561157,0.07207868993282318,0.08113660663366318,0.32448866963386536,0.1406821608543396,0.20194965600967407,0.2631464898586273,0.11669731885194778,0.11928234249353409
titles,0.13537399470806122,0.2020302563905716,0.25251901149749756,0.20224545896053314,0.24865800142288208,0.1568916290998459,0.1285797506570816,0.06262612342834473,0.24191442131996155,0.10157568752765656,0.1625436693429947,0.1342671513557434,0.12274389714002609,0.19794759154319763,0.28764477372169495,0.10099618136882782,0.19587254524230957
",",0.2217068374156952,0.2357054501771927,0.36755475401878357,0.22653338313102722,0.44245919585227966,0.2098228484392166,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2285580337047577,0.21944370865821838,0.3225448727607727,0.18808996677398682,0.38860568404197693,0.4933079481124878,0.2505533993244171,0.31091248989105225
regardless,0.12638331949710846,0.13416920602321625,0.26324817538261414,0.42379534244537354,0.3453742563724518,0.1886519491672516,0.4121691882610321,0.236204594373703,0.3080834746360779,0.22998550534248352,0.17568816244602203,0.22110247611999512,0.23097103834152222,0.15564335882663727,0.3184875249862671,0.21509036421775818,0.33928561210632324
of,0.20427432656288147,0.28120753169059753,0.34038281440734863,0.26183071732521057,0.41548454761505127,0.24815733730793,0.33290785551071167,0.18112817406654358,1.0,0.21300287544727325,0.15855711698532104,0.3869180977344513,0.2067517340183258,0.3867455720901489,0.733189046382904,0.1904071718454361,0.1826142966747284
whether,0.06719255447387695,0.189697727560997,0.1805301159620285,0.3171848654747009,0.43423423171043396,0.169893279671669,0.5516265630722046,0.27249613404273987,0.24392437934875488,0.14554868638515472,0.20272447168827057,0.23126763105392456,0.29249152541160583,0.2481057047843933,0.3211745023727417,0.16229602694511414,0.3150278329849243
a,0.15305642783641815,0.1873859316110611,0.17203083634376526,0.2891559302806854,0.45503583550453186,0.20639316737651825,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.20296213030815125,0.24915006756782532,0.30341604351997375,0.22979743778705597,0.3831600844860077,0.5829201340675354,0.22516049444675446,0.23916715383529663
