,what,feature,normally,allows,the,tardis,to,disguise,itself,?
the,0.42745697498321533,0.3053930699825287,0.3523634970188141,0.2995605766773224,1.0,0.29145124554634094,0.535392165184021,0.24948851764202118,0.45971640944480896,0.22068053483963013
tardis,0.21426796913146973,0.1310686618089676,0.1546551138162613,0.21458517014980316,0.29145124554634094,1.0000001192092896,0.2524881064891815,0.31814810633659363,0.22945711016654968,0.14893783628940582
has,0.20338068902492523,0.2753368616104126,0.33081212639808655,0.28137344121932983,0.4177538752555847,0.19771789014339447,0.3619994819164276,0.15411612391471863,0.3172355592250824,0.15994466841220856
a,0.3320399522781372,0.2832804024219513,0.37473243474960327,0.31463325023651123,0.5829201340675354,0.2688678205013275,0.45503583550453186,0.23856495320796967,0.4065200984477997,0.23916715383529663
``,0.008517155423760414,-0.031453344970941544,0.0858006402850151,0.0647425502538681,0.029072100296616554,-0.048330437391996384,0.06720756739377975,-0.018813619390130043,0.11195911467075348,0.0685480609536171
chameleon,0.25989893078804016,0.25779101252555847,0.1753188818693161,0.18200410902500153,0.281354159116745,0.3397943377494812,0.2077050358057022,0.27834218740463257,0.17148055136203766,0.24630454182624817
circuit,0.1518143117427826,0.16780784726142883,0.20296664535999298,0.2201613336801529,0.25798067450523376,0.21643367409706116,0.24521300196647644,0.16435392200946808,0.21299968659877777,0.058349963277578354
'',0.08143015950918198,0.09531467407941818,-0.00012064445036230609,-0.04236505553126335,0.041273195296525955,0.015524344518780708,-0.009905828163027763,-0.0031568098347634077,-0.05512392148375511,0.018684765323996544
which,0.5261979103088379,0.35925614833831787,0.49941548705101013,0.3681032955646515,0.6521818041801453,0.2889474630355835,0.5345056653022766,0.23303934931755066,0.5675862431526184,0.25814583897590637
normally,0.30112072825431824,0.17363998293876648,1.0,0.4023895263671875,0.3523634970188141,0.1546551138162613,0.3993734121322632,0.19679993391036987,0.3542584478855133,0.20675471425056458
allows,0.1957017332315445,0.3186245858669281,0.4023895263671875,0.9999999403953552,0.2995605766773224,0.21458517014980316,0.4045441448688507,0.20275375247001648,0.28513097763061523,0.16094227135181427
the,0.42745697498321533,0.3053930699825287,0.3523634970188141,0.2995605766773224,1.0,0.29145124554634094,0.535392165184021,0.24948851764202118,0.45971640944480896,0.22068053483963013
machine,0.23075932264328003,0.11881570518016815,0.23945964872837067,0.260278582572937,0.22788187861442566,0.24851280450820923,0.1634126603603363,0.2121291160583496,0.2801668643951416,0.17587624490261078
to,0.455847829580307,0.25759002566337585,0.3993734121322632,0.4045441448688507,0.535392165184021,0.2524881064891815,1.0,0.329174280166626,0.340527206659317,0.29463258385658264
take,0.3275112509727478,0.16314232349395752,0.2763531506061554,0.272286981344223,0.31620436906814575,0.2930581569671631,0.4075521230697632,0.28058966994285583,0.25037431716918945,0.21897350251674652
on,0.34226128458976746,0.29385992884635925,0.27004700899124146,0.2543024718761444,0.5107308030128479,0.1266762912273407,0.41031414270401,0.14072498679161072,0.2864828109741211,0.2714994251728058
the,0.42745697498321533,0.3053930699825287,0.3523634970188141,0.2995605766773224,1.0,0.29145124554634094,0.535392165184021,0.24948851764202118,0.45971640944480896,0.22068053483963013
appearance,0.17546585202217102,0.3182389736175537,0.1666983813047409,0.18035894632339478,0.2678116261959076,0.21440672874450684,0.2557435631752014,0.2787399888038635,0.14588265120983124,0.17315366864204407
of,0.33290785551071167,0.2117752879858017,0.25552743673324585,0.2623075544834137,0.733189046382904,0.1735842525959015,0.41548454761505127,0.22172637283802032,0.3157202899456024,0.1826142966747284
local,0.18981902301311493,0.15193867683410645,0.23661044239997864,0.16977450251579285,0.2130540907382965,0.11640388518571854,0.2207600325345993,0.17560553550720215,0.2053416669368744,0.15022775530815125
objects,0.24020016193389893,0.18246464431285858,0.3278973400592804,0.2928754389286041,0.24716724455356598,0.2307683378458023,0.2695634961128235,0.29158660769462585,0.33516761660575867,0.15479016304016113
as,0.31749409437179565,0.26915058493614197,0.3794248700141907,0.20692208409309387,0.48381632566452026,0.1721082329750061,0.42092081904411316,0.3051097095012665,0.2946869432926178,0.27043893933296204
a,0.3320399522781372,0.2832804024219513,0.37473243474960327,0.31463325023651123,0.5829201340675354,0.2688678205013275,0.45503583550453186,0.23856495320796967,0.4065200984477997,0.23916715383529663
disguise,0.2735639810562134,0.12687364220619202,0.19679993391036987,0.20275375247001648,0.24948851764202118,0.31814810633659363,0.329174280166626,1.0000001192092896,0.24426163733005524,0.1953258365392685
.,0.3567904531955719,0.25145211815834045,0.33750930428504944,0.2512013018131256,0.5934505462646484,0.224110946059227,0.4645031690597534,0.20372872054576874,0.28960058093070984,0.4130953550338745
