,what,weapon,did,marco,pole,report,as,the,cause,of,genghis,khan,'s,death,?
the,0.42745697498321533,0.23810851573944092,0.34736719727516174,0.19851668179035187,0.18963728845119476,0.2556745111942291,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.21438048779964447,0.22068053483963013
galician–volhynian,0.22678421437740326,0.10418934375047684,0.167837455868721,0.29161301255226135,0.19976572692394257,0.18490254878997803,0.30344122648239136,0.33427754044532776,0.19169478118419647,0.28024426102638245,0.3146105706691742,0.23041217029094696,0.05190383270382881,0.1335362046957016,0.23394012451171875
chronicle,0.22029371559619904,0.14016419649124146,0.16223694384098053,0.1576964557170868,0.14011473953723907,0.2637237310409546,0.177703395485878,0.264157772064209,0.16454698145389557,0.2229142189025879,0.3433689773082733,0.15396249294281006,-0.09358597546815872,0.17500777542591095,0.12292848527431488
alleges,0.21817032992839813,0.1896057277917862,0.21461139619350433,0.06785077601671219,0.11155354231595993,0.2971210181713104,0.15711989998817444,0.22353661060333252,0.2915504574775696,0.30536678433418274,0.13099850714206696,0.07839880138635635,0.04381883889436722,0.20489460229873657,0.20196419954299927
he,0.3114890456199646,0.23669371008872986,0.3292143940925598,0.23012907803058624,0.20032376050949097,0.20774489641189575,0.33787044882774353,0.4571082592010498,0.18035364151000977,0.38706058263778687,0.28288567066192627,0.24136358499526978,0.024063590914011,0.2806733548641205,0.2089974731206894
was,0.22111038863658905,0.21395646035671234,0.41399896144866943,0.20019342005252838,0.1241452544927597,0.19926786422729492,0.3677520453929901,0.48711544275283813,0.1555917114019394,0.4069072902202606,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.28516459465026855,0.18412111699581146
killed,0.1862335354089737,0.26575565338134766,0.24296797811985016,0.16797472536563873,0.1199360266327858,0.24100957810878754,0.18260051310062408,0.23115427792072296,0.2644696533679962,0.2589981257915497,0.2986186742782593,0.15405850112438202,-0.004342961125075817,0.34693118929862976,0.17928971350193024
by,0.2455483376979828,0.17362858355045319,0.18574509024620056,0.12466078251600266,0.1205916553735733,0.2265174388885498,0.3815547823905945,0.4408751428127289,0.20837076008319855,0.3646814823150635,0.22102472186088562,0.13558374345302582,-0.010884488001465797,0.23285827040672302,0.17966607213020325
the,0.42745697498321533,0.23810851573944092,0.34736719727516174,0.19851668179035187,0.18963728845119476,0.2556745111942291,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.21438048779964447,0.22068053483963013
western,0.2454150915145874,0.09327059239149094,0.15773870050907135,0.1353999674320221,0.014818219467997551,0.1035938560962677,0.23040111362934113,0.37920868396759033,0.07355423271656036,0.32974064350128174,0.28880131244659424,0.1462325006723404,0.06932425498962402,0.09194682538509369,0.17439141869544983
