,zoning,requirements,",",environmental,impact,",",budgeting,",",and,logistics,are,things,who,should,consider,?
for,0.2948586046695709,0.37713998556137085,0.4464869201183319,0.2977549731731415,0.24428735673427582,0.4464869201183319,0.30814796686172485,0.4464869201183319,0.5064792633056641,0.2541704475879669,0.3895993232727051,0.35164210200309753,0.37110671401023865,0.3225788176059723,0.3704085350036621,0.264628142118454
the,0.36641228199005127,0.26905253529548645,0.4933079481124878,0.23935803771018982,0.22336715459823608,0.4933079481124878,0.28400278091430664,0.4933079481124878,0.5171257257461548,0.2708587646484375,0.40399202704429626,0.30825191736221313,0.3733934462070465,0.32399165630340576,0.33438587188720703,0.22068053483963013
successful,0.034508559852838516,0.14647728204727173,0.28826844692230225,0.16789983212947845,0.1409066915512085,0.28826844692230225,0.23502185940742493,0.28826844692230225,0.2795376479625702,0.24890990555286407,0.18366068601608276,0.15981897711753845,0.22461774945259094,0.15702667832374573,0.2174375355243683,0.1132197454571724
execution,0.4027694761753082,0.19531269371509552,0.214806467294693,0.15906289219856262,0.12922272086143494,0.214806467294693,0.22129997611045837,0.214806467294693,0.16205447912216187,0.18692491948604584,0.12313800305128098,0.13793796300888062,0.1693163961172104,0.24479524791240692,0.1798878312110901,0.15878841280937195
of,0.36453887820243835,0.2509140372276306,0.4946078956127167,0.29166820645332336,0.21139270067214966,0.4946078956127167,0.2713088393211365,0.4946078956127167,0.5116966962814331,0.2129259556531906,0.39081433415412903,0.2970648407936096,0.2827862501144409,0.23792634904384613,0.3074679970741272,0.1826142966747284
a,0.2683696448802948,0.24776260554790497,0.427140474319458,0.22703608870506287,0.24985632300376892,0.427140474319458,0.2263937145471573,0.427140474319458,0.3739250600337982,0.2398526668548584,0.265255331993103,0.33201509714126587,0.36608949303627014,0.2715131938457489,0.308129221200943,0.23916715383529663
project,0.15422305464744568,0.2176559418439865,0.24875426292419434,0.2753702700138092,0.2518846094608307,0.24875426292419434,0.3292572498321533,0.24875426292419434,0.23249590396881104,0.2179889678955078,0.19378727674484253,0.24415136873722076,0.2255522608757019,0.2736268937587738,0.2837510406970978,0.30569031834602356
",",0.3029756247997284,0.29181739687919617,1.0000001192092896,0.2779713571071625,0.2012101411819458,1.0000001192092896,0.2289411425590515,1.0000001192092896,0.6633074283599854,0.2355538159608841,0.4062570035457611,0.3149048686027527,0.3365725874900818,0.2706286907196045,0.30831751227378845,0.31091248989105225
effective,0.28225043416023254,0.29214170575141907,0.2531147599220276,0.32212063670158386,0.28527575731277466,0.2531147599220276,0.29688096046447754,0.2531147599220276,0.2838481068611145,0.27912411093711853,0.23313076794147491,0.23137632012367249,0.18596899509429932,0.290885329246521,0.272868812084198,0.21825028955936432
planning,0.3574792742729187,0.22514210641384125,0.26324963569641113,0.3146239221096039,0.1661188006401062,0.26324963569641113,0.41077739000320435,0.26324963569641113,0.3125394880771637,0.3731420636177063,0.12888304889202118,0.2928215265274048,0.2241315394639969,0.22512097656726837,0.26573657989501953,0.1869431883096695
is,0.2600443959236145,0.23105266690254211,0.4691906273365021,0.2392110973596573,0.18670059740543365,0.4691906273365021,0.16283293068408966,0.4691906273365021,0.3859752118587494,0.15845878422260284,0.5330929756164551,0.27847638726234436,0.24293622374534607,0.33635082840919495,0.32138293981552124,0.22961433231830597
essential,0.2858790159225464,0.3507101535797119,0.238135427236557,0.3088759779930115,0.17023897171020508,0.238135427236557,0.21112032234668732,0.238135427236557,0.29929104447364807,0.2892565429210663,0.2622009217739105,0.27964282035827637,0.1409582942724228,0.29965275526046753,0.2958219647407532,0.17944687604904175
.,0.2942599654197693,0.25201094150543213,0.6812511086463928,0.2907167375087738,0.2026742696762085,0.6812511086463928,0.24563895165920258,0.6812511086463928,0.588965117931366,0.22109755873680115,0.3452940285205841,0.345660001039505,0.3541337847709656,0.3516756594181061,0.26817744970321655,0.4130953550338745
