,after,apartheid,",",what,types,of,schools,are,referred,to,as,``,model,c,'',schools,?
following,0.39623188972473145,0.12680640816688538,0.27101513743400574,0.2506418824195862,0.10304032266139984,0.3576679527759552,0.20424950122833252,0.20437854528427124,0.19409345090389252,0.31711265444755554,0.39620932936668396,0.04280305653810501,0.09100474417209625,0.10553339868783951,0.04169570282101631,0.20424950122833252,0.1555173695087433
the,0.4565047025680542,0.2427075356245041,0.4933079481124878,0.42745697498321533,0.23509301245212555,0.733189046382904,0.22905772924423218,0.40399202704429626,0.3088674545288086,0.535392165184021,0.48381632566452026,0.029072100296616554,0.14028635621070862,0.17891426384449005,0.041273195296525955,0.22905772924423218,0.22068053483963013
transition,0.21910977363586426,0.3364259600639343,0.16835354268550873,0.26982825994491577,0.20479226112365723,0.27408748865127563,0.16901172697544098,0.2190500795841217,0.2304871678352356,0.21985375881195068,0.3099253177642822,0.05524216219782829,0.1697556972503662,0.14880388975143433,0.031061707064509392,0.16901172697544098,0.15479432046413422
to,0.37890323996543884,0.22097185254096985,0.44245919585227966,0.455847829580307,0.20054484903812408,0.41548454761505127,0.2362271547317505,0.3504326641559601,0.22845174372196198,1.0,0.42092081904411316,0.06720756739377975,0.187554731965065,0.1638970822095871,-0.009905828163027763,0.2362271547317505,0.29463258385658264
democracy,0.16875281929969788,0.434444785118103,0.2104731798171997,0.22238294780254364,0.0763431265950203,0.2194477766752243,0.3139505982398987,0.15860235691070557,0.0938241183757782,0.1917584091424942,0.16072523593902588,0.07051009684801102,0.10049842298030853,0.04380504786968231,-0.0740191787481308,0.3139505982398987,0.20770417153835297
",",0.38860568404197693,0.237588033080101,1.0000001192092896,0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2760516405105591,0.4062570035457611,0.2511569857597351,0.44245919585227966,0.48816442489624023,0.09681109338998795,0.244965597987175,0.2580876350402832,-0.037358131259679794,0.2760516405105591,0.31091248989105225
the,0.4565047025680542,0.2427075356245041,0.4933079481124878,0.42745697498321533,0.23509301245212555,0.733189046382904,0.22905772924423218,0.40399202704429626,0.3088674545288086,0.535392165184021,0.48381632566452026,0.029072100296616554,0.14028635621070862,0.17891426384449005,0.041273195296525955,0.22905772924423218,0.22068053483963013
legal,0.18808290362358093,0.32918626070022583,0.24151813983917236,0.26388198137283325,0.15383343398571014,0.2720220685005188,0.16980744898319244,0.15840981900691986,0.19589531421661377,0.2818027436733246,0.2512562870979309,0.03657763451337814,0.1726134717464447,0.13828329741954803,0.0160490944981575,0.16980744898319244,0.2143220454454422
form,0.23307928442955017,0.11969269067049026,0.21805599331855774,0.15868011116981506,0.35012927651405334,0.29600051045417786,0.1430789679288864,0.29983413219451904,0.26163753867149353,0.2772196829319,0.24710296094417572,0.11812715977430344,0.16795389354228973,0.11740915477275848,-0.04621269181370735,0.1430789679288864,0.1463010311126709
of,0.3867455720901489,0.2410830557346344,0.4946078956127167,0.33290785551071167,0.2447618544101715,1.0,0.265506386756897,0.39081433415412903,0.317892849445343,0.41548454761505127,0.3886612355709076,0.06780257821083069,0.18271391093730927,0.1682119220495224,0.13035868108272552,0.265506386756897,0.1826142966747284
``,0.040442656725645065,0.1546294242143631,0.09681109338998795,0.008517155423760414,0.001780139748007059,0.06780257821083069,0.019756430760025978,0.12624181807041168,0.017554139718413353,0.06720756739377975,0.03910288214683533,1.0,-0.007006587460637093,0.09605105966329575,-0.09173435717821121,0.019756430760025978,0.0685480609536171
model,0.08974006026983261,0.1410120129585266,0.244965597987175,0.2303347885608673,0.1868731528520584,0.18271391093730927,0.08655571192502975,0.07012248039245605,0.15774770081043243,0.187554731965065,0.21406425535678864,-0.007006587460637093,1.0000001192092896,0.18930010497570038,0.06939558684825897,0.08655571192502975,0.14843042194843292
c,0.14801627397537231,0.10708346217870712,0.2580876350402832,0.13697408139705658,0.11429152637720108,0.1682119220495224,0.05441313982009888,0.14201436936855316,0.17533119022846222,0.1638970822095871,0.1792764812707901,0.09605105966329575,0.18930010497570038,1.0,0.00791934598237276,0.05441313982009888,0.14264722168445587
'',-0.08605624735355377,-0.026032837107777596,-0.037358131259679794,0.08143015950918198,-0.006088451948016882,0.13035868108272552,0.07826808094978333,0.0263817198574543,0.10532526671886444,-0.009905828163027763,0.006628023460507393,-0.09173435717821121,0.06939558684825897,0.00791934598237276,1.0,0.07826808094978333,0.018684765323996544
was,0.49306565523147583,0.2379744052886963,0.45456063747406006,0.22111038863658905,0.0920981764793396,0.4069072902202606,0.19736053049564362,0.3076191842556,0.2664481997489929,0.3636345863342285,0.3677520453929901,-0.012679691426455975,0.21753697097301483,0.19621117413043976,0.04456103965640068,0.19736053049564362,0.18412111699581146
abolished,0.26581138372421265,0.2976755201816559,0.2612350583076477,0.16060853004455566,0.09099480509757996,0.3066045939922333,0.20263174176216125,0.1314483880996704,0.26034289598464966,0.15845997631549835,0.21803916990756989,0.1074255108833313,0.08522791415452957,0.08945836871862411,-0.004897992126643658,0.20263174176216125,0.14427442848682404
