,what,department,did,kublai,create,to,train,doctors,?
kublai,0.24627302587032318,0.09283973276615143,0.2875992953777313,0.9999999403953552,0.12843799591064453,0.2918815314769745,0.20865778625011444,0.12164764106273651,0.14562560617923737
created,0.20714101195335388,0.2722926735877991,0.26176875829696655,0.09231842309236526,0.6079657673835754,0.2592601478099823,0.09075652807950974,0.16340485215187073,0.21177415549755096
the,0.42745697498321533,0.32582083344459534,0.34736719727516174,0.32886171340942383,0.25265660881996155,0.535392165184021,0.22828160226345062,0.24499839544296265,0.22068053483963013
imperial,0.09280271828174591,0.1338888704776764,0.16254396736621857,0.33757176995277405,0.15352967381477356,0.20807525515556335,0.15345405042171478,0.12778887152671814,0.10900196433067322
academy,0.11844556778669357,0.25721821188926697,0.16967160999774933,0.17130747437477112,0.11961369961500168,0.17879998683929443,0.21556955575942993,0.1637306958436966,0.1340850442647934
of,0.33290785551071167,0.3181971311569214,0.2513895630836487,0.231930211186409,0.23675619065761566,0.41548454761505127,0.16048036515712738,0.18925178050994873,0.1826142966747284
medicine,0.20377366244792938,0.21718306839466095,0.15566666424274445,0.09124814718961716,0.14696024358272552,0.1913563460111618,0.13046802580356598,0.4737972319126129,0.14826606214046478
to,0.455847829580307,0.22088827192783356,0.4452643394470215,0.2918815314769745,0.41124165058135986,1.0,0.23553375899791718,0.2947743237018585,0.29463258385658264
manage,0.265919029712677,0.21886731684207916,0.2639290988445282,0.15422043204307556,0.2803252041339874,0.39911994338035583,0.19349941611289978,0.2085614651441574,0.2014334350824356
medical,0.2389855533838272,0.24782124161720276,0.17372813820838928,0.13646350800991058,0.1520991176366806,0.2909846603870392,0.21972043812274933,0.604393720626831,0.13234087824821472
treatises,0.2481054812669754,0.2117670476436615,0.1960519403219223,0.25079861283302307,0.2169460952281952,0.18619877099990845,0.15832442045211792,0.26386702060699463,0.1296008825302124
and,0.31309178471565247,0.27163735032081604,0.34479495882987976,0.25078991055488586,0.290901243686676,0.48971283435821533,0.24473558366298676,0.22853690385818481,0.20544172823429108
the,0.42745697498321533,0.32582083344459534,0.34736719727516174,0.32886171340942383,0.25265660881996155,0.535392165184021,0.22828160226345062,0.24499839544296265,0.22068053483963013
education,0.19940856099128723,0.3073359429836273,0.19762296974658966,0.15025635063648224,0.17355021834373474,0.2626708149909973,0.22964876890182495,0.23583103716373444,0.18067774176597595
of,0.33290785551071167,0.3181971311569214,0.2513895630836487,0.231930211186409,0.23675619065761566,0.41548454761505127,0.16048036515712738,0.18925178050994873,0.1826142966747284
new,0.2130378633737564,0.1498667299747467,0.227974995970726,0.1243981197476387,0.32890668511390686,0.33159172534942627,0.12033598870038986,0.11667230725288391,0.14782847464084625
doctors,0.28694474697113037,0.18167167901992798,0.28996434807777405,0.12164764106273651,0.192910298705101,0.2947743237018585,0.21853913366794586,1.0,0.19305896759033203
.,0.3567904531955719,0.2694511413574219,0.35288307070732117,0.2311694622039795,0.2916513681411743,0.4645031690597534,0.22884486615657806,0.1993139684200287,0.4130953550338745
