,what,natural,resources,did,the,chinese,government,have,a,monopoly,on,?
he,0.3114890456199646,0.17066940665245056,0.14384174346923828,0.3292143940925598,0.4571082592010498,0.2181207686662674,0.30791032314300537,0.3020331561565399,0.4393508732318878,0.14991813898086548,0.32403138279914856,0.2089974731206894
instituted,0.15921105444431305,0.14975035190582275,0.28316524624824524,0.19183333218097687,0.30944254994392395,0.24408863484859467,0.33809417486190796,0.18943798542022705,0.1359371840953827,0.15694406628608704,0.1967228353023529,0.1225171610713005
the,0.42745697498321533,0.2291368842124939,0.25734785199165344,0.34736719727516174,1.0,0.2785343527793884,0.31798112392425537,0.40389683842658997,0.5829201340675354,0.21333852410316467,0.5107308030128479,0.22068053483963013
reforms,0.18993237614631653,0.11871327459812164,0.18964847922325134,0.227556511759758,0.27898797392845154,0.14068840444087982,0.46363696455955505,0.1693117618560791,0.20852211117744446,0.3240051865577698,0.1590825468301773,0.09706777334213257
proposed,0.22754324972629547,0.240404412150383,0.14915348589420319,0.30101871490478516,0.23840250074863434,0.14965446293354034,0.20691636204719543,0.2717863917350769,0.2374454140663147,0.22413793206214905,0.2377385050058365,0.24553193151950836
by,0.2455483376979828,0.17614005506038666,0.19408294558525085,0.18574509024620056,0.4408751428127289,0.17456965148448944,0.24235671758651733,0.3359639644622803,0.32094135880470276,0.1805756837129593,0.33887791633605957,0.17966607213020325
his,0.26976513862609863,0.14569519460201263,0.1438925564289093,0.3546801507472992,0.4394008219242096,0.17512276768684387,0.23050804436206818,0.25689181685447693,0.3497250974178314,0.0915377140045166,0.32064297795295715,0.18075084686279297
chinese,0.11643128097057343,0.1580987125635147,0.16069044172763824,0.19065357744693756,0.2785343527793884,1.0000001192092896,0.28498339653015137,0.24307501316070557,0.23124997317790985,0.15524934232234955,0.13115563988685608,0.20843194425106049
advisers,0.26817506551742554,0.11813098937273026,0.3220406472682953,0.327117919921875,0.3060134947299957,0.17996011674404144,0.4173264503479004,0.2408493310213089,0.22034266591072083,0.2783668637275696,0.21897615492343903,0.2111213058233261
by,0.2455483376979828,0.17614005506038666,0.19408294558525085,0.18574509024620056,0.4408751428127289,0.17456965148448944,0.24235671758651733,0.3359639644622803,0.32094135880470276,0.1805756837129593,0.33887791633605957,0.17966607213020325
centralizing,0.24349360167980194,0.19409212470054626,0.3889085650444031,0.19147512316703796,0.3042226731777191,0.21933837234973907,0.3750643730163574,0.30915603041648865,0.27928826212882996,0.3368763029575348,0.2666456997394562,0.19786149263381958
the,0.42745697498321533,0.2291368842124939,0.25734785199165344,0.34736719727516174,1.0,0.2785343527793884,0.31798112392425537,0.40389683842658997,0.5829201340675354,0.21333852410316467,0.5107308030128479,0.22068053483963013
bureaucracy,0.3576729893684387,0.16804051399230957,0.34060779213905334,0.23349042236804962,0.24530325829982758,0.24434421956539154,0.4388015568256378,0.3085087537765503,0.2870965003967285,0.37926310300827026,0.21802470088005066,0.33511215448379517
