,what,was,the,general,consensus,johnson,came,to,regarding,america,'s,progress,on,going,to,space,and,reaching,a,position,of,leadership,?
johnson,0.15453879535198212,0.20490223169326782,0.2214501053094864,0.11175823211669922,0.23004816472530365,0.9999999403953552,0.1510229855775833,0.18891119956970215,0.16073399782180786,0.2369084358215332,-0.001078820670954883,0.21231980621814728,0.19987176358699799,0.18561817705631256,0.18891119956970215,0.17551255226135254,0.24726895987987518,0.16653592884540558,0.2052394300699234,0.19538812339305878,0.2041160613298416,0.21067973971366882,0.1463736891746521
responded,0.36064884066581726,0.2790962755680084,0.22086620330810547,0.19075453281402588,0.31854739785194397,0.22573669254779816,0.32177218794822693,0.2985798120498657,0.4065244793891907,0.1532134711742401,-0.026374761015176773,0.3259621560573578,0.26018521189689636,0.34307193756103516,0.2985798120498657,0.15162202715873718,0.24345944821834564,0.15477553009986877,0.14484834671020508,0.23078171908855438,0.18415075540542603,0.291517049074173,0.254449725151062
approximately,0.21610312163829803,0.20827944576740265,0.33137547969818115,0.13817082345485687,0.19749918580055237,0.10176951438188553,0.1730722188949585,0.27967149019241333,0.14342868328094482,0.17797903716564178,0.017990030348300934,0.16782043874263763,0.20797507464885712,0.19864828884601593,0.27967149019241333,0.1580604463815689,0.3228789269924164,0.32986748218536377,0.2885743975639343,0.16122086346149445,0.34526896476745605,0.15220947563648224,0.10237617790699005
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.18572571873664856,0.2501556873321533,0.11031243205070496,0.28131356835365295,0.4025384783744812,0.2738691568374634,0.2418144941329956,0.06913424283266068,0.24385857582092285,0.3601475656032562,0.3290483057498932,0.4025384783744812,0.2563493549823761,0.42438167333602905,0.2638421654701233,0.4910551905632019,0.22125381231307983,0.4999135136604309,0.13143174350261688,0.2673267424106598
week,0.2483774870634079,0.24251437187194824,0.28402599692344666,0.12210492789745331,0.2792012393474579,0.17083902657032013,0.14506325125694275,0.27498435974121094,0.2583988308906555,0.15736961364746094,-0.04274718090891838,0.20625312626361847,0.3680826723575592,0.2786533534526825,0.27498435974121094,0.15240377187728882,0.23252390325069427,0.2966795563697815,0.20796456933021545,0.19747832417488098,0.17998629808425903,0.16328808665275574,0.25105318427085876
later,0.2517229914665222,0.5684447288513184,0.4060266613960266,0.21352045238018036,0.12009187042713165,0.20495441555976868,0.44318458437919617,0.393297016620636,0.16370299458503723,0.25365203619003296,0.05591587722301483,0.2155148833990097,0.30872204899787903,0.27717605233192444,0.393297016620636,0.10206884145736694,0.4216292202472687,0.1767280101776123,0.34254932403564453,0.16950921714305878,0.3458743393421173,0.29315221309661865,0.1417175978422165
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.3022127151489258,0.26434966921806335,0.2783930003643036,0.3049119710922241,0.44245919585227966,0.2758248746395111,0.253568559885025,-0.0016132977325469255,0.19034884870052338,0.49057599902153015,0.2957560122013092,0.44245919585227966,0.2285580337047577,0.6633074283599854,0.29653310775756836,0.427140474319458,0.1771278828382492,0.4946078956127167,0.20224536955356598,0.31091248989105225
concluding,0.3054657280445099,0.21305862069129944,0.3353133499622345,0.20981070399284363,0.2822076976299286,0.2282608300447464,0.2669658958911896,0.28720659017562866,0.4262876808643341,0.21123282611370087,0.025158775970339775,0.27165257930755615,0.30722492933273315,0.24322929978370667,0.28720659017562866,0.21502216160297394,0.3094229996204376,0.3239588737487793,0.25094449520111084,0.20846322178840637,0.3219040036201477,0.21116144955158234,0.18368390202522278
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.2510950565338135,0.3492645025253296,0.21526092290878296,0.31804272532463074,0.5436353087425232,0.40174636244773865,0.28841280937194824,0.04397977516055107,0.32879117131233215,0.42569106817245483,0.5067326426506042,0.5436353087425232,0.2368461638689041,0.4731321930885315,0.27098509669303894,0.47537946701049805,0.2627577483654022,0.41498205065727234,0.22613510489463806,0.32716336846351624
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.09047812968492508,0.08867952972650528,-0.04800928011536598,0.009134616702795029,0.06720756739377975,-0.06146683171391487,-0.07555023580789566,-0.03416389226913452,-0.0009561502956785262,-0.03274054825305939,7.727150659775361e-05,0.06720756739377975,0.004888324998319149,0.036644238978624344,0.11536421626806259,0.07272057235240936,0.19217348098754883,0.06780257821083069,0.015260820277035236,0.0685480609536171
