,why,are,coastal,species,tough,?
coastal,0.18349292874336243,0.24362002313137054,1.0000001192092896,0.3119371235370636,0.11827767640352249,0.13777320086956024
species,0.19561885297298431,0.3297041952610016,0.3119371235370636,0.9999999403953552,0.20344972610473633,0.1957087516784668
need,0.48943978548049927,0.46199482679367065,0.14280720055103302,0.25673580169677734,0.29609259963035583,0.40413710474967957
to,0.4100138247013092,0.3504326641559601,0.18494710326194763,0.2193736732006073,0.2457127571105957,0.29463258385658264
be,0.4042811989784241,0.5556803941726685,0.14474183320999146,0.25450053811073303,0.22283188998699188,0.3324260413646698
tough,0.25656503438949585,0.2868400514125824,0.11827767640352249,0.20344972610473633,0.9999998807907104,0.16948486864566803
enough,0.5381619334220886,0.30786940455436707,0.15475283563137054,0.19057488441467285,0.3673967719078064,0.3526461720466614
to,0.4100138247013092,0.3504326641559601,0.18494710326194763,0.2193736732006073,0.2457127571105957,0.29463258385658264
withstand,0.30828067660331726,0.3342936635017395,0.3043384552001953,0.2625521123409271,0.34566932916641235,0.19654712080955505
waves,0.2380082607269287,0.191071018576622,0.29944321513175964,0.1930989921092987,0.11619902402162552,0.1603909134864807
and,0.27806392312049866,0.48576638102531433,0.2637535333633423,0.23547904193401337,0.27319225668907166,0.20544172823429108
swirling,0.23399411141872406,0.22163772583007812,0.16592691838741302,0.24551108479499817,0.16032007336616516,0.12941749393939972
sediment,0.18357139825820923,0.2055806815624237,0.3361729085445404,0.3591941297054291,0.18339478969573975,0.14870919287204742
particles,0.2991826832294464,0.34996259212493896,0.19915850460529327,0.29574841260910034,0.2555270791053772,0.22255320847034454
",",0.2827242314815521,0.4062570035457611,0.21444359421730042,0.2223871648311615,0.2903491258621216,0.31091248989105225
while,0.3304853141307831,0.34230953454971313,0.1910228580236435,0.1381688416004181,0.28860363364219666,0.21076419949531555
some,0.429519385099411,0.6331475377082825,0.2370605617761612,0.3064201772212982,0.2782127857208252,0.2562315762042999
oceanic,0.20353366434574127,0.2549397349357605,0.33488261699676514,0.32583096623420715,0.17404119670391083,0.12940600514411926
species,0.19561885297298431,0.3297041952610016,0.3119371235370636,0.9999999403953552,0.20344972610473633,0.1957087516784668
are,0.3273901343345642,1.0,0.24362002313137054,0.3297041952610016,0.2868400514125824,0.24591213464736938
so,0.5904637575149536,0.420413613319397,0.14817270636558533,0.2310808151960373,0.32646626234054565,0.43163934350013733
fragile,0.19842314720153809,0.28083693981170654,0.2397182434797287,0.33809614181518555,0.3442363440990448,0.160326287150383
that,0.5601457357406616,0.45265161991119385,0.20089487731456757,0.22146284580230713,0.280075341463089,0.32716336846351624
it,0.376611590385437,0.3617996573448181,0.2184775322675705,0.24010367691516876,0.22580333054065704,0.25732165575027466
is,0.26410171389579773,0.5330929756164551,0.21945476531982422,0.2673557698726654,0.23331604897975922,0.22961433231830597
very,0.42126598954200745,0.41714969277381897,0.24195359647274017,0.21647153794765472,0.36678847670555115,0.20864155888557434
difficult,0.3777994215488434,0.3366478681564331,0.2275458425283432,0.2002348154783249,0.3403567373752594,0.20408590137958527
to,0.4100138247013092,0.3504326641559601,0.18494710326194763,0.2193736732006073,0.2457127571105957,0.29463258385658264
capture,0.12725065648555756,0.17015503346920013,0.18438604474067688,0.15823498368263245,0.12407419830560684,0.12945853173732758
them,0.4654969573020935,0.5206625461578369,0.2414836585521698,0.26418471336364746,0.29102620482444763,0.35435691475868225
intact,0.18336385488510132,0.26374176144599915,0.20521201193332672,0.3060654103755951,0.17660491168498993,0.1481182724237442
for,0.3869043290615082,0.3895993232727051,0.17629191279411316,0.18632523715496063,0.22737230360507965,0.264628142118454
study,0.23703505098819733,0.22810009121894836,0.207892507314682,0.19973009824752808,0.10018497705459595,0.15902167558670044
.,0.32909876108169556,0.3452940285205841,0.21270635724067688,0.25772613286972046,0.21098238229751587,0.4130953550338745
