,in,the,10th,week,of,the,2015,season,",",what,injury,was,peyton,manning,dealing,with,?
under,0.2535393238067627,0.3348022699356079,0.11710494011640549,0.09027282148599625,0.32766106724739075,0.3348022699356079,0.14021112024784088,0.059347424656152725,0.24875585734844208,0.20154598355293274,0.11906100064516068,0.2672741413116455,0.15089628100395203,0.16125793755054474,0.253818154335022,0.2667143940925598,0.18233340978622437
kubiak,0.1927659809589386,0.1740415245294571,0.1869472712278366,0.165455162525177,0.15710368752479553,0.1740415245294571,0.10086428374052048,0.3101365864276886,0.33168280124664307,0.10377798974514008,0.25659236311912537,0.2883514165878296,0.2869776487350464,0.3307993710041046,0.10131945461034775,0.2046213150024414,0.15975911915302277
",",0.5201468467712402,0.4933079481124878,0.26009640097618103,0.3187089264392853,0.4946078956127167,0.4933079481124878,0.06568983197212219,0.2232367992401123,1.0000001192092896,0.3087472915649414,0.23598910868167877,0.45456063747406006,0.2979121208190918,0.30921146273612976,0.2890160381793976,0.4120737314224243,0.31091248989105225
the,0.6662389636039734,1.0,0.3098960816860199,0.28402599692344666,0.733189046382904,1.0,0.1466771513223648,0.2507155239582062,0.4933079481124878,0.42745697498321533,0.22097580134868622,0.48711544275283813,0.2709864377975464,0.27058160305023193,0.30423152446746826,0.4223487675189972,0.22068053483963013
broncos,0.20316283404827118,0.25985947251319885,0.201334610581398,0.302139014005661,0.19310332834720612,0.25985947251319885,-0.0028495145961642265,0.3664494454860687,0.2558487057685852,0.1787765771150589,0.38810256123542786,0.23574475944042206,0.34262970089912415,0.4807402193546295,0.19384178519248962,0.2245701551437378,0.18377114832401276
planned,0.2658644914627075,0.3010992109775543,0.12668390572071075,0.22157366573810577,0.2487981617450714,0.3010992109775543,0.11439397931098938,0.1452321708202362,0.22345273196697235,0.21141068637371063,0.10566692799329758,0.3590250015258789,0.15622061491012573,0.17176447808742523,0.10418565571308136,0.18405099213123322,0.16188396513462067
to,0.45010748505592346,0.535392165184021,0.2506663501262665,0.27498435974121094,0.41548454761505127,0.535392165184021,-0.0031493064016103745,0.22382742166519165,0.44245919585227966,0.455847829580307,0.24385890364646912,0.3636345863342285,0.2003074735403061,0.24857525527477264,0.3146139085292816,0.4239959120750427,0.29463258385658264
install,0.14673753082752228,0.18724390864372253,0.11550290137529373,0.18499261140823364,0.14315830171108246,0.18724390864372253,0.0030894794035702944,0.09267032891511917,0.20565637946128845,0.26007506251335144,0.11349806189537048,0.14562483131885529,0.09669452160596848,0.1562677025794983,0.23677830398082733,0.15092793107032776,0.2745343744754791
a,0.539380669593811,0.5829201340675354,0.27705082297325134,0.20796456933021545,0.5052502155303955,0.5829201340675354,-0.008371892385184765,0.1855505406856537,0.427140474319458,0.3320399522781372,0.27168452739715576,0.4508470594882965,0.298135370016098,0.2509649395942688,0.30869072675704956,0.3783375024795532,0.23916715383529663
run-oriented,0.2356238216161728,0.26444050669670105,0.26337239146232605,0.180783212184906,0.23865288496017456,0.26444050669670105,-0.04774857312440872,0.1752462238073349,0.18054676055908203,0.19679005444049835,0.190362349152565,0.17600296437740326,0.1626219004392624,0.1429678052663803,0.2602062225341797,0.23812812566757202,0.10559862107038498
