,how,many,of,the,fifteen,points,of,discussion,were,agreed,on,?
agreement,0.21985773742198944,0.16539208590984344,0.21259461343288422,0.2490699142217636,0.1963115632534027,0.20808733999729156,0.21259461343288422,0.304296612739563,0.15945924818515778,0.6330705285072327,0.22078442573547363,0.15830197930335999
was,0.16678167879581451,0.260356068611145,0.4069072902202606,0.48711544275283813,0.28504061698913574,0.13673242926597595,0.4069072902202606,0.16786788403987885,0.590133786201477,0.2848299443721771,0.3909217119216919,0.18412111699581146
achieved,0.15523116290569305,0.24349969625473022,0.2701522707939148,0.2821090817451477,0.1908307671546936,0.2655371129512787,0.2701522707939148,0.1708364486694336,0.21083861589431763,0.18847396969795227,0.18851134181022644,0.17008265852928162
on,0.32655060291290283,0.32520127296447754,0.3966929316520691,0.5107308030128479,0.2679060101509094,0.1853724867105484,0.3966929316520691,0.29368579387664795,0.2774328887462616,0.2566361725330353,0.9999999403953552,0.2714994251728058
fourteen,0.12846346199512482,0.27689671516418457,0.3137205243110657,0.31443583965301514,0.7105352282524109,0.2520911395549774,0.3137205243110657,0.142460897564888,0.38885927200317383,0.1961929053068161,0.31050217151641846,0.10843432694673538
points,0.22446410357952118,0.17477619647979736,0.20397144556045532,0.2560983896255493,0.1955043524503708,1.0000001192092896,0.20397144556045532,0.21043340861797333,0.18511919677257538,0.2061152309179306,0.1853724867105484,0.11006313562393188
out,0.3963836133480072,0.3329806923866272,0.34176841378211975,0.39404502511024475,0.2282077670097351,0.21619686484336853,0.34176841378211975,0.2207435518503189,0.3354760408401489,0.22873644530773163,0.39060163497924805,0.22020699083805084
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.3483448326587677,0.20397144556045532,1.0,0.1657310128211975,0.34038281440734863,0.24395716190338135,0.3966929316520691,0.1826142966747284
fifteen,0.1623198688030243,0.2590177357196808,0.3483448326587677,0.32743558287620544,1.0000001192092896,0.1955043524503708,0.3483448326587677,0.17140232026576996,0.327566534280777,0.22771839797496796,0.2679060101509094,0.14574173092842102
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.25021934509277344,0.2862778604030609,0.4946078956127167,0.21665167808532715,0.36755475401878357,0.27350708842277527,0.49057599902153015,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.32743558287620544,0.2560983896255493,0.733189046382904,0.2391178160905838,0.3906462490558624,0.24722334742546082,0.5107308030128479,0.22068053483963013
