,what,is,the,approximate,condenser,temperature,in,a,turbine,?
without,0.3181614279747009,0.22869740426540375,0.3270869255065918,0.11799914389848709,0.2282189130783081,0.15972138941287994,0.2553589344024658,0.2797018885612488,0.14439037442207336,0.2928665280342102
the,0.42745697498321533,0.5823672413825989,1.0,0.24583132565021515,0.26016345620155334,0.27585095167160034,0.6662389636039734,0.5829201340675354,0.1799832284450531,0.22068053483963013
pressure,0.2625555694103241,0.19239991903305054,0.28285476565361023,0.1564224809408188,0.41861653327941895,0.5228919982910156,0.16116683185100555,0.23459996283054352,0.43649622797966003,0.142023503780365
reaching,0.2432754784822464,0.22471533715724945,0.3691650927066803,0.17981356382369995,0.20941294729709625,0.30027684569358826,0.2730024755001068,0.24311277270317078,0.18404735624790192,0.13075216114521027
supercritical,0.3224208950996399,0.23731732368469238,0.2934645414352417,0.23958012461662292,0.3246990144252777,0.33013635873794556,0.29122260212898254,0.29444462060928345,0.3638504147529602,0.3207375705242157
levels,0.21641245484352112,0.2141042947769165,0.286034494638443,0.08624551445245743,0.25063854455947876,0.3143499195575714,0.2418597936630249,0.21465790271759033,0.19634921848773956,0.1541307419538498
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.1537155658006668,0.1340322196483612,0.1894524246454239,0.4322226941585541,0.44038116931915283,0.16188207268714905,0.264628142118454
the,0.42745697498321533,0.5823672413825989,1.0,0.24583132565021515,0.26016345620155334,0.27585095167160034,0.6662389636039734,0.5829201340675354,0.1799832284450531,0.22068053483963013
working,0.2846863269805908,0.20290212333202362,0.25857484340667725,0.10319408774375916,0.15785548090934753,0.18123465776443481,0.3062970042228699,0.2998538911342621,0.19115102291107178,0.17154020071029663
fluid,0.20682886242866516,0.23022614419460297,0.23256433010101318,0.16000862419605255,0.44387733936309814,0.37375083565711975,0.1272517591714859,0.22105562686920166,0.3672078549861908,0.18212400376796722
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.295393705368042,0.25081467628479004,0.2439086139202118,0.5201468467712402,0.427140474319458,0.21183495223522186,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.24583132565021515,0.26016345620155334,0.27585095167160034,0.6662389636039734,0.5829201340675354,0.1799832284450531,0.22068053483963013
temperature,0.26338207721710205,0.2979726195335388,0.27585095167160034,0.22918789088726044,0.47826460003852844,1.0000001192092896,0.269207626581192,0.2321433275938034,0.3029460906982422,0.2011885941028595
range,0.19613829255104065,0.2467041313648224,0.2311336100101471,0.2434339076280594,0.19333428144454956,0.28628867864608765,0.2084861844778061,0.23913569748401642,0.22305022180080414,0.1204894632101059
the,0.42745697498321533,0.5823672413825989,1.0,0.24583132565021515,0.26016345620155334,0.27585095167160034,0.6662389636039734,0.5829201340675354,0.1799832284450531,0.22068053483963013
cycle,0.17920038104057312,0.20626789331436157,0.2701641917228699,0.12367147952318192,0.31813663244247437,0.22406995296478271,0.20483464002609253,0.21741491556167603,0.26501625776290894,0.07156776636838913
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.14732353389263153,0.311559796333313,0.33041319251060486,0.26527702808380127,0.3915780484676361,0.2103901207447052,0.3226337134838104
operate,0.23576132953166962,0.24157488346099854,0.23581141233444214,0.1831224113702774,0.2726103663444519,0.2649807929992676,0.24484391510486603,0.21306559443473816,0.33438771963119507,0.16664595901966095
over,0.28007611632347107,0.2159561663866043,0.39856547117233276,0.23630715906620026,0.15819187462329865,0.177913099527359,0.3605569899082184,0.32199642062187195,0.25290390849113464,0.25742942094802856
is,0.28837618231773376,1.0,0.5823672413825989,0.24599584937095642,0.29313454031944275,0.2979726195335388,0.5394441485404968,0.658733606338501,0.20463748276233673,0.22961433231830597
quite,0.4139309525489807,0.3340429961681366,0.3001116216182709,0.16259701550006866,0.279875248670578,0.24236026406288147,0.25610703229904175,0.4158429801464081,0.19671522080898285,0.2597154676914215
small,0.2504110634326935,0.32085540890693665,0.39655908942222595,0.2359478771686554,0.2505989074707031,0.21040929853916168,0.3722202181816101,0.41262131929397583,0.2446269541978836,0.13914890587329865
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.012420633807778358,0.03632478043437004,0.05269727483391762,0.092739537358284,-0.02122584730386734,-0.08953065425157547,0.10349778085947037
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23006528615951538,0.21727193892002106,0.269207626581192,1.0,0.539380669593811,0.19420358538627625,0.20430970191955566
steam,0.15672586858272552,0.13029660284519196,0.23105813562870026,0.13328677415847778,0.42217105627059937,0.29844650626182556,0.19852672517299652,0.2141898274421692,0.5301763415336609,0.113324373960495
turbines,0.17412316799163818,0.24277569353580475,0.2202165722846985,0.2168269157409668,0.45146727561950684,0.33205169439315796,0.23479467630386353,0.26460933685302734,0.9344314932823181,0.18342499434947968
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.295393705368042,0.25081467628479004,0.2439086139202118,0.5201468467712402,0.427140474319458,0.21183495223522186,0.31091248989105225
turbine,0.1404699683189392,0.20463748276233673,0.1799832284450531,0.2079443782567978,0.4803014099597931,0.3029460906982422,0.19420358538627625,0.23364008963108063,1.0000001192092896,0.16315746307373047
entry,0.23903775215148926,0.20053718984127045,0.22964252531528473,0.08161947131156921,0.2436308115720749,0.17447511851787567,0.23369251191616058,0.21248941123485565,0.18177199363708496,0.21010564267635345
temperatures,0.2523624897003174,0.2816123366355896,0.27544233202934265,0.21999944746494293,0.4559887647628784,0.9382470846176147,0.2835210859775543,0.23293450474739075,0.2942342162132263,0.1895846426486969
