,where,do,ctenophores,be,found,in,large,numbers,?
ctenophores,0.15624114871025085,0.33553314208984375,1.0,0.23367419838905334,0.32198694348335266,0.1814151555299759,0.32397639751434326,0.30005496740341187,0.2054179310798645
may,0.23215454816818237,0.28230178356170654,0.23303748667240143,0.45514434576034546,0.1953253149986267,0.3424151837825775,0.17708203196525574,0.1874159872531891,0.2768254578113556
be,0.3651217818260193,0.36575672030448914,0.23367419838905334,1.0,0.23313552141189575,0.3481820821762085,0.2907196581363678,0.2776923179626465,0.3324260413646698
abundant,0.23284128308296204,0.21504324674606323,0.427273154258728,0.2833958864212036,0.33998388051986694,0.21504533290863037,0.3665969669818878,0.32503199577331543,0.13836130499839783
during,0.3543127477169037,0.1831897497177124,0.19254276156425476,0.24990400671958923,0.119338758289814,0.4627237319946289,0.218748077750206,0.13133710622787476,0.1325719803571701
the,0.5003893971443176,0.30239659547805786,0.2543465793132782,0.4248143136501312,0.3452354073524475,0.6662389636039734,0.3828733265399933,0.293011337518692,0.22068053483963013
summer,0.2592296600341797,0.1628265231847763,0.14763116836547852,0.15315558016300201,0.14277662336826324,0.31081318855285645,0.14267532527446747,0.14659079909324646,0.11625723540782928
months,0.2565062642097473,0.23621289432048798,0.15126821398735046,0.27389517426490784,0.20292367041110992,0.27186378836631775,0.1846727728843689,0.1683398336172104,0.2804218530654907
in,0.5344807505607605,0.23402775824069977,0.1814151555299759,0.3481820821762085,0.39141854643821716,1.0,0.2841601073741913,0.23087690770626068,0.20430970191955566
some,0.39480453729629517,0.4725562036037445,0.3641049563884735,0.49956634640693665,0.3385355472564697,0.4010399878025055,0.3944830894470215,0.32205066084861755,0.2562315762042999
coastal,0.25423139333724976,0.1405515819787979,0.27554091811180115,0.14474183320999146,0.23492838442325592,0.2924878001213074,0.31335049867630005,0.24508558213710785,0.13777320086956024
locations,0.4026567041873932,0.17399930953979492,0.17070941627025604,0.2794824540615082,0.2279001921415329,0.36845505237579346,0.2655089795589447,0.30397775769233704,0.14570996165275574
",",0.3149496018886566,0.3283645510673523,0.19362998008728027,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.2263888567686081,0.26479464769363403,0.31091248989105225
but,0.49101024866104126,0.4077886939048767,0.24390928447246552,0.5764366984367371,0.32550859451293945,0.48674455285072327,0.26450419425964355,0.29839861392974854,0.27921953797340393
