,what,is,the,highest,court,in,the,united,methodist,denomination,?
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.2812081575393677,0.6662389636039734,1.0,0.34367692470550537,0.21922016143798828,0.26250898838043213,0.22068053483963013
judicial,0.23836617171764374,0.18901214003562927,0.27282875776290894,0.1905943602323532,0.5559009313583374,0.231208935379982,0.27282875776290894,0.3443198502063751,0.2559624910354614,0.24060174822807312,0.1770997941493988
council,0.16933071613311768,0.2196589708328247,0.2829204201698303,0.11888282001018524,0.2845700979232788,0.2689173221588135,0.2829204201698303,0.2502323091030121,0.2605636417865753,0.2570345997810364,0.1160062924027443
is,0.28837618231773376,1.0,0.5823672413825989,0.27460670471191406,0.20797641575336456,0.5394441485404968,0.5823672413825989,0.22408509254455566,0.14683330059051514,0.22500525414943695,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.2812081575393677,0.6662389636039734,1.0,0.34367692470550537,0.21922016143798828,0.26250898838043213,0.22068053483963013
highest,0.19637788832187653,0.27460670471191406,0.36945265531539917,1.0,0.2115435153245926,0.3400614559650421,0.36945265531539917,0.2760854959487915,0.08726663887500763,0.17152565717697144,0.11527936160564423
court,0.23440583050251007,0.20797641575336456,0.2812081575393677,0.2115435153245926,1.0,0.2793687880039215,0.2812081575393677,0.2767752408981323,0.23903661966323853,0.15877167880535126,0.17100423574447632
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3400614559650421,0.2793687880039215,1.0,0.6662389636039734,0.3938477039337158,0.24702993035316467,0.19585151970386505,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.2812081575393677,0.6662389636039734,1.0,0.34367692470550537,0.21922016143798828,0.26250898838043213,0.22068053483963013
denomination,0.24481600522994995,0.22500525414943695,0.26250898838043213,0.17152565717697144,0.15877167880535126,0.19585151970386505,0.26250898838043213,0.22201207280158997,0.5030563473701477,0.9999999403953552,0.2643771171569824
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2254713773727417,0.2742154598236084,0.5591574311256409,0.5934505462646484,0.3406063914299011,0.30669423937797546,0.2725091278553009,0.4130953550338745
