,when,did,building,activity,occur,on,st.,kazimierz,church,?
one,0.38307374715805054,0.27659472823143005,0.2307232916355133,0.2736757695674896,0.2851044833660126,0.3601475656032562,0.16169856488704681,0.14005590975284576,0.15520724654197693,0.2673267424106598
of,0.3757161796092987,0.2513895630836487,0.26200541853904724,0.23575159907341003,0.24223870038986206,0.3966929316520691,0.19887582957744598,0.20680668950080872,0.3079429268836975,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.3159640431404114,0.28331097960472107,0.26611819863319397,0.5107308030128479,0.18141359090805054,0.15035074949264526,0.23846197128295898,0.22068053483963013
best,0.15734568238258362,0.25550925731658936,0.12442534416913986,0.08620776981115341,0.13130834698677063,0.2090703696012497,0.09331962466239929,0.13580597937107086,0.117431640625,0.2799045741558075
examples,0.2518409192562103,0.19283179938793182,0.18938136100769043,0.2572508752346039,0.30123060941696167,0.20380041003227234,0.08005411177873611,0.10786788910627365,0.11560414731502533,0.19976599514484406
of,0.3757161796092987,0.2513895630836487,0.26200541853904724,0.23575159907341003,0.24223870038986206,0.3966929316520691,0.19887582957744598,0.20680668950080872,0.3079429268836975,0.1826142966747284
this,0.4959332048892975,0.3609912693500519,0.29406365752220154,0.3383738398551941,0.30992093682289124,0.4193967580795288,0.11447018384933472,0.15163126587867737,0.18826861679553986,0.3155723512172699
architecture,0.13571539521217346,0.15944568812847137,0.4623510539531708,0.12636734545230865,0.10538480430841446,0.1650944948196411,0.0791698768734932,0.21305643022060394,0.2578176259994507,0.14343059062957764
are,0.29873907566070557,0.2159031480550766,0.1904018670320511,0.33086249232292175,0.3900270164012909,0.268924742937088,0.12703074514865875,0.11410372704267502,0.16039738059043884,0.24591213464736938
krasiński,0.10807769000530243,0.15230733156204224,0.11593936383724213,0.11580511182546616,0.12328659743070602,0.16979950666427612,0.3539780378341675,0.6935445070266724,0.2094385027885437,0.23454974591732025
palace,0.169320210814476,0.1410185694694519,0.38647371530532837,0.09184890985488892,0.10100775212049484,0.13724961876869202,0.215615376830101,0.18891695141792297,0.24142658710479736,0.14965219795703888
(,0.2459595799446106,0.18979617953300476,0.17772680521011353,0.11755277961492538,0.1883157342672348,0.28656116127967834,0.2008000910282135,0.23444640636444092,0.17581534385681152,0.40561532974243164
1677–1683,0.06661238521337509,0.006519713439047337,0.03935586288571358,0.008425694890320301,0.11733082681894302,-0.014944667927920818,0.049391068518161774,0.11228244751691818,0.21745657920837402,0.04780387133359909
),0.2538422644138336,0.18584993481636047,0.1678667515516281,0.1549028754234314,0.16774746775627136,0.29937487840652466,0.1906544417142868,0.25464969873428345,0.1983546018600464,0.42300865054130554
",",0.36674630641937256,0.3015086054801941,0.2374238669872284,0.21559643745422363,0.28566715121269226,0.49057599902153015,0.26603782176971436,0.28551748394966125,0.2707274258136749,0.31091248989105225
wilanów,0.1509275883436203,0.16072309017181396,0.2039318084716797,0.21370576322078705,0.19381578266620636,0.23904283344745636,0.25073662400245667,0.6015058755874634,0.30540814995765686,0.2775890827178955
palace,0.169320210814476,0.1410185694694519,0.38647371530532837,0.09184890985488892,0.10100775212049484,0.13724961876869202,0.215615376830101,0.18891695141792297,0.24142658710479736,0.14965219795703888
(,0.2459595799446106,0.18979617953300476,0.17772680521011353,0.11755277961492538,0.1883157342672348,0.28656116127967834,0.2008000910282135,0.23444640636444092,0.17581534385681152,0.40561532974243164
1677–1696,0.12179331481456757,0.06491144746541977,0.13294072449207306,0.08409813791513443,0.11734051257371902,0.04374275729060173,0.10033360123634338,0.3383964002132416,0.29932379722595215,0.03421530872583389
),0.2538422644138336,0.18584993481636047,0.1678667515516281,0.1549028754234314,0.16774746775627136,0.29937487840652466,0.1906544417142868,0.25464969873428345,0.1983546018600464,0.42300865054130554
and,0.4716290831565857,0.34479495882987976,0.2593274712562561,0.21878264844417572,0.2570546269416809,0.4077630043029785,0.22686052322387695,0.20539383590221405,0.1976170688867569,0.20544172823429108
st.,0.1389591246843338,0.11965964734554291,0.2061094045639038,0.04496577009558678,0.04583695903420448,0.19196833670139313,1.0000001192092896,0.2539406716823578,0.2081335186958313,0.13592876493930817
kazimierz,0.07534323632717133,0.13418760895729065,0.13708917796611786,0.1252112239599228,0.06254208832979202,0.1595068722963333,0.2539406716823578,1.0000001192092896,0.27143609523773193,0.20410548150539398
church,0.20053261518478394,0.16781097650527954,0.37474581599235535,0.16259640455245972,0.07696517556905746,0.1726921796798706,0.2081335186958313,0.27143609523773193,0.9999999403953552,0.18081501126289368
(,0.2459595799446106,0.18979617953300476,0.17772680521011353,0.11755277961492538,0.1883157342672348,0.28656116127967834,0.2008000910282135,0.23444640636444092,0.17581534385681152,0.40561532974243164
1688–1692,0.021799588575959206,-0.003793747164309025,0.18493522703647614,0.034297190606594086,0.048080313950777054,0.07688536494970322,-0.010186697356402874,-0.0993601381778717,0.04089362919330597,-0.019165651872754097
),0.2538422644138336,0.18584993481636047,0.1678667515516281,0.1549028754234314,0.16774746775627136,0.29937487840652466,0.1906544417142868,0.25464969873428345,0.1983546018600464,0.42300865054130554
.,0.475719153881073,0.35288307070732117,0.275610089302063,0.23696304857730865,0.21290622651576996,0.49257001280784607,0.2214197814464569,0.22012396156787872,0.28898224234580994,0.4130953550338745
