,who,picked,off,cam,newton,and,subsequently,fumbled,the,ball,?
but,0.4487357437610626,0.25071144104003906,0.32507336139678955,0.13294298946857452,0.2325286716222763,0.5762497186660767,0.2350662499666214,0.26091527938842773,0.4859698414802551,0.18901506066322327,0.27921953797340393
once,0.3575699031352997,0.2983880639076233,0.23126767575740814,0.07993665337562561,0.13154229521751404,0.31971874833106995,0.30458498001098633,0.29881829023361206,0.4227895736694336,0.23512601852416992,0.17750471830368042
again,0.29984283447265625,0.23952966928482056,0.29958876967430115,0.14025750756263733,0.1429184526205063,0.34503087401390076,0.23086750507354736,0.3150942027568817,0.4104243218898773,0.1853100210428238,0.2679590880870819
they,0.47879111766815186,0.31191691756248474,0.2575175166130066,0.14307430386543274,0.1926632672548294,0.5073080658912659,0.22497941553592682,0.24157586693763733,0.49925389885902405,0.229691281914711,0.2753053903579712
came,0.26680538058280945,0.3485448658466339,0.157027930021286,0.22439002990722656,0.17745794355869293,0.3049735128879547,0.1575009524822235,0.22410227358341217,0.39390382170677185,0.16492362320423126,0.1739392727613449
up,0.26056501269340515,0.36738070845603943,0.43169063329696655,0.08853517472743988,0.12487363070249557,0.4032393991947174,0.11442003399133682,0.21422725915908813,0.38423117995262146,0.19136162102222443,0.1819818764925003
empty,0.10688566416501999,0.18163801729679108,0.18512268364429474,0.053617727011442184,0.08704033493995667,0.2123519778251648,0.053051628172397614,0.25001364946365356,0.2499721348285675,0.18366830050945282,0.17362195253372192
",",0.3365725874900818,0.22014860808849335,0.26180344820022583,0.22727563977241516,0.2648763358592987,0.6633074283599854,0.1637192815542221,0.281479150056839,0.4933079481124878,0.2170172780752182,0.31091248989105225
this,0.3345087468624115,0.21836912631988525,0.2535133361816406,0.10544855892658234,0.17378488183021545,0.42353692650794983,0.21063311398029327,0.18631234765052795,0.6274310946464539,0.19750352203845978,0.3155723512172699
time,0.36634087562561035,0.2166680246591568,0.1821257472038269,0.15631836652755737,0.24373620748519897,0.3025408685207367,0.17266251146793365,0.24084755778312683,0.43061500787734985,0.17993028461933136,0.27391523122787476
as,0.3923053741455078,0.2407422959804535,0.14843396842479706,0.19909058511257172,0.18695951998233795,0.49487000703811646,0.34672755002975464,0.19104066491127014,0.48381632566452026,0.15887176990509033,0.27043893933296204
a,0.36608949303627014,0.2569864094257355,0.2788178026676178,0.18400311470031738,0.1884482353925705,0.3739250600337982,0.1586967557668686,0.17296364903450012,0.5829201340675354,0.23578347265720367,0.23916715383529663
result,0.13371044397354126,0.16445325314998627,0.22994258999824524,0.14825785160064697,0.13879632949829102,0.27436327934265137,0.24032647907733917,0.2548840045928955,0.27778977155685425,0.11602018773555756,0.17218433320522308
of,0.2827862501144409,0.29296234250068665,0.20023372769355774,0.18242581188678741,0.18479612469673157,0.5116966962814331,0.19330023229122162,0.18059396743774414,0.733189046382904,0.15122076869010925,0.1826142966747284
a,0.36608949303627014,0.2569864094257355,0.2788178026676178,0.18400311470031738,0.1884482353925705,0.3739250600337982,0.1586967557668686,0.17296364903450012,0.5829201340675354,0.23578347265720367,0.23916715383529663
newton,0.19243690371513367,0.11323507875204086,0.07672116905450821,0.32548287510871887,1.0000001192092896,0.22255054116249084,0.11490122228860855,0.189589262008667,0.1876603662967682,0.18903715908527374,0.09645649790763855
