,what,former,administrative,building,was,used,for,the,msp,'s,offices,?
the,0.42745697498321533,0.2251449078321457,0.25410786271095276,0.3159640431404114,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.23818017542362213,-0.01540423184633255,0.2803647518157959,0.22068053483963013
former,0.13598288595676422,1.0,0.33737605810165405,0.1645875722169876,0.2544213533401489,0.12775172293186188,0.23718710243701935,0.2251449078321457,0.2564074397087097,0.032462362200021744,0.24899762868881226,0.10570605844259262
administrative,0.2697139382362366,0.33737605810165405,1.0,0.2665013074874878,0.17269738018512726,0.13254238665103912,0.21193471550941467,0.25410786271095276,0.24861758947372437,-0.05015919357538223,0.39291539788246155,0.15912041068077087
building,0.23529528081417084,0.1645875722169876,0.2665013074874878,0.9999998807907104,0.237406387925148,0.2246105819940567,0.2644540071487427,0.3159640431404114,0.15992338955402374,0.004743766970932484,0.447407603263855,0.13549931347370148
of,0.33290785551071167,0.30415382981300354,0.3186163008213043,0.26200541853904724,0.4069072902202606,0.3075267970561981,0.4185989499092102,0.733189046382904,0.2572315037250519,-0.03817026689648628,0.24565665423870087,0.1826142966747284
lothian,0.14814652502536774,0.20066501200199127,0.19536466896533966,0.18779344856739044,0.21341419219970703,0.16414998471736908,0.14367817342281342,0.2804417014122009,0.35103926062583923,0.09753996133804321,0.15513907372951508,0.08631976693868637
regional,0.1532609760761261,0.17313863337039948,0.2877942621707916,0.11041491478681564,0.18430563807487488,0.2195754051208496,0.2639368176460266,0.3125704526901245,0.2653207778930664,-0.06399104744195938,0.3616875410079956,0.09246466308832169
council,0.16933071613311768,0.166977658867836,0.33744820952415466,0.22648237645626068,0.23921515047550201,0.13886597752571106,0.1601620316505432,0.2829204201698303,0.3272818326950073,-0.007623340003192425,0.3833678364753723,0.1160062924027443
on,0.34226128458976746,0.18025436997413635,0.1463092863559723,0.24277396500110626,0.3909217119216919,0.24785758554935455,0.36199691891670227,0.5107308030128479,0.25964438915252686,0.0026888418942689896,0.24855470657348633,0.2714994251728058
george,0.22000353038311005,0.23100890219211578,0.09910653531551361,0.05992960184812546,0.2601471245288849,0.10511785000562668,0.18388281762599945,0.2510760426521301,0.17745305597782135,-0.019076833501458168,0.16779573261737823,0.1479024887084961
iv,0.1177578791975975,0.11966893821954727,0.11788061261177063,0.16150735318660736,0.18679717183113098,0.14999648928642273,0.11562367528676987,0.22478210926055908,0.24896493554115295,-0.03362831845879555,0.101530060172081,0.16932271420955658
bridge,0.16739098727703094,0.10415758192539215,0.12849323451519012,0.3688366711139679,0.23293238878250122,0.1111990287899971,0.14798229932785034,0.27692803740501404,0.11989577859640121,0.018047941848635674,0.18041594326496124,0.1396101862192154
was,0.22111038863658905,0.2544213533401489,0.17269738018512726,0.237406387925148,1.0000001192092896,0.23679393529891968,0.3863949179649353,0.48711544275283813,0.2250855416059494,0.008974763564765453,0.25200366973876953,0.18412111699581146
used,0.27546408772468567,0.12775172293186188,0.13254238665103912,0.2246105819940567,0.23679393529891968,0.9999998807907104,0.4236139953136444,0.3718377649784088,0.16018660366535187,0.00600846204906702,0.2038826048374176,0.22430120408535004
for,0.3017193675041199,0.23718710243701935,0.21193471550941467,0.2644540071487427,0.3863949179649353,0.4236139953136444,0.9999999403953552,0.4739971458911896,0.2532331943511963,-0.07241261005401611,0.25942909717559814,0.264628142118454
the,0.42745697498321533,0.2251449078321457,0.25410786271095276,0.3159640431404114,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.23818017542362213,-0.01540423184633255,0.2803647518157959,0.22068053483963013
msp,0.1763889491558075,0.2564074397087097,0.24861758947372437,0.15992338955402374,0.2250855416059494,0.16018660366535187,0.2532331943511963,0.23818017542362213,0.9999998807907104,-0.012182459235191345,0.2236165851354599,0.18440690636634827
's,0.02692362666130066,0.032462362200021744,-0.05015919357538223,0.004743766970932484,0.008974763564765453,0.00600846204906702,-0.07241261005401611,-0.01540423184633255,-0.012182459235191345,0.9999999403953552,-0.05045764520764351,-0.023395681753754616
offices,0.1431061029434204,0.24899762868881226,0.39291539788246155,0.447407603263855,0.25200366973876953,0.2038826048374176,0.25942909717559814,0.2803647518157959,0.2236165851354599,-0.05045764520764351,0.9999998807907104,0.10076487064361572
.,0.3567904531955719,0.20895031094551086,0.22524121403694153,0.275610089302063,0.40146201848983765,0.33111312985420227,0.4726039469242096,0.5934505462646484,0.26093077659606934,-0.003708066651597619,0.22611850500106812,0.4130953550338745
