,how,many,projects,does,the,centre,currently,realize,a,year,?
the,0.33890387415885925,0.4335206151008606,0.23802334070205688,0.35928019881248474,1.0,0.32783594727516174,0.2945235073566437,0.25922566652297974,0.5829201340675354,0.3609684407711029,0.22068053483963013
centre,0.11952278017997742,0.1953071653842926,0.1875917911529541,0.1683523952960968,0.32783594727516174,1.0000001192092896,0.236580491065979,0.09207788109779358,0.271343857049942,0.1138799786567688,0.019365152344107628
currently,0.20420436561107635,0.25505611300468445,0.3269411623477936,0.2973312437534332,0.2945235073566437,0.236580491065979,1.0000001192092896,0.14371608197689056,0.2612716257572174,0.19354598224163055,0.1861555278301239
realizes,0.33027663826942444,0.19339416921138763,0.17540208995342255,0.4098767340183258,0.2446388453245163,0.12450059503316879,0.08191602677106857,0.7414963841438293,0.252761572599411,0.16982783377170563,0.1851319521665573
about,0.44264400005340576,0.3800397515296936,0.18301114439964294,0.26877498626708984,0.37995871901512146,0.17993369698524475,0.22566062211990356,0.36417046189308167,0.34171196818351746,0.2995435297489166,0.302409827709198
500,-0.08018337935209274,-0.11001478880643845,-0.08148461580276489,-0.03189331665635109,-0.031206801533699036,0.010581658221781254,0.04150448366999626,-0.10560794919729233,-0.024614928290247917,-0.10523529350757599,0.05473969131708145
projects,0.27294015884399414,0.32361799478530884,1.0,0.2698115110397339,0.23802334070205688,0.1875917911529541,0.3269411623477936,0.29098254442214966,0.21870890259742737,0.1746925264596939,0.3193145990371704
a,0.29312583804130554,0.2872205972671509,0.21870890259742737,0.38201746344566345,0.5829201340675354,0.271343857049942,0.2612716257572174,0.23004639148712158,1.0,0.29350247979164124,0.23916715383529663
year,0.19631797075271606,0.21933086216449738,0.1746925264596939,0.16000528633594513,0.3609684407711029,0.1138799786567688,0.19354598224163055,0.16948364675045013,0.29350247979164124,1.0,0.18315006792545319
.,0.3287222981452942,0.3974229395389557,0.2564103305339813,0.3022993505001068,0.5934505462646484,0.21697939932346344,0.29744869470596313,0.24798116087913513,0.50484299659729,0.32538118958473206,0.4130953550338745
