,what,is,composed,of,the,area,provost/dean,ad,the,several,district,superintendents,of,the,districts,in,the,annual,conference,?
all,0.41981086134910583,0.2553904056549072,0.18879856169223785,0.42798417806625366,0.4860881567001343,0.19650433957576752,0.2748367190361023,0.19356568157672882,0.4860881567001343,0.43438178300857544,0.11885090172290802,0.23470370471477509,0.42798417806625366,0.4860881567001343,0.1688939481973648,0.3335905969142914,0.4860881567001343,0.17117661237716675,0.2479005753993988,0.29575422406196594
clergy,0.21005667746067047,0.14745484292507172,0.14655910432338715,0.2905072271823883,0.26154741644859314,0.18534637987613678,0.3818604350090027,0.1902792602777481,0.26154741644859314,0.1841737926006317,0.1265416145324707,0.32372766733169556,0.2905072271823883,0.26154741644859314,0.17963707447052002,0.17874550819396973,0.26154741644859314,0.15445978939533234,0.20157036185264587,0.14422976970672607
appointments,0.22869615256786346,0.0920238122344017,0.19335167109966278,0.3058001697063446,0.2608503997325897,0.10106867551803589,0.4155426323413849,0.1761547178030014,0.2608503997325897,0.2615618407726288,0.15989117324352264,0.3660361170768738,0.3058001697063446,0.2608503997325897,0.2559223473072052,0.17355433106422424,0.2608503997325897,0.25630903244018555,0.24449770152568817,0.1699383556842804
are,0.29724663496017456,0.5330929756164551,0.21773962676525116,0.39081433415412903,0.40399202704429626,0.25780194997787476,0.2844012975692749,0.11269818991422653,0.40399202704429626,0.4241659343242645,0.17725017666816711,0.2165803611278534,0.39081433415412903,0.40399202704429626,0.26054954528808594,0.3841303884983063,0.40399202704429626,0.13641297817230225,0.1676291674375534,0.24591213464736938
made,0.23419176042079926,0.29543453454971313,0.31885090470314026,0.33167365193367004,0.3885267674922943,0.14538754522800446,0.16587500274181366,0.10517269372940063,0.3885267674922943,0.2829604148864746,0.12411753088235855,0.12468736618757248,0.33167365193367004,0.3885267674922943,0.13529126346111298,0.25271502137184143,0.3885267674922943,0.14948107302188873,0.14120103418827057,0.17218779027462006
and,0.31309178471565247,0.3859752118587494,0.25432297587394714,0.5116966962814331,0.5171257257461548,0.3044000566005707,0.34489545226097107,0.1829509735107422,0.5171257257461548,0.4663935899734497,0.23884956538677216,0.29699817299842834,0.5116966962814331,0.5171257257461548,0.2542273700237274,0.4954058527946472,0.5171257257461548,0.20847271382808685,0.21613861620426178,0.20544172823429108
fixed,0.255135715007782,0.19544963538646698,0.12268143147230148,0.1495256870985031,0.27127328515052795,0.18770691752433777,0.1540517359972,0.12329918146133423,0.27127328515052795,0.212726891040802,0.06255777925252914,0.1017473116517067,0.1495256870985031,0.27127328515052795,0.14283791184425354,0.20797649025917053,0.27127328515052795,0.1389504075050354,0.10304766148328781,0.2728462815284729
annually,0.13421958684921265,0.23383666574954987,0.08256402611732483,0.26902905106544495,0.30625078082084656,0.2190743237733841,0.23833347856998444,0.10057748109102249,0.30625078082084656,0.21482668817043304,0.1395317167043686,0.23066726326942444,0.26902905106544495,0.30625078082084656,0.11659333109855652,0.29646036028862,0.30625078082084656,0.8063210844993591,0.31717509031295776,0.1364409476518631
by,0.2455483376979828,0.3899846076965332,0.3350425958633423,0.3646814823150635,0.4408751428127289,0.22557134926319122,0.2625526487827301,0.14945930242538452,0.4408751428127289,0.3275541365146637,0.14779841899871826,0.2712264060974121,0.3646814823150635,0.4408751428127289,0.1545574814081192,0.370934396982193,0.4408751428127289,0.1677675098180771,0.13453824818134308,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,0.21816956996917725,0.733189046382904,1.0,0.37834644317626953,0.3538391888141632,0.24233382940292358,1.0,0.40559855103492737,0.2690705955028534,0.29967719316482544,0.733189046382904,1.0,0.233962744474411,0.6662389636039734,1.0,0.2958983778953552,0.25393402576446533,0.22068053483963013
