,when,did,zhenjin,die,?
kublai,0.24958351254463196,0.2875992953777313,0.6311249136924744,0.20504866540431976,0.14562560617923737
originally,0.3108700215816498,0.23196664452552795,0.14758139848709106,0.10367922484874725,0.07821967452764511
named,0.2802571952342987,0.1507878601551056,0.2263128012418747,0.11887799948453903,0.1297498345375061
his,0.37120407819747925,0.3546801507472992,0.23145434260368347,0.18615874648094177,0.18075084686279297
eldest,0.2107202559709549,0.18439269065856934,0.3080146908760071,0.1924920231103897,0.1492495983839035
son,0.24222131073474884,0.22313499450683594,0.27875494956970215,0.2104126214981079,0.14735563099384308
",",0.36674630641937256,0.3015086054801941,0.27640020847320557,0.23915338516235352,0.31091248989105225
zhenjin,0.2283475399017334,0.16349363327026367,1.0,0.15986798703670502,0.21700429916381836
",",0.36674630641937256,0.3015086054801941,0.27640020847320557,0.23915338516235352,0.31091248989105225
as,0.4437963366508484,0.3596470057964325,0.22575850784778595,0.1713295429944992,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,0.31641504168510437,0.2242266982793808,0.22068053483963013
crown,0.2492285519838333,0.14185261726379395,0.22546641528606415,0.05384053289890289,0.09979621320962906
prince,0.16897666454315186,0.1430761069059372,0.296450674533844,0.12383006513118744,0.15431542694568634
",",0.36674630641937256,0.3015086054801941,0.27640020847320557,0.23915338516235352,0.31091248989105225
but,0.5599016547203064,0.49033689498901367,0.2501668632030487,0.20781482756137848,0.27921953797340393
he,0.39115971326828003,0.3292143940925598,0.2427649050951004,0.2030687779188156,0.2089974731206894
died,0.20204433798789978,0.2759808599948883,0.16053734719753265,0.3548888862133026,0.15254227817058563
before,0.5650408267974854,0.33642593026161194,0.2529745101928711,0.18088938295841217,0.2507109045982361
kublai,0.24958351254463196,0.2875992953777313,0.6311249136924744,0.20504866540431976,0.14562560617923737
in,0.4431333839893341,0.2593238651752472,0.26840123534202576,0.18641351163387299,0.20430970191955566
1285,-0.22893328964710236,-0.3350485861301422,0.07408355921506882,-0.18262958526611328,-0.12624363601207733
.,0.475719153881073,0.35288307070732117,0.28400149941444397,0.2658497095108032,0.4130953550338745
