,colonialism,often,means,a,country,doing,what,?
although,0.23130834102630615,0.3973608613014221,0.23085415363311768,0.29747897386550903,0.19152677059173584,0.27308303117752075,0.24844598770141602,0.15541206300258636
imperialism,0.6857813596725464,0.239182248711586,0.180331289768219,0.17335295677185059,0.2708059251308441,0.21335960924625397,0.24614648520946503,0.14998586475849152
and,0.22906047105789185,0.42465832829475403,0.25371095538139343,0.3739250600337982,0.30884742736816406,0.31533369421958923,0.31309178471565247,0.20544172823429108
colonialism,0.9999999403953552,0.27811336517333984,0.22142089903354645,0.19192901253700256,0.3037540018558502,0.19178041815757751,0.27914220094680786,0.1519109606742859
focus,0.1828804612159729,0.2582515478134155,0.16590003669261932,0.2499895542860031,0.15460512042045593,0.2803403437137604,0.32940709590911865,0.23925252258777618
on,0.07177752256393433,0.24822035431861877,0.1561586558818817,0.3848365545272827,0.21584933996200562,0.2873699367046356,0.34226128458976746,0.2714994251728058
the,0.25141018629074097,0.38004449009895325,0.32225894927978516,0.5829201340675354,0.30432501435279846,0.29305580258369446,0.42745697498321533,0.22068053483963013
suppression,0.36941447854042053,0.25349727272987366,0.22919639945030212,0.26245731115341187,0.21380740404129028,0.25164222717285156,0.2868565022945404,0.21017272770404816
of,0.2704770565032959,0.3351972997188568,0.29942914843559265,0.5052502155303955,0.28866857290267944,0.25269845128059387,0.33290785551071167,0.1826142966747284
an,0.1578160524368286,0.18115736544132233,0.256989985704422,0.44552403688430786,0.19811232388019562,0.21229656040668488,0.2821882665157318,0.19793890416622162
other,0.23627415299415588,0.4479043185710907,0.2498726099729538,0.2806335389614105,0.28020480275154114,0.3138623535633087,0.341873437166214,0.24682199954986572
",",0.25518688559532166,0.24139221012592316,0.24041147530078888,0.427140474319458,0.27878350019454956,0.31285786628723145,0.3087472915649414,0.31091248989105225
if,0.14500217139720917,0.383415162563324,0.34415021538734436,0.41272827982902527,0.18476323783397675,0.4117172658443451,0.5277165174484253,0.4441644251346588
colonialism,0.9999999403953552,0.27811336517333984,0.22142089903354645,0.19192901253700256,0.3037540018558502,0.19178041815757751,0.27914220094680786,0.1519109606742859
refers,0.23648107051849365,0.41117075085639954,0.5175066590309143,0.3613983690738678,0.17449221014976501,0.18756411969661713,0.200907364487648,0.07924893498420715
to,0.24242931604385376,0.4351843297481537,0.2301892638206482,0.45503583550453186,0.31281599402427673,0.3272162973880768,0.455847829580307,0.29463258385658264
the,0.25141018629074097,0.38004449009895325,0.32225894927978516,0.5829201340675354,0.30432501435279846,0.29305580258369446,0.42745697498321533,0.22068053483963013
process,0.23563671112060547,0.28196385502815247,0.2859896719455719,0.2601566016674042,0.10112179815769196,0.38942399621009827,0.3466717302799225,0.2460896074771881
of,0.2704770565032959,0.3351972997188568,0.29942914843559265,0.5052502155303955,0.28866857290267944,0.25269845128059387,0.33290785551071167,0.1826142966747284
a,0.19192901253700256,0.3930865228176117,0.34418490529060364,1.0,0.20991116762161255,0.3023574650287628,0.3320399522781372,0.23916715383529663
country,0.3037540018558502,0.2158219814300537,0.20542795956134796,0.20991116762161255,1.0000001192092896,0.19798491895198822,0.22705033421516418,0.12647280097007751
taking,0.1712760031223297,0.25513404607772827,0.22596648335456848,0.2834925353527069,0.14387744665145874,0.49514734745025635,0.24635453522205353,0.19960761070251465
physical,0.19632089138031006,0.29466304183006287,0.13165254890918732,0.2210949957370758,0.12042959779500961,0.21972595155239105,0.27895045280456543,0.11781801283359528
control,0.21779391169548035,0.21204306185245514,0.21824975311756134,0.21056023240089417,0.1707092523574829,0.29155126214027405,0.2821830213069916,0.1620711386203766
of,0.2704770565032959,0.3351972997188568,0.29942914843559265,0.5052502155303955,0.28866857290267944,0.25269845128059387,0.33290785551071167,0.1826142966747284
another,0.23035548627376556,0.3346259295940399,0.3136116564273834,0.6191956996917725,0.23741063475608826,0.3201218247413635,0.4190070629119873,0.295511931180954
",",0.25518688559532166,0.24139221012592316,0.24041147530078888,0.427140474319458,0.27878350019454956,0.31285786628723145,0.3087472915649414,0.31091248989105225
imperialism,0.6857813596725464,0.239182248711586,0.180331289768219,0.17335295677185059,0.2708059251308441,0.21335960924625397,0.24614648520946503,0.14998586475849152
refers,0.23648107051849365,0.41117075085639954,0.5175066590309143,0.3613983690738678,0.17449221014976501,0.18756411969661713,0.200907364487648,0.07924893498420715
