,who,was,responsible,for,the,new,building,projects,in,jacksonville,?
after,0.32549580931663513,0.49306565523147583,0.22826717793941498,0.3650246858596802,0.4565047025680542,0.2620960772037506,0.17679904401302338,0.1472514271736145,0.44050168991088867,0.20310255885124207,0.16608688235282898
world,0.25158336758613586,0.3097524344921112,0.21612423658370972,0.2444595992565155,0.33604270219802856,0.22683997452259064,0.23112620413303375,0.23922695219516754,0.3038199245929718,0.15096579492092133,0.17579582333564758
war,0.24286115169525146,0.3560331463813782,0.14593513309955597,0.22632956504821777,0.366199791431427,0.18623678386211395,0.20358151197433472,0.21112312376499176,0.29904094338417053,0.18616357445716858,0.15510529279708862
ii,0.20800143480300903,0.25630512833595276,0.1515217274427414,0.11304846405982971,0.2631464898586273,0.19002428650856018,0.2399820238351822,0.142307311296463,0.21453368663787842,0.15012390911579132,0.11928234249353409
",",0.3365725874900818,0.45456063747406006,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.36073189973831177,0.2374238669872284,0.2649989724159241,0.5201468467712402,0.2837527096271515,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.3845241069793701,0.3159640431404114,0.23802334070205688,0.6662389636039734,0.2176690250635147,0.22068053483963013
government,0.27194860577583313,0.2995857298374176,0.3373570740222931,0.23902073502540588,0.31798112392425537,0.2173687368631363,0.29639387130737305,0.2482490986585617,0.3066793978214264,0.1274321973323822,0.18851417303085327
of,0.2827862501144409,0.4069072902202606,0.37070101499557495,0.4185989499092102,0.733189046382904,0.343457967042923,0.26200541853904724,0.21610960364341736,0.5696388483047485,0.23084138333797455,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.3845241069793701,0.3159640431404114,0.23802334070205688,0.6662389636039734,0.2176690250635147,0.22068053483963013
city,0.21073515713214874,0.3188765048980713,0.13289377093315125,0.18687109649181366,0.35769423842430115,0.3555362820625305,0.2894352674484253,0.15433156490325928,0.3911624252796173,0.3285287022590637,0.13423943519592285
of,0.2827862501144409,0.4069072902202606,0.37070101499557495,0.4185989499092102,0.733189046382904,0.343457967042923,0.26200541853904724,0.21610960364341736,0.5696388483047485,0.23084138333797455,0.1826142966747284
jacksonville,0.18528231978416443,0.2742757201194763,0.09311052411794662,0.28549739718437195,0.2176690250635147,0.2965656518936157,0.14063766598701477,0.1491067111492157,0.22147351503372192,1.0000001192092896,0.1359667330980301
began,0.1646115779876709,0.4683617055416107,0.2110176831483841,0.29047009348869324,0.3059147596359253,0.22779060900211334,0.2023947834968567,0.22264161705970764,0.34154343605041504,0.20913556218147278,0.1370266228914261
to,0.42656609416007996,0.3636345863342285,0.19470079243183136,0.4451248347759247,0.535392165184021,0.33159172534942627,0.2658686637878418,0.3065624237060547,0.45010748505592346,0.1994343250989914,0.29463258385658264
increase,0.16291113197803497,0.13373249769210815,0.2993883192539215,0.26647913455963135,0.32049667835235596,0.1888463795185089,0.21801027655601501,0.20976108312606812,0.25893163681030273,0.11985880136489868,0.11119163036346436
spending,0.26904383301734924,0.2423858493566513,0.3053681552410126,0.40498724579811096,0.30911970138549805,0.22659756243228912,0.26381856203079224,0.297924280166626,0.24553866684436798,0.2306322306394577,0.21198494732379913
to,0.42656609416007996,0.3636345863342285,0.19470079243183136,0.4451248347759247,0.535392165184021,0.33159172534942627,0.2658686637878418,0.3065624237060547,0.45010748505592346,0.1994343250989914,0.29463258385658264
fund,0.23413541913032532,0.24310266971588135,0.26296737790107727,0.3049182593822479,0.25521403551101685,0.23173321783542633,0.2687269151210785,0.39030659198760986,0.2148904800415039,0.18111367523670197,0.1883198469877243
new,0.2378052920103073,0.2748313844203949,0.16433848440647125,0.2700757384300232,0.3845241069793701,0.9999999403953552,0.2543124556541443,0.1836947500705719,0.3758552670478821,0.2965656518936157,0.14782847464084625
public,0.18950407207012177,0.2513592839241028,0.25239336490631104,0.3092794418334961,0.22857438027858734,0.1667426973581314,0.25489920377731323,0.3278602361679077,0.29074716567993164,0.22014451026916504,0.19872993230819702
building,0.19264253973960876,0.237406387925148,0.20495976507663727,0.2644540071487427,0.3159640431404114,0.2543124556541443,0.9999998807907104,0.29935577511787415,0.3256937265396118,0.14063766598701477,0.13549931347370148
projects,0.2510550618171692,0.161495640873909,0.24674144387245178,0.3048563301563263,0.23802334070205688,0.1836947500705719,0.29935577511787415,1.0,0.19637514650821686,0.1491067111492157,0.3193145990371704
in,0.2792111933231354,0.45514053106307983,0.24309778213500977,0.4322226941585541,0.6662389636039734,0.3758552670478821,0.3256937265396118,0.19637514650821686,1.0,0.22147351503372192,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.3845241069793701,0.3159640431404114,0.23802334070205688,0.6662389636039734,0.2176690250635147,0.22068053483963013
boom,0.1558491736650467,0.2138553112745285,0.13537736237049103,0.16954879462718964,0.21612322330474854,0.12064677476882935,0.21250514686107635,0.16046851873397827,0.23132365942001343,0.18294325470924377,0.155099555850029
that,0.45444270968437195,0.33670201897621155,0.3398503065109253,0.4137635827064514,0.5473989248275757,0.29177987575531006,0.2585349678993225,0.31265854835510254,0.435920387506485,0.20063675940036774,0.32716336846351624
occurred,0.10800112783908844,0.2760649025440216,0.2623012065887451,0.19633254408836365,0.3372073173522949,0.1690266728401184,0.19634056091308594,0.14581161737442017,0.3479720652103424,0.10367857664823532,0.15880417823791504
after,0.32549580931663513,0.49306565523147583,0.22826717793941498,0.3650246858596802,0.4565047025680542,0.2620960772037506,0.17679904401302338,0.1472514271736145,0.44050168991088867,0.20310255885124207,0.16608688235282898
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.3845241069793701,0.3159640431404114,0.23802334070205688,0.6662389636039734,0.2176690250635147,0.22068053483963013
war,0.24286115169525146,0.3560331463813782,0.14593513309955597,0.22632956504821777,0.366199791431427,0.18623678386211395,0.20358151197433472,0.21112312376499176,0.29904094338417053,0.18616357445716858,0.15510529279708862
.,0.3541337847709656,0.40146201848983765,0.2309054434299469,0.4726039469242096,0.5934505462646484,0.35031336545944214,0.275610089302063,0.2564103305339813,0.5591574311256409,0.2843366861343384,0.4130953550338745
