,what,battle,outside,quebec,city,did,british,lose,in,1760,?
the,0.42745697498321533,0.2820790410041809,0.3879719078540802,0.23410074412822723,0.35769423842430115,0.34736719727516174,0.28973397612571716,0.29030492901802063,0.6662389636039734,0.13955122232437134,0.22068053483963013
victory,0.12667348980903625,0.4560186564922333,0.1400517076253891,0.15200865268707275,0.2329167276620865,0.18024887144565582,0.19553309679031372,0.21183128654956818,0.21562302112579346,-0.01008580718189478,0.15412560105323792
was,0.22111038863658905,0.23319749534130096,0.21273015439510345,0.21936345100402832,0.3188765048980713,0.41399896144866943,0.31934812664985657,0.1366295963525772,0.45514053106307983,-0.008521330542862415,0.18412111699581146
made,0.23419176042079926,0.11756410449743271,0.15504804253578186,0.12483352422714233,0.1365484595298767,0.3068731725215912,0.17587663233280182,0.18653829395771027,0.25271502137184143,0.04115062206983566,0.17218779027462006
complete,0.29213884472846985,0.09775105863809586,0.13754414021968842,0.1160031333565712,0.15882322192192078,0.2538607120513916,0.14970111846923828,0.18292173743247986,0.2201821506023407,0.03879650682210922,0.11962060630321503
in,0.30808621644973755,0.24353940784931183,0.4191201329231262,0.19739758968353271,0.3911624252796173,0.2593238651752472,0.23084034025669098,0.26334479451179504,1.0,0.1117415502667427,0.20430970191955566
1760,0.10068996995687485,0.07964713126420975,0.053988147526979446,0.20811611413955688,0.14386413991451263,0.023803835734725,0.025434056296944618,0.12285508215427399,0.1117415502667427,1.0,0.12722811102867126
when,0.4700249433517456,0.15145152807235718,0.43530115485191345,0.13360057771205902,0.19592350721359253,0.3228907287120819,0.1642608791589737,0.34283626079559326,0.4431333839893341,0.11862466484308243,0.22841128706932068
",",0.3087472915649414,0.23037992417812347,0.2726076543331146,0.22051149606704712,0.35839709639549255,0.3015086054801941,0.25734075903892517,0.28248098492622375,0.5201468467712402,0.12693288922309875,0.31091248989105225
despite,0.1825345903635025,0.13638558983802795,0.25580427050590515,0.12839172780513763,0.13942177593708038,0.38115930557250977,0.20900486409664154,0.2616227865219116,0.27473363280296326,0.04439746215939522,0.14350546896457672
losing,0.2354373037815094,0.32125183939933777,0.20528343319892883,0.147004634141922,0.12083975225687027,0.2751401662826538,0.14032717049121857,0.622482180595398,0.3055514097213745,0.11286254972219467,0.15056444704532623
