,who,were,the,creators,of,the,flintstones,?
on,0.2340552806854248,0.2774328887462616,0.5107308030128479,0.19744370877742767,0.3966929316520691,0.5107308030128479,0.2602778375148773,0.2714994251728058
september,0.21365830302238464,0.19778019189834595,0.2516939043998718,0.16924695670604706,0.16787530481815338,0.2516939043998718,0.18722397089004517,0.2665146589279175
30,0.0856964960694313,0.10440058261156082,0.0730796679854393,0.03244468942284584,0.003304550424218178,0.0730796679854393,0.06965005397796631,-0.08261742442846298
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.23671454191207886,0.4946078956127167,0.4933079481124878,0.24699905514717102,0.31091248989105225
1960,-0.04823179915547371,-0.04043949395418167,0.038049813359975815,-0.016250910237431526,0.05807475745677948,0.038049813359975815,0.10777444392442703,-0.02243652194738388
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.23671454191207886,0.4946078956127167,0.4933079481124878,0.24699905514717102,0.31091248989105225
abc,0.14673753082752228,0.09045279771089554,0.2068762183189392,0.20179063081741333,0.14607268571853638,0.2068762183189392,0.27111661434173584,0.19065172970294952
premiered,0.11363447457551956,0.19595080614089966,0.2763466238975525,0.2542226016521454,0.17575117945671082,0.2763466238975525,0.3999561369419098,0.21595802903175354
the,0.3733934462070465,0.3906462490558624,1.0,0.23856082558631897,0.733189046382904,1.0,0.1954326629638672,0.22068053483963013
flintstones,0.1741110384464264,0.27770447731018066,0.1954326629638672,0.2609168291091919,0.14013685286045074,0.1954326629638672,1.0,0.21507510542869568
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.23671454191207886,0.4946078956127167,0.4933079481124878,0.24699905514717102,0.31091248989105225
another,0.4379323124885559,0.18328039348125458,0.5019711852073669,0.2167980819940567,0.38147079944610596,0.5019711852073669,0.20038099586963654,0.295511931180954
example,0.27006375789642334,0.21319323778152466,0.3755223751068115,0.1970023363828659,0.3570667505264282,0.3755223751068115,0.1920238882303238,0.30374911427497864
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.17953574657440186,1.0,0.733189046382904,0.14013685286045074,0.1826142966747284
counterprogramming,0.26087573170661926,0.18837733566761017,0.2565805912017822,0.33071500062942505,0.1915803700685501,0.2565805912017822,0.2605682611465454,0.26708662509918213
;,0.007937713526189327,0.14040996134281158,0.09152708947658539,0.011414959095418453,0.054534342139959335,0.09152708947658539,0.08050426840782166,0.10349778085947037
although,0.3003382384777069,0.29094749689102173,0.3265823423862457,0.12730242311954498,0.3024747669696808,0.3265823423862457,0.15595273673534393,0.15541206300258636
the,0.3733934462070465,0.3906462490558624,1.0,0.23856082558631897,0.733189046382904,1.0,0.1954326629638672,0.22068053483963013
animated,0.2125542014837265,0.1978815495967865,0.2584627568721771,0.34810125827789307,0.2521522045135498,0.2584627568721771,0.469122052192688,0.19142872095108032
series,0.21484537422657013,0.264431357383728,0.31376904249191284,0.34002751111984253,0.22268271446228027,0.31376904249191284,0.3875825107097626,0.1709602326154709
from,0.27839982509613037,0.29991888999938965,0.40150508284568787,0.15783436596393585,0.4249346852302551,0.40150508284568787,0.19570164382457733,0.19969791173934937
william,0.32068803906440735,0.18914814293384552,0.21537061035633087,0.1302076131105423,0.20272590219974518,0.21537061035633087,0.20131805539131165,0.14462219178676605
hanna,0.24788302183151245,0.18155774474143982,0.1849406361579895,0.21911676228046417,0.1322345733642578,0.1849406361579895,0.42375627160072327,0.1685352772474289
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.2332947999238968,0.5116966962814331,0.5171257257461548,0.26255521178245544,0.20544172823429108
joseph,0.24207964539527893,0.1973535269498825,0.2251148819923401,0.14692707359790802,0.20551647245883942,0.2251148819923401,0.15425796806812286,0.08421234786510468
barbera,0.2337370365858078,0.2560328543186188,0.2656538784503937,0.35339078307151794,0.21074923872947693,0.2656538784503937,0.47648197412490845,0.18378910422325134
was,0.3318818509578705,0.590133786201477,0.48711544275283813,0.24440065026283264,0.4069072902202606,0.48711544275283813,0.2534482479095459,0.18412111699581146
filmed,0.1369626671075821,0.23667742311954498,0.2799699008464813,0.18640302121639252,0.19801081717014313,0.2799699008464813,0.3952639102935791,0.12269312888383865
in,0.2792111933231354,0.3815755248069763,0.6662389636039734,0.13583984971046448,0.5696388483047485,0.6662389636039734,0.23422248661518097,0.20430970191955566
color,0.1621498465538025,0.12284558266401291,0.21895472705364227,0.11553330719470978,0.1876296103000641,0.21895472705364227,0.24665632843971252,0.21299609541893005
from,0.27839982509613037,0.29991888999938965,0.40150508284568787,0.15783436596393585,0.4249346852302551,0.40150508284568787,0.19570164382457733,0.19969791173934937
the,0.3733934462070465,0.3906462490558624,1.0,0.23856082558631897,0.733189046382904,1.0,0.1954326629638672,0.22068053483963013
