,what,are,phycobilins,?
phycobilins,0.2545374929904938,0.4288342595100403,1.0000001192092896,0.2176510989665985
are,0.29724663496017456,1.0,0.4288342595100403,0.24591213464736938
a,0.3320399522781372,0.265255331993103,0.292574942111969,0.23916715383529663
third,0.2033906877040863,0.15971572697162628,0.27758312225341797,0.15394791960716248
group,0.2114069163799286,0.35980498790740967,0.37442654371261597,0.13827809691429138
of,0.33290785551071167,0.39081433415412903,0.3692606985569,0.1826142966747284
pigments,0.2220182567834854,0.31982728838920593,0.48453691601753235,0.16673754155635834
found,0.1796332150697708,0.2740558087825775,0.2791838049888611,0.16790300607681274
in,0.30808621644973755,0.3841303884983063,0.36038753390312195,0.20430970191955566
cyanobacteria,0.2489619106054306,0.3043197691440582,0.5468531250953674,0.2106003761291504
",",0.3087472915649414,0.4062570035457611,0.33985501527786255,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.3351995348930359,0.20544172823429108
glaucophyte,0.24588492512702942,0.3433919847011566,0.5586848258972168,0.21570050716400146
",",0.3087472915649414,0.4062570035457611,0.33985501527786255,0.31091248989105225
red,0.16784515976905823,0.20341019332408905,0.23386695981025696,0.1495664119720459
algal,0.19235531985759735,0.2886090576648712,0.44175097346305847,0.18147486448287964
",",0.3087472915649414,0.4062570035457611,0.33985501527786255,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.3351995348930359,0.20544172823429108
cryptophyte,0.23500515520572662,0.3379228711128235,0.5018551349639893,0.18001990020275116
chloroplasts,0.2524593770503998,0.3103833794593811,0.5679081082344055,0.13049766421318054
.,0.3567904531955719,0.3452940285205841,0.4005586802959442,0.4130953550338745
