,when,did,li,tan,lead,a,revolt,?
li,0.18981222808361053,0.08404657244682312,1.0,0.27693045139312744,0.20571669936180115,0.18529003858566284,0.09493419528007507,0.17020992934703827
tan,0.1759074181318283,0.07581426948308945,0.27693045139312744,1.0,0.1577315628528595,0.181430384516716,-0.006778114940971136,0.13158518075942993
",",0.36674630641937256,0.3015086054801941,0.22546686232089996,0.22739070653915405,0.2561914026737213,0.427140474319458,0.18433308601379395,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,0.1979183703660965,0.12106015533208847,0.21995973587036133,0.5829201340675354,0.26279088854789734,0.22068053483963013
son-in-law,0.28012311458587646,0.2623210549354553,0.17488735914230347,0.1499452292919159,0.15747669339179993,0.23830564320087433,0.26332685351371765,0.19314444065093994
of,0.3757161796092987,0.2513895630836487,0.14930510520935059,0.11769649386405945,0.19835850596427917,0.5052502155303955,0.23708310723304749,0.1826142966747284
a,0.44397395849227905,0.2552328109741211,0.18529003858566284,0.181430384516716,0.20661775767803192,1.0,0.19650380313396454,0.23916715383529663
powerful,0.28011631965637207,0.2593378722667694,0.13368000090122223,0.03306004777550697,0.13726556301116943,0.2647459805011749,0.1587301641702652,0.12160622328519821
official,0.17409171164035797,0.2160998433828354,0.11578557640314102,0.1309705376625061,0.13054144382476807,0.19875815510749817,0.16624221205711365,0.18097688257694244
",",0.36674630641937256,0.3015086054801941,0.22546686232089996,0.22739070653915405,0.2561914026737213,0.427140474319458,0.18433308601379395,0.31091248989105225
instigated,0.24357634782791138,0.21011172235012054,0.06582532823085785,0.06270823627710342,0.1561446338891983,0.14080260694026947,0.16694964468479156,0.14144572615623474
a,0.44397395849227905,0.2552328109741211,0.18529003858566284,0.181430384516716,0.20661775767803192,1.0,0.19650380313396454,0.23916715383529663
revolt,0.2188282459974289,0.1584831327199936,0.09493419528007507,-0.006778114940971136,0.15624645352363586,0.19650380313396454,1.0000001192092896,0.13996845483779907
against,0.32684949040412903,0.22514554858207703,0.12836602330207825,0.030237974599003792,0.18827925622463226,0.2227657586336136,0.32754918932914734,0.18095137178897858
mongol,0.17596986889839172,0.17534953355789185,0.3026023209095001,0.2542699873447418,0.21864739060401917,0.15921570360660553,0.3034442365169525,0.12849251925945282
rule,0.28752797842025757,0.2618204951286316,0.1494320183992386,0.07780928909778595,0.17506252229213715,0.2032480239868164,0.3775333762168884,0.1955260932445526
in,0.4431333839893341,0.2593238651752472,0.12414256483316422,0.14525042474269867,0.2055644989013672,0.539380669593811,0.1841784566640854,0.20430970191955566
1262,0.10747221857309341,0.10685735195875168,0.1012440025806427,0.09988783299922943,0.03303315117955208,0.015391163527965546,0.02434634417295456,0.24691042304039001
.,0.475719153881073,0.35288307070732117,0.23461732268333435,0.1845131665468216,0.2305188626050949,0.50484299659729,0.1779014617204666,0.4130953550338745
