,what,dynasty,did,zhang,rhou,help,attack,?
chagaan,0.23666760325431824,0.31994473934173584,0.15600205957889557,0.36404454708099365,0.2740442454814911,0.18225881457328796,0.2508242428302765,0.20121696591377258
(,0.2411840260028839,0.15119072794914246,0.18979617953300476,0.19547557830810547,0.20137499272823334,0.23475761711597443,0.14524155855178833,0.40561532974243164
tsagaan,0.362971693277359,0.367178738117218,0.2801685631275177,0.4471602439880371,0.32669687271118164,0.2432045340538025,0.18493686616420746,0.26703140139579773
),0.26259949803352356,0.17090870440006256,0.18584993481636047,0.19492590427398682,0.16130544245243073,0.24308834969997406,0.15682637691497803,0.42300865054130554
and,0.31309178471565247,0.21357402205467224,0.34479495882987976,0.22111821174621582,0.26729148626327515,0.34926167130470276,0.24922382831573486,0.20544172823429108
zhang,0.1201971024274826,0.4723464548587799,0.12699444591999054,0.9999999403953552,0.40554019808769226,0.14084084331989288,0.1406765878200531,0.18468330800533295
rou,0.07333125919103622,0.2646157741546631,0.015884198248386383,0.39180296659469604,0.3556622266769409,0.07958422601222992,0.0322282537817955,0.1874285489320755
jointly,0.1769198477268219,0.2178877592086792,0.18674519658088684,0.17505331337451935,0.12097305059432983,0.1617499738931656,0.08235646784305573,0.1325671374797821
launched,0.1668553501367569,0.0948479101061821,0.1794346421957016,0.16648438572883606,0.1352846473455429,0.15633049607276917,0.27588531374931335,0.1803835779428482
an,0.2821882665157318,0.17141813039779663,0.22598257660865784,0.1418340653181076,0.1782650351524353,0.18658781051635742,0.18768218159675598,0.19793890416622162
attack,0.16093501448631287,0.1711936742067337,0.13678960502147675,0.1406765878200531,0.08663295209407806,0.2504502236843109,1.0,0.126759335398674
on,0.34226128458976746,0.10236000269651413,0.2670976221561432,0.10328909009695053,0.1663217842578888,0.24844828248023987,0.27725884318351746,0.2714994251728058
the,0.42745697498321533,0.26267939805984497,0.34736719727516174,0.22290484607219696,0.20516641438007355,0.30064165592193604,0.2508925497531891,0.22068053483963013
song,0.21011823415756226,0.24676866829395294,0.1988414227962494,0.2780805230140686,0.31589770317077637,0.12723253667354584,0.1694536954164505,0.20782215893268585
dynasty,0.17240095138549805,1.0,0.19201454520225525,0.4723464548587799,0.26020392775535583,0.12421335279941559,0.1711936742067337,0.15884074568748474
ordered,0.1877245008945465,0.17117509245872498,0.3289390504360199,0.09831999987363815,0.02918923832476139,0.27016472816467285,0.23888272047042847,0.11423391848802567
by,0.2455483376979828,0.198152095079422,0.18574509024620056,0.23419831693172455,0.15314273536205292,0.2285822480916977,0.1761384904384613,0.17966607213020325
töregene,0.1762150079011917,0.2565535008907318,0.17561760544776917,0.2177175134420395,0.28868696093559265,0.2565685510635376,0.1727675199508667,0.15313191711902618
khatun,0.17147623002529144,0.4663425385951996,0.2058679759502411,0.4364100694656372,0.26375871896743774,0.1465766727924347,0.15370957553386688,0.15617743134498596
.,0.3567904531955719,0.20616187155246735,0.35288307070732117,0.2318396270275116,0.21832755208015442,0.32205137610435486,0.3003302216529846,0.4130953550338745
