,what,is,the,fee,range,for,accessing,bskyb,'s,epg,?
any,0.43670421838760376,0.35691767930984497,0.4525727927684784,0.24136409163475037,0.24516437947750092,0.3944643437862396,0.3912169635295868,0.13880807161331177,0.09017360955476761,0.23326259851455688,0.4113408327102661
channel,0.20295917987823486,0.22889479994773865,0.2860044836997986,0.14354832470417023,0.15525612235069275,0.1936226189136505,0.23082265257835388,0.17153316736221313,0.10094652324914932,0.1970899999141693,0.20176179707050323
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.23782972991466522,0.2962178587913513,0.44095608592033386,0.3360328674316406,0.17957738041877747,0.03856118768453598,0.31262847781181335,0.25814583897590637
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.18623529374599457,0.2876698672771454,0.35690054297447205,0.3813559412956238,0.1512226015329361,-0.02075597457587719,0.18690373003482819,0.3226337134838104
get,0.3490515947341919,0.29207053780555725,0.29667025804519653,0.2189776450395584,0.19386501610279083,0.342695415019989,0.34441155195236206,0.09634572267532349,-0.031001994386315346,0.18746282160282135,0.3499825894832611
carriage,0.11489621549844742,0.13854938745498657,0.2583298683166504,0.2552240490913391,0.11171910911798477,0.23697735369205475,0.16144073009490967,0.20719881355762482,-0.05248705670237541,0.30244186520576477,0.08573433756828308
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.19925686717033386,0.19070495665073395,0.36199691891670227,0.23468025028705597,0.13935911655426025,0.0026888418942689896,0.22145158052444458,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.23766779899597168,0.23913569748401642,0.44038116931915283,0.22333747148513794,0.21951700747013092,0.04866964742541313,0.2869597375392914,0.23916715383529663
suitable,0.312705934047699,0.23944979906082153,0.25567856431007385,0.20706892013549805,0.21945935487747192,0.41336748003959656,0.4017203450202942,0.09024316072463989,0.021027877926826477,0.15941540896892548,0.1929006725549698
beam,0.20283140242099762,0.19200393557548523,0.2124788761138916,0.1066964864730835,0.16668856143951416,0.19327305257320404,0.24190965294837952,0.13286224007606506,-0.0005701262853108346,0.11282970756292343,0.14325125515460968
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.14403757452964783,0.234999418258667,0.4185989499092102,0.2629631459712982,0.16413870453834534,-0.03817026689648628,0.29333218932151794,0.1826142966747284
