,most,of,the,productions,in,the,tgif,lineup,were,produced,by,what,production,company,?
many,0.6236066222190857,0.37253960967063904,0.4335206151008606,0.2544585168361664,0.41474202275276184,0.4335206151008606,0.13353228569030762,0.1859235018491745,0.4804460406303406,0.2355157881975174,0.3409687578678131,0.36131182312965393,0.21343427896499634,0.196149542927742,0.2124512493610382
of,0.4178851246833801,1.0,0.733189046382904,0.18559667468070984,0.5696388483047485,0.733189046382904,0.23987232148647308,0.18776953220367432,0.34038281440734863,0.18961067497730255,0.3646814823150635,0.33290785551071167,0.1928233802318573,0.20467796921730042,0.1826142966747284
the,0.47635307908058167,0.733189046382904,1.0,0.2695383131504059,0.6662389636039734,1.0,0.28913572430610657,0.32800373435020447,0.3906462490558624,0.22045251727104187,0.4408751428127289,0.42745697498321533,0.2657334506511688,0.26591673493385315,0.22068053483963013
series,0.20793810486793518,0.22268271446228027,0.31376904249191284,0.31595122814178467,0.2914260923862457,0.31376904249191284,0.11284953355789185,0.30877336859703064,0.264431357383728,0.2875058650970459,0.267352432012558,0.17328087985515594,0.19960786402225494,0.23864467442035675,0.1709602326154709
featured,0.2976846694946289,0.2342860847711563,0.28660184144973755,0.33763256669044495,0.2658694386482239,0.28660184144973755,0.1821557879447937,0.31697532534599304,0.26517489552497864,0.3326459228992462,0.2284073531627655,0.20330384373664856,0.2531740069389343,0.1271539032459259,0.2944096624851227
during,0.3715948462486267,0.3869180977344513,0.4838213622570038,0.1972537785768509,0.4627237319946289,0.4838213622570038,0.20262236893177032,0.2763282060623169,0.4064035415649414,0.20210334658622742,0.3220438063144684,0.24137552082538605,0.18893569707870483,0.12950238585472107,0.1325719803571701
the,0.47635307908058167,0.733189046382904,1.0,0.2695383131504059,0.6662389636039734,1.0,0.28913572430610657,0.32800373435020447,0.3906462490558624,0.22045251727104187,0.4408751428127289,0.42745697498321533,0.2657334506511688,0.26591673493385315,0.22068053483963013
run,0.19482719898223877,0.2272813767194748,0.27883726358413696,0.166937455534935,0.26368704438209534,0.27883726358413696,0.1961027979850769,0.2078358381986618,0.18121561408042908,0.15911537408828735,0.1807866394519806,0.2294815480709076,0.1428634226322174,0.2012515664100647,0.17904110252857208
of,0.4178851246833801,1.0,0.733189046382904,0.18559667468070984,0.5696388483047485,0.733189046382904,0.23987232148647308,0.18776953220367432,0.34038281440734863,0.18961067497730255,0.3646814823150635,0.33290785551071167,0.1928233802318573,0.20467796921730042,0.1826142966747284
the,0.47635307908058167,0.733189046382904,1.0,0.2695383131504059,0.6662389636039734,1.0,0.28913572430610657,0.32800373435020447,0.3906462490558624,0.22045251727104187,0.4408751428127289,0.42745697498321533,0.2657334506511688,0.26591673493385315,0.22068053483963013
