,which,smartphone,customers,were,the,only,people,who,could,stream,the,game,on,their,phones,?
due,0.26323074102401733,0.14860355854034424,0.22250647842884064,0.17703603208065033,0.22577603161334991,0.2755577266216278,0.148370623588562,0.1198829784989357,0.1901681274175644,0.2508307099342346,0.22577603161334991,0.12858666479587555,0.3553527891635895,0.24727599322795868,0.14037799835205078,0.10954997688531876
to,0.5345056653022766,0.24273492395877838,0.3428913950920105,0.31913647055625916,0.535392165184021,0.5096819996833801,0.37275731563568115,0.42656609416007996,0.5461788773536682,0.2466391623020172,0.535392165184021,0.2540906071662903,0.41031414270401,0.44619059562683105,0.2380242794752121,0.29463258385658264
verizon,0.23696771264076233,0.4314710795879364,0.4136163592338562,0.17193268239498138,0.25158894062042236,0.21507270634174347,0.18438167870044708,0.16132478415966034,0.2110619693994522,0.23847942054271698,0.25158894062042236,0.23836243152618408,0.27186712622642517,0.18617357313632965,0.3730786442756653,0.17554552853107452
communications,0.2752927243709564,0.49887508153915405,0.3534083962440491,0.19398754835128784,0.2746332883834839,0.22439736127853394,0.2066979855298996,0.2019229233264923,0.2281314581632614,0.20543228089809418,0.2746332883834839,0.18174539506435394,0.2067214697599411,0.24513447284698486,0.517825722694397,0.09561901539564133
exclusivity,0.36230313777923584,0.28156614303588867,0.3487088680267334,0.1959460824728012,0.32945024967193604,0.37462013959884644,0.21388760209083557,0.17407310009002686,0.18788665533065796,0.18680152297019958,0.32945024967193604,0.2248242050409317,0.30348527431488037,0.2993907332420349,0.2418137788772583,0.16407433152198792
",",0.3658004403114319,0.22364270687103271,0.15941546857357025,0.36755475401878357,0.4933079481124878,0.4220978021621704,0.36644625663757324,0.3365725874900818,0.27399855852127075,0.2126854658126831,0.4933079481124878,0.2653886377811432,0.49057599902153015,0.3045167922973633,0.21309082210063934,0.31091248989105225
streaming,0.35208848118782043,0.41488727927207947,0.3146645128726959,0.13763010501861572,0.25890758633613586,0.2764362394809723,0.16529373824596405,0.13284774124622345,0.1765119731426239,0.6805038452148438,0.25890758633613586,0.3096821904182434,0.320134699344635,0.2478855699300766,0.33770138025283813,0.19690081477165222
on,0.4245251417160034,0.2110549807548523,0.18067432940006256,0.2774328887462616,0.5107308030128479,0.38586410880088806,0.2559742033481598,0.2340552806854248,0.2953716814517975,0.2180166095495224,0.5107308030128479,0.22967135906219482,0.9999999403953552,0.3598666191101074,0.19611085951328278,0.2714994251728058
smartphones,0.28524547815322876,0.9587912559509277,0.45900747179985046,0.21775004267692566,0.18904532492160797,0.2927170693874359,0.26341304183006287,0.21853631734848022,0.2839365005493164,0.2149762064218521,0.18904532492160797,0.32388952374458313,0.21007202565670013,0.2718501389026642,0.8333446383476257,0.23329822719097137
was,0.2830964922904968,0.15720829367637634,0.16072756052017212,0.590133786201477,0.48711544275283813,0.36249664425849915,0.2518421411514282,0.3318818509578705,0.39896807074546814,0.11494481563568115,0.48711544275283813,0.2568269371986389,0.3909217119216919,0.2396296262741089,0.16566155850887299,0.18412111699581146
