,how,many,factors,of,health,and,social,problems,did,wilkinson,and,pickett,identify,?
creating,0.2829582095146179,0.2926029562950134,0.1844421774148941,0.29262492060661316,0.18732766807079315,0.36289316415786743,0.20815104246139526,0.22791732847690582,0.23149485886096954,0.13406547904014587,0.36289316415786743,0.1269151121377945,0.2859646677970886,0.2842518985271454
an,0.2520636022090912,0.2465583086013794,0.17689111828804016,0.32280945777893066,0.1369510293006897,0.2838519215583801,0.1521279513835907,0.1804785281419754,0.22598257660865784,0.1499437689781189,0.2838519215583801,0.23779809474945068,0.19922707974910736,0.19793890416622162
index,0.25116270780563354,0.13203857839107513,0.24891114234924316,0.20335990190505981,0.18732501566410065,0.14331957697868347,0.18474674224853516,0.22013337910175323,0.12667077779769897,0.1763591319322586,0.14331957697868347,0.06956920772790909,0.15858539938926697,0.2477751076221466
of,0.2480744868516922,0.37253960967063904,0.30045145750045776,1.0,0.28076469898223877,0.5116966962814331,0.2605111300945282,0.2450421154499054,0.2513895630836487,0.21511130034923553,0.5116966962814331,0.17273010313510895,0.244131401181221,0.1826142966747284
``,-0.01591024175286293,0.012824942357838154,0.17154639959335327,0.06780257821083069,0.003065527183935046,0.036644238978624344,0.0685405433177948,0.07921574264764786,-0.029888948425650597,-0.03806747868657112,0.036644238978624344,-0.016437623649835587,0.09565182030200958,0.0685480609536171
health,0.24691897630691528,0.2277422696352005,0.3263867497444153,0.28076469898223877,1.0000001192092896,0.3215619623661041,0.3956437110900879,0.40322181582450867,0.21597589552402496,0.2323635369539261,0.3215619623661041,0.1474691778421402,0.20547914505004883,0.16094304621219635
and,0.33647966384887695,0.5296266674995422,0.2477942556142807,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.34479495882987976,0.32041966915130615,1.0,0.24974514544010162,0.2600044310092926,0.20544172823429108
social,0.2205141931772232,0.2721116840839386,0.23937837779521942,0.2605111300945282,0.3956437110900879,0.38231831789016724,1.0,0.24665296077728271,0.1977856606245041,0.1871601790189743,0.38231831789016724,0.10927283763885498,0.18205462396144867,0.1615191102027893
problems,0.37939780950546265,0.33828115463256836,0.43909165263175964,0.2450421154499054,0.40322181582450867,0.285793662071228,0.24665296077728271,1.0,0.2553269863128662,0.1660344898700714,0.285793662071228,0.1314532458782196,0.20285017788410187,0.2638136148452759
'',-0.0029843549709767103,-0.016843097284436226,0.030209749937057495,0.13035868108272552,-0.002438992029055953,0.021612688899040222,0.01732291281223297,0.003717846004292369,0.01978493109345436,-0.04737384244799614,0.021612688899040222,-0.031203698366880417,0.09505373239517212,0.018684765323996544
from,0.22939439117908478,0.33099696040153503,0.21590188145637512,0.4249346852302551,0.17037683725357056,0.3601827025413513,0.16684982180595398,0.21618343889713287,0.20248863101005554,0.14318878948688507,0.3601827025413513,0.06547313928604126,0.14510680735111237,0.19969791173934937
