,when,did,the,arab,oil,producers,lift,the,embargo,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2674407660961151,0.21849922835826874,0.23758956789970398,0.2480313628911972,1.0,0.2032013237476349,0.22068053483963013
promise,0.30765482783317566,0.3832111656665802,0.2980596125125885,0.1895439177751541,0.16919925808906555,0.18307016789913177,0.19702346622943878,0.2980596125125885,0.2867105007171631,0.2883463501930237
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22039446234703064,0.22900764644145966,0.131597638130188,0.16919773817062378,0.733189046382904,0.15861348807811737,0.1826142966747284
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.1530216783285141,0.18393073976039886,0.16246287524700165,0.2548900842666626,0.5829201340675354,0.17945899069309235,0.23916715383529663
negotiated,0.23328764736652374,0.280305415391922,0.2594250440597534,0.2157948911190033,0.18434035778045654,0.14423011243343353,0.16653358936309814,0.2594250440597534,0.3534112572669983,0.09223373234272003
settlement,0.20788389444351196,0.11278556287288666,0.2599570155143738,0.17338334023952484,0.09024113416671753,0.1274530589580536,0.08009491860866547,0.2599570155143738,0.2438475638628006,0.12535437941551208
between,0.38258615136146545,0.16542956233024597,0.39067012071609497,0.1601215898990631,0.13989733159542084,0.1021157056093216,0.1646060198545456,0.39067012071609497,0.1247151792049408,0.12887074053287506
israel,0.17024831473827362,0.16748307645320892,0.21617624163627625,0.4420599043369293,0.14114989340305328,0.17919598519802094,0.20953939855098724,0.21617624163627625,0.2163732498884201,0.15015864372253418
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.25018808245658875,0.19239190220832825,0.2762635052204132,0.19413554668426514,0.5171257257461548,0.17066378891468048,0.20544172823429108
syria,0.23408985137939453,0.12997110188007355,0.25272905826568604,0.5267495512962341,0.2560561001300812,0.15918304026126862,0.21005278825759888,0.25272905826568604,0.3113461434841156,0.1554446816444397
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.20103047788143158,0.15102124214172363,0.21758778393268585,0.11805781722068787,0.48711544275283813,0.09949713945388794,0.18412111699581146
enough,0.4027702510356903,0.3866412043571472,0.304282009601593,0.09391241520643234,0.15284869074821472,0.1980057656764984,0.27094823122024536,0.304282009601593,0.18730731308460236,0.3526461720466614
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.2106133997440338,0.1619214415550232,0.2612137794494629,0.2619283199310303,0.535392165184021,0.24951419234275818,0.29463258385658264
convince,0.3106894791126251,0.41965535283088684,0.23711489140987396,0.15685980021953583,0.13210801780223846,0.22891880571842194,0.20141638815402985,0.23711489140987396,0.2743717133998871,0.28195878863334656
arab,0.16604845225811005,0.16366532444953918,0.2674407660961151,1.0,0.2262253612279892,0.20511016249656677,0.18147143721580505,0.2674407660961151,0.2932206392288208,0.18450474739074707
oil,0.2048342078924179,0.10956666618585587,0.21849922835826874,0.2262253612279892,1.0,0.2157101184129715,0.1433553546667099,0.21849922835826874,0.316433310508728,0.14867261052131653
producers,0.1638202667236328,0.2055254876613617,0.23758956789970398,0.20511016249656677,0.2157101184129715,1.0,0.10024704039096832,0.23758956789970398,0.21639025211334229,0.15943901240825653
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.2106133997440338,0.1619214415550232,0.2612137794494629,0.2619283199310303,0.535392165184021,0.24951419234275818,0.29463258385658264
lift,0.22676168382167816,0.187968909740448,0.2480313628911972,0.18147143721580505,0.1433553546667099,0.10024704039096832,1.0,0.2480313628911972,0.21488505601882935,0.1929398477077484
the,0.5091903209686279,0.34736719727516174,1.0,0.2674407660961151,0.21849922835826874,0.23758956789970398,0.2480313628911972,1.0,0.2032013237476349,0.22068053483963013
embargo,0.21684038639068604,0.14320364594459534,0.2032013237476349,0.2932206392288208,0.316433310508728,0.21639025211334229,0.21488505601882935,0.2032013237476349,1.0,0.21724076569080353
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.19895488023757935,0.21800900995731354,0.15846984088420868,0.15190725028514862,0.6662389636039734,0.171186164021492,0.20430970191955566
march,0.22895319759845734,0.27992504835128784,0.2680487632751465,0.13638935983181,0.1503249704837799,0.1523158699274063,0.10515233874320984,0.2680487632751465,0.15049105882644653,0.2802562415599823
1974,-0.04478467255830765,-0.07115182280540466,0.07901259511709213,-0.13917303085327148,-0.05812382698059082,-0.06355893611907959,-0.02781336009502411,0.07901259511709213,-0.13325504958629608,-0.17742674052715302
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.22325089573860168,0.22117017209529877,0.20830154418945312,0.19175831973552704,0.5934505462646484,0.18229776620864868,0.4130953550338745
