,when,did,the,age,of,imperialism,begin,?
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.34293439984321594,0.22068053483963013
age,0.30780088901519775,0.1816447526216507,0.24711290001869202,0.9999998807907104,0.2372717410326004,0.21574589610099792,0.16822487115859985,0.16859300434589386
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2372717410326004,1.0,0.29240643978118896,0.24830074608325958,0.1826142966747284
imperialism,0.18709999322891235,0.23293417692184448,0.2716025412082672,0.21574589610099792,0.29240643978118896,1.0,0.13485221564769745,0.14998586475849152
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.27304404973983765,0.31091248989105225
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.19297243654727936,0.5052502155303955,0.17335295677185059,0.22845244407653809,0.23916715383529663
time,0.4363728165626526,0.3567926585674286,0.43061500787734985,0.3006857633590698,0.35127586126327515,0.2162761688232422,0.28328433632850647,0.27391523122787476
period,0.3356073200702667,0.1760309934616089,0.3125074505805969,0.3056888282299042,0.2698146104812622,0.3079160451889038,0.24772560596466064,0.18706195056438446
beginning,0.41447868943214417,0.28616875410079956,0.49622642993927,0.3231316804885864,0.36558160185813904,0.30684593319892883,0.5141252875328064,0.19413669407367706
around,0.39192935824394226,0.1658935695886612,0.40085816383361816,0.20848071575164795,0.3296394646167755,0.11632869392633438,0.3215760290622711,0.14729668200016022
1700,0.005085012409836054,0.00649490300565958,0.004123383201658726,0.054672129452228546,0.04021696373820305,-0.024983037263154984,0.00535962451249361,0.23029880225658417
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.27304404973983765,0.31091248989105225
saw,0.35850170254707336,0.4446955919265747,0.318278044462204,0.2150297909975052,0.28204935789108276,0.18329225480556488,0.24562746286392212,0.14690998196601868
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.14561709761619568,0.35032153129577637,0.19792230427265167,0.12756820023059845,0.40561532974243164
generally,0.38531962037086487,0.27544987201690674,0.41466525197029114,0.1846071034669876,0.3127037584781647,0.18343795835971832,0.24115070700645447,0.23411904275417328
european,0.1717725396156311,0.2440035194158554,0.3423081040382385,0.1983698159456253,0.2507138252258301,0.29965823888778687,0.14297418296337128,0.14560863375663757
),0.2538422644138336,0.18584993481636047,0.3456730246543884,0.16737043857574463,0.3680361211299896,0.2044532299041748,0.13078060746192932,0.42300865054130554
industrializing,0.2571565508842468,0.1798989623785019,0.29904186725616455,0.2030416876077652,0.3208208680152893,0.4356524348258972,0.18682067096233368,0.08651439845561981
nations,0.20238140225410461,0.22762395441532135,0.3506215214729309,0.18162210285663605,0.27521562576293945,0.3038134276866913,0.21715502440929413,0.20999202132225037
engaging,0.2510518431663513,0.2288731336593628,0.23593446612358093,0.11590941995382309,0.192693829536438,0.18181250989437103,0.2823735177516937,0.2109413743019104
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.30576348304748535,0.5696388483047485,0.2081184834241867,0.2903634011745453,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.34293439984321594,0.22068053483963013
process,0.31665828824043274,0.1973760724067688,0.264274537563324,0.10487885028123856,0.23962904512882233,0.1566760092973709,0.27087026834487915,0.2460896074771881
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2372717410326004,1.0,0.29240643978118896,0.24830074608325958,0.1826142966747284
colonizing,0.30337756872177124,0.19896622002124786,0.3490079641342163,0.20824125409126282,0.338785320520401,0.3381662368774414,0.2654813230037689,0.13917478919029236
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.27304404973983765,0.31091248989105225
influencing,0.2133924663066864,0.21696656942367554,0.252848744392395,0.18851889669895172,0.307373583316803,0.3557555675506592,0.14843545854091644,0.14824119210243225
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.27304404973983765,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.20936404168605804,0.5116966962814331,0.19073538482189178,0.2599445581436157,0.20544172823429108
annexing,0.27916771173477173,0.23304586112499237,0.3796091675758362,0.1330116093158722,0.3297026753425598,0.3460289239883423,0.26057738065719604,0.18826758861541748
other,0.34102705121040344,0.31707024574279785,0.44152235984802246,0.16309690475463867,0.38583824038505554,0.19548238813877106,0.23220928013324738,0.24682199954986572
parts,0.3205466568470001,0.19881683588027954,0.4042440354824066,0.10992573201656342,0.3379773199558258,0.12412426620721817,0.19786350429058075,0.12310896813869476
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2372717410326004,1.0,0.29240643978118896,0.24830074608325958,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.34293439984321594,0.22068053483963013
world,0.23794586956501007,0.1944720596075058,0.33604270219802856,0.24584408104419708,0.2828933000564575,0.2946701943874359,0.1715470850467682,0.17579582333564758
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.30576348304748535,0.5696388483047485,0.2081184834241867,0.2903634011745453,0.20430970191955566
order,0.2338472604751587,0.22891858220100403,0.3284194767475128,0.11150703579187393,0.31287699937820435,0.21219590306282043,0.1517859697341919,0.13725648820400238
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.23830388486385345,0.41548454761505127,0.21685542166233063,0.33302420377731323,0.29463258385658264
gain,0.2245345413684845,0.2568015456199646,0.2682225704193115,0.10029162466526031,0.27324017882347107,0.23464342951774597,0.25952979922294617,0.1417919248342514
political,0.1841188669204712,0.21022029221057892,0.20477235317230225,0.15353354811668396,0.27319738268852234,0.4096531569957733,0.11899580806493759,0.17130474746227264
power,0.28225177526474,0.2120266556739807,0.2647338807582855,0.16731160879135132,0.25273123383522034,0.25230416655540466,0.16251705586910248,0.15304024517536163
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2498820275068283,0.5352458953857422,0.22279119491577148,0.24827922880649567,0.4130953550338745
