,is,the,packet,header,long
routing,0.18921449780464172,0.2927027940750122,0.3821406066417694,0.25895652174949646,0.2795901298522949
a,0.658733606338501,0.5829201340675354,0.2726188004016876,0.23969274759292603,0.3795371353626251
packet,0.21452254056930542,0.18130622804164886,1.0000001192092896,0.27117154002189636,0.20466260612010956
requires,0.3339230418205261,0.2693159878253937,0.27372613549232483,0.19232654571533203,0.1890452355146408
the,0.5823672413825989,1.0,0.18130622804164886,0.25634846091270447,0.3075225353240967
node,0.2219354510307312,0.21695494651794434,0.2892623543739319,0.26648223400115967,0.16494596004486084
to,0.42745086550712585,0.535392165184021,0.271213173866272,0.17496643960475922,0.30218687653541565
look,0.19945533573627472,0.2806221544742584,0.22901016473770142,0.21598058938980103,0.2140035182237625
up,0.2853454053401947,0.38423117995262146,0.2537858486175537,0.16442228853702545,0.309156209230423
the,0.5823672413825989,1.0,0.18130622804164886,0.25634846091270447,0.3075225353240967
connection,0.2946256697177887,0.29966840147972107,0.31168311834335327,0.23798686265945435,0.20734794437885284
id,0.18440809845924377,0.18612393736839294,0.18898025155067444,0.2971947193145752,0.03696717694401741
in,0.5394441485404968,0.6662389636039734,0.1529032289981842,0.16999360918998718,0.2759332060813904
a,0.658733606338501,0.5829201340675354,0.2726188004016876,0.23969274759292603,0.3795371353626251
table,0.2049751877784729,0.22716619074344635,0.28016960620880127,0.39292415976524353,0.14689749479293823
.,0.4569662809371948,0.5934505462646484,0.1900589019060135,0.2240654081106186,0.3247973620891571
,is,the,packet,header,long
the,0.5823672413825989,1.0,0.18130622804164886,0.25634846091270447,0.3075225353240967
packet,0.21452254056930542,0.18130622804164886,1.0000001192092896,0.27117154002189636,0.20466260612010956
header,0.13152378797531128,0.25634846091270447,0.27117154002189636,0.9999999403953552,0.19866038858890533
can,0.44256699085235596,0.312528520822525,0.33246806263923645,0.19639508426189423,0.3047220706939697
be,0.4819129705429077,0.4248143136501312,0.2636879086494446,0.2913395166397095,0.2658098042011261
small,0.32085540890693665,0.39655908942222595,0.2305823266506195,0.13818833231925964,0.36645185947418213
",",0.4691906273365021,0.4933079481124878,0.12501740455627441,0.19192184507846832,0.3431144952774048
as,0.43216490745544434,0.48381632566452026,0.15288670361042023,0.2300977259874344,0.23432248830795288
it,0.6328473687171936,0.6251175999641418,0.18779484927654266,0.20839065313339233,0.34568047523498535
only,0.44708555936813354,0.5497692227363586,0.23857730627059937,0.19528719782829285,0.34116268157958984
needs,0.36612293124198914,0.24302323162555695,0.3201548457145691,0.2893396317958832,0.21731235086917877
to,0.42745086550712585,0.535392165184021,0.271213173866272,0.17496643960475922,0.30218687653541565
contain,0.31030410528182983,0.26383090019226074,0.34666115045547485,0.2686884105205536,0.20683926343917847
this,0.480927973985672,0.6274310946464539,0.27222853899002075,0.28566062450408936,0.3617446720600128
code,0.21759375929832458,0.25827479362487793,0.21055178344249725,0.28514549136161804,0.16552425920963287
and,0.3859752118587494,0.5171257257461548,0.22431595623493195,0.19822438061237335,0.3395216166973114
any,0.35691767930984497,0.4525727927684784,0.2627409100532532,0.31659266352653503,0.28555813431739807
information,0.2520555853843689,0.3143121302127838,0.33543625473976135,0.35167166590690613,0.2117002010345459
",",0.4691906273365021,0.4933079481124878,0.12501740455627441,0.19192184507846832,0.3431144952774048
such,0.23545363545417786,0.3575236201286316,0.1767272800207138,0.1875363439321518,0.227485790848732
as,0.43216490745544434,0.48381632566452026,0.15288670361042023,0.2300977259874344,0.23432248830795288
length,0.2527557909488678,0.26581600308418274,0.17984464764595032,0.20952947437763214,0.47154614329338074
",",0.4691906273365021,0.4933079481124878,0.12501740455627441,0.19192184507846832,0.3431144952774048
timestamp,0.23145759105682373,0.25625577569007874,0.34701403975486755,0.4081549644470215,0.14312082529067993
",",0.4691906273365021,0.4933079481124878,0.12501740455627441,0.19192184507846832,0.3431144952774048
or,0.41870999336242676,0.4174870550632477,0.3371835947036743,0.22267159819602966,0.2804487943649292
sequence,0.19034716486930847,0.2635619342327118,0.25449228286743164,0.25520044565200806,0.17616897821426392
number,0.22390379011631012,0.35145696997642517,0.2548500895500183,0.2645985186100006,0.16251330077648163
",",0.4691906273365021,0.4933079481124878,0.12501740455627441,0.19192184507846832,0.3431144952774048
which,0.4457404911518097,0.6521818041801453,0.3202694058418274,0.2628726065158844,0.34186381101608276
is,1.0,0.5823672413825989,0.21452254056930542,0.13152378797531128,0.28473302721977234
different,0.24624870717525482,0.36412742733955383,0.2502956986427307,0.2130419909954071,0.27380597591400146
for,0.43268078565597534,0.4739971458911896,0.2710157036781311,0.21863065659999847,0.2547193765640259
different,0.24624870717525482,0.36412742733955383,0.2502956986427307,0.2130419909954071,0.27380597591400146
packets,0.19614604115486145,0.21356946229934692,0.8348818421363831,0.258332759141922,0.2047526240348816
.,0.4569662809371948,0.5934505462646484,0.1900589019060135,0.2240654081106186,0.3247973620891571
