,when,the,three,types,of,rock,are,re-melted,what,is,formed,?
all,0.35107192397117615,0.4860881567001343,0.3989922106266022,0.35742777585983276,0.42798417806625366,0.21464087069034576,0.5343062281608582,0.21527187526226044,0.41981086134910583,0.2553904056549072,0.19908854365348816,0.29575422406196594
three,0.2820437252521515,0.43452659249305725,1.0,0.2845081090927124,0.3844621181488037,0.17912183701992035,0.38895705342292786,0.24264231324195862,0.24888746440410614,0.23072560131549835,0.2651906907558441,0.20928427577018738
types,0.20293046534061432,0.23509301245212555,0.2845081090927124,1.0,0.2447618544101715,0.17830850183963776,0.4691450595855713,0.21471811830997467,0.25706279277801514,0.21496213972568512,0.16536398231983185,0.1285012811422348
of,0.3757161796092987,0.733189046382904,0.3844621181488037,0.2447618544101715,1.0,0.2653365731239319,0.39081433415412903,0.20711340010166168,0.33290785551071167,0.4854315221309662,0.2871689796447754,0.1826142966747284
rocks,0.2353006899356842,0.24413059651851654,0.22785145044326782,0.24581290781497955,0.2664484679698944,0.5946089029312134,0.33511796593666077,0.3891563415527344,0.24802041053771973,0.23288390040397644,0.28656163811683655,0.17394492030143738
may,0.3167054355144501,0.2694292366504669,0.196170374751091,0.23463654518127441,0.26447007060050964,0.16132301092147827,0.3162533640861511,0.18838319182395935,0.25739946961402893,0.322792649269104,0.1620098054409027,0.2768254578113556
be,0.4451393485069275,0.4248143136501312,0.25663426518440247,0.31168943643569946,0.33904364705085754,0.24234087765216827,0.5556803941726685,0.3528231680393219,0.3929833769798279,0.4819129705429077,0.14147688448429108,0.3324260413646698
re-melted,0.3347967267036438,0.23329466581344604,0.24264231324195862,0.21471811830997467,0.20711340010166168,0.3005892336368561,0.21046315133571625,1.0000001192092896,0.21319933235645294,0.19908507168293,0.30899104475975037,0.22950983047485352
;,0.022927695885300636,0.09152708947658539,0.09313292801380157,0.016444861888885498,0.054534342139959335,0.07991944253444672,0.15315808355808258,0.0630684569478035,0.10986888408660889,0.05324986204504967,0.09912377595901489,0.10349778085947037
when,0.9999999403953552,0.5091903209686279,0.2820437252521515,0.20293046534061432,0.3757161796092987,0.21878400444984436,0.29873907566070557,0.3347967267036438,0.4700249433517456,0.3471449911594391,0.3096277713775635,0.22841128706932068
this,0.4959332048892975,0.6274310946464539,0.29207751154899597,0.31008610129356384,0.45148900151252747,0.21980036795139313,0.35762670636177063,0.3446522653102875,0.5489566326141357,0.480927973985672,0.20024752616882324,0.3155723512172699
happens,0.41803792119026184,0.32930514216423035,0.22310619056224823,0.35282158851623535,0.2803132236003876,0.16071175038814545,0.39070773124694824,0.24102850258350372,0.3950584828853607,0.3918035626411438,0.18916738033294678,0.27680426836013794
",",0.36674630641937256,0.4933079481124878,0.3347506821155548,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.4062570035457611,0.2717364728450775,0.3087472915649414,0.4691906273365021,0.2636634409427643,0.31091248989105225
a,0.44397395849227905,0.5829201340675354,0.3025658130645752,0.27099108695983887,0.5052502155303955,0.25165656208992004,0.265255331993103,0.22158677875995636,0.3320399522781372,0.658733606338501,0.21948496997356415,0.23916715383529663
new,0.257220059633255,0.3845241069793701,0.22607795894145966,0.1654592901468277,0.343457967042923,0.19108302891254425,0.1899496167898178,0.18088103830814362,0.2130378633737564,0.2208656519651413,0.18156881630420685,0.14782847464084625
magma,0.26927006244659424,0.19747498631477356,0.21512800455093384,0.21709947288036346,0.15077932178974152,0.3681606948375702,0.2370576709508896,0.39106276631355286,0.22571711242198944,0.19585885107517242,0.34151309728622437,0.14903505146503448
is,0.3471449911594391,0.5823672413825989,0.23072560131549835,0.21496213972568512,0.4854315221309662,0.1981455236673355,0.5330929756164551,0.19908507168293,0.28837618231773376,1.0,0.22319979965686798,0.22961433231830597
formed,0.3096277713775635,0.28813210129737854,0.2651906907558441,0.16536398231983185,0.2871689796447754,0.30323678255081177,0.23466052114963531,0.30899104475975037,0.15451857447624207,0.22319979965686798,1.0000001192092896,0.09686966985464096
",",0.36674630641937256,0.4933079481124878,0.3347506821155548,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.4062570035457611,0.2717364728450775,0.3087472915649414,0.4691906273365021,0.2636634409427643,0.31091248989105225
from,0.405669629573822,0.40150508284568787,0.22603893280029297,0.22118957340717316,0.4249346852302551,0.22637957334518433,0.2674213647842407,0.32097917795181274,0.2737620174884796,0.27355384826660156,0.26482728123664856,0.19969791173934937
which,0.572554349899292,0.6521818041801453,0.40919098258018494,0.4006623923778534,0.5011631846427917,0.2919301390647888,0.42922598123550415,0.34722885489463806,0.5261979103088379,0.4457404911518097,0.3024848401546478,0.25814583897590637
an,0.33026179671287537,0.4207492768764496,0.1749064028263092,0.12193157523870468,0.32280945777893066,0.1764230579137802,0.1556541919708252,0.1541537493467331,0.2821882665157318,0.4654068350791931,0.20318694412708282,0.19793890416622162
igneous,0.18175575137138367,0.25911182165145874,0.24001115560531616,0.26599329710006714,0.3258812427520752,0.4287784695625305,0.3190121650695801,0.43523794412612915,0.2625714838504791,0.24148809909820557,0.4188535809516907,0.18516020476818085
rock,0.21878400444984436,0.23786304891109467,0.17912183701992035,0.17830850183963776,0.2653365731239319,1.0,0.2232755869626999,0.3005892336368561,0.1923677921295166,0.1981455236673355,0.30323678255081177,0.13172835111618042
