,what,is,the,title,for,a,seminary,graduate,who,serves,a,two-three-year,term,in,full-time,appointment,after,being,commissioned,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.2553126811981201,0.5082864165306091,0.5422310829162598,0.1753741204738617,0.16200777888298035,0.3345087468624115,0.222209632396698,0.5422310829162598,0.32557550072669983,0.3113332986831665,0.45205554366111755,0.41288337111473083,0.1967805176973343,0.3357301354408264,0.41604986786842346,0.201752170920372,0.3155723512172699
created,0.20714101195335388,0.28467464447021484,0.3539263904094696,0.18862169981002808,0.25684574246406555,0.30777761340141296,0.16779343783855438,0.20093029737472534,0.25695955753326416,0.22787077724933624,0.30777761340141296,0.1273258775472641,0.16678112745285034,0.2843434810638428,0.286522775888443,0.17867600917816162,0.24507100880146027,0.2414107620716095,0.29049956798553467,0.21177415549755096
new,0.2130378633737564,0.2208656519651413,0.3845241069793701,0.17074428498744965,0.2700757384300232,0.3214259147644043,0.22027385234832764,0.18804317712783813,0.2378052920103073,0.17734983563423157,0.3214259147644043,0.2758570611476898,0.14625371992588043,0.3758552670478821,0.22215187549591064,0.16406582295894623,0.2620960772037506,0.2248239666223526,0.22047220170497894,0.14782847464084625
orders,0.1898462176322937,0.09346234053373337,0.26927345991134644,0.15709973871707916,0.11300233006477356,0.1862567514181137,0.1461184173822403,0.1394166201353073,0.22359956800937653,0.11299596726894379,0.1862567514181137,0.2867288887500763,0.11813216656446457,0.20494955778121948,0.1330661028623581,0.24172420799732208,0.20406779646873474,0.2125256508588791,0.19291649758815765,0.18005457520484924
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.18283337354660034,0.363901823759079,0.30882248282432556,0.12684765458106995,0.1558523178100586,0.24757125973701477,0.24240230023860931,0.30882248282432556,0.16070419549942017,0.25956669449806213,0.32641831040382385,0.19568096101284027,0.12625481188297272,0.19016911089420319,0.24268263578414917,0.19073887169361115,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2520829439163208,0.44774648547172546,0.39550232887268066,0.20075497031211853,0.23385168612003326,0.3923053741455078,0.29644614458084106,0.39550232887268066,0.2702783942222595,0.3224089443683624,0.3887844979763031,0.31059348583221436,0.30412113666534424,0.3014480769634247,0.46524563431739807,0.2534133791923523,0.27043893933296204
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.02549407258629799,0.01270448137074709,0.07272057235240936,0.0656917616724968,0.009000440128147602,0.02397952415049076,0.07424002140760422,0.07272057235240936,0.20263737440109253,0.11803510040044785,0.04765888676047325,0.0329725556075573,0.06505896896123886,0.040442656725645065,0.0027407517191022635,-0.03756143897771835,0.0685480609536171
provisional,0.1830057054758072,0.15504229068756104,0.28786423802375793,0.17004281282424927,0.2626315653324127,0.2264648973941803,0.2565882205963135,0.14560651779174805,0.1897742748260498,0.10776270925998688,0.2264648973941803,0.31277355551719666,0.18106688559055328,0.21454453468322754,0.20511919260025024,0.34092798829078674,0.2503902316093445,0.23389680683612823,0.32231152057647705,0.11487715691328049
elder,0.13607332110404968,0.13224153220653534,0.16423951089382172,0.11400105059146881,0.1735876500606537,0.1407584249973297,0.18134400248527527,0.11720370501279831,0.34407562017440796,0.14139485359191895,0.1407584249973297,0.2665999233722687,0.13065163791179657,0.16225090622901917,0.20987091958522797,0.27302056550979614,0.22782863676548004,0.1555173099040985,0.19045330584049225,0.12362314015626907
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.05258110910654068,-0.04479556903243065,0.04890415817499161,-0.028027892112731934,0.05237257853150368,0.024401003494858742,0.08059635758399963,0.04890415817499161,-0.035386744886636734,0.13619764149188995,0.07432962208986282,-0.07559231668710709,-0.006116515025496483,-0.08605624735355377,-0.015289289876818657,0.05347238853573799,0.018684765323996544
