,which,century,was,there,a,program,to,straighten,the,rhine,?
the,0.6521818041801453,0.3617299497127533,0.48711544275283813,0.47025805711746216,0.5829201340675354,0.22986935079097748,0.535392165184021,0.25649377703666687,1.0,0.30735138058662415,0.22068053483963013
upper,0.2984105050563812,0.21442949771881104,0.16268539428710938,0.22588421404361725,0.26226839423179626,0.08186337351799011,0.21445727348327637,0.1874265819787979,0.35289278626441956,0.27324220538139343,0.051342256367206573
rhine,0.18744276463985443,0.21836237609386444,0.18681856989860535,0.17993438243865967,0.1823403388261795,0.08297404646873474,0.1736302673816681,0.12515226006507874,0.30735138058662415,1.0,0.13754533231258392
region,0.2328231930732727,0.21375064551830292,0.19296804070472717,0.24659839272499084,0.23209655284881592,0.05798066407442093,0.24118299782276154,0.13683532178401947,0.35020557045936584,0.25959649682044983,0.13441751897335052
was,0.2830964922904968,0.3521432876586914,1.0000001192092896,0.24909798800945282,0.4508470594882965,0.1849333792924881,0.3636345863342285,0.1188955157995224,0.48711544275283813,0.18681856989860535,0.18412111699581146
changed,0.3260992467403412,0.2505124807357788,0.3462000787258148,0.33358800411224365,0.2289808690547943,0.16796177625656128,0.2968057096004486,0.2323739379644394,0.351829469203949,0.15414851903915405,0.21123318374156952
significantly,0.4212779104709625,0.2578354775905609,0.22230319678783417,0.2801463007926941,0.2518039345741272,0.14455682039260864,0.33877497911453247,0.23533067107200623,0.3313288986682892,0.12487909197807312,0.1823679804801941
by,0.40543368458747864,0.29995259642601013,0.4752357602119446,0.20383623242378235,0.32094135880470276,0.19954828917980194,0.33534231781959534,0.18410135805606842,0.4408751428127289,0.18456800282001495,0.17966607213020325
a,0.56894451379776,0.19417014718055725,0.4508470594882965,0.4214206337928772,1.0,0.2779408395290375,0.45503583550453186,0.26527488231658936,0.5829201340675354,0.1823403388261795,0.23916715383529663
rhine,0.18744276463985443,0.21836237609386444,0.18681856989860535,0.17993438243865967,0.1823403388261795,0.08297404646873474,0.1736302673816681,0.12515226006507874,0.30735138058662415,1.0,0.13754533231258392
straightening,0.3465842306613922,0.22886262834072113,0.1475522369146347,0.26349228620529175,0.29697516560554504,0.1287701427936554,0.3117258846759796,0.9090214371681213,0.28836721181869507,0.11898552626371384,0.17868033051490784
program,0.3116832673549652,0.15256467461585999,0.1849333792924881,0.1529524326324463,0.2779408395290375,1.0,0.23681028187274933,0.08675112575292587,0.22986935079097748,0.08297404646873474,0.1440187245607376
in,0.4840516746044159,0.3174034655094147,0.45514053106307983,0.5361666083335876,0.539380669593811,0.1994907110929489,0.45010748505592346,0.14705124497413635,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.6521818041801453,0.3617299497127533,0.48711544275283813,0.47025805711746216,0.5829201340675354,0.22986935079097748,0.535392165184021,0.25649377703666687,1.0,0.30735138058662415,0.22068053483963013
19th,0.2196694165468216,0.25699272751808167,0.24231374263763428,0.06820043176412582,0.200595885515213,0.1875244826078415,0.18742936849594116,0.25356021523475647,0.24964287877082825,0.14088697731494904,0.004712673369795084
century,0.23552611470222473,1.0,0.3521432876586914,0.24635811150074005,0.19417014718055725,0.15256467461585999,0.20143604278564453,0.16305296123027802,0.3617299497127533,0.21836237609386444,0.1026201918721199
.,0.45942068099975586,0.27413639426231384,0.40146201848983765,0.43897318840026855,0.50484299659729,0.18964338302612305,0.4645031690597534,0.25915610790252686,0.5934505462646484,0.2089352011680603,0.4130953550338745
