,what,is,the,nickname,for,the,``,millennial,northern,hemisphere,temperature,reconstruction,'',graph,?
the,0.42745697498321533,0.5823672413825989,1.0,0.20167101919651031,0.4739971458911896,1.0,0.029072100296616554,0.3342130482196808,0.3422943353652954,0.33851611614227295,0.27585095167160034,0.32034212350845337,0.041273195296525955,0.26083993911743164,0.22068053483963013
third,0.2033906877040863,0.31551501154899597,0.4229298532009125,0.193181112408638,0.2187870591878891,0.4229298532009125,0.04341840744018555,0.16513875126838684,0.19236981868743896,0.2271914780139923,0.1710539013147354,0.16825547814369202,-0.003199114231392741,0.17155224084854126,0.15394791960716248
assessment,0.3237532377243042,0.2106872946023941,0.28427207469940186,0.10957755148410797,0.2666030526161194,0.28427207469940186,-0.0033106599003076553,0.26482954621315,0.12296156585216522,0.19809435307979584,0.2584882378578186,0.27432501316070557,-0.008523830212652683,0.2587076723575592,0.22666098177433014
report,0.2868559956550598,0.16818487644195557,0.2556745111942291,0.13502396643161774,0.2216007560491562,0.2556745111942291,-0.049207452684640884,0.20335479080677032,0.12139280140399933,0.13282151520252228,0.19190552830696106,0.26388415694236755,-0.046842265874147415,0.18454702198505402,0.3138936758041382
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.18479742109775543,0.3357032239437103,0.33289089798927307,0.15585018694400787,0.17656046152114868,0.21831387281417847,0.24475286900997162,0.20595431327819824,0.192762553691864,-0.022970275953412056,0.1669061928987503,0.40561532974243164
tar,0.13713273406028748,0.21444940567016602,0.20640505850315094,0.1531725823879242,0.12675584852695465,0.20640505850315094,0.017357949167490005,0.1474720984697342,0.16439664363861084,0.09700512886047363,0.19769713282585144,0.14294640719890594,0.10383615642786026,0.1061273142695427,0.09344086050987244
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.21224816143512726,0.3639558255672455,0.3456730246543884,0.1698397845029831,0.1471124291419983,0.19624486565589905,0.23663382232189178,0.2232651710510254,0.1923089325428009,-0.028269650414586067,0.17717987298965454,0.42300865054130554
prominently,0.18982040882110596,0.21766988933086395,0.2969973683357239,0.14247193932533264,0.24909396469593048,0.2969973683357239,0.02966533787548542,0.26080721616744995,0.14201539754867554,0.2568631172180176,0.09506946802139282,0.19305899739265442,0.004710470791906118,0.14606249332427979,0.17388345301151276
featured,0.20330384373664856,0.2173553705215454,0.28660184144973755,0.14367982745170593,0.30727413296699524,0.28660184144973755,-0.16002269089221954,0.24818304181098938,0.09131195396184921,0.10774129629135132,0.10492729395627975,0.13131959736347198,0.06251674890518188,0.18230849504470825,0.2944096624851227
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26108431816101074,0.44038116931915283,0.5829201340675354,0.07272057235240936,0.2664129137992859,0.22329643368721008,0.20307886600494385,0.2321433275938034,0.2340194433927536,0.04890415817499161,0.2952152192592621,0.23916715383529663
graph,0.2775743007659912,0.2441651076078415,0.26083993911743164,0.04340462386608124,0.16102299094200134,0.26083993911743164,0.05664617568254471,0.25293946266174316,0.16213791072368622,0.28676512837409973,0.2838182747364044,0.24534845352172852,0.09174125641584396,0.9999999403953552,0.20263607800006866
labeled,0.2734558880329132,0.2062641680240631,0.2831297516822815,0.1069025918841362,0.1942838579416275,0.2831297516822815,0.02118598110973835,0.14255082607269287,0.10591766238212585,0.19477546215057373,0.1631183922290802,0.16273869574069977,0.039704930037260056,0.2984482944011688,0.19957882165908813
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.029698669910430908,0.01270448137074709,0.029072100296616554,1.0,-0.06066574528813362,0.06596051156520844,0.08712878078222275,0.12101208418607712,-0.03536171838641167,-0.09173435717821121,0.05664617568254471,0.0685480609536171
millennial,0.20978473126888275,0.21464906632900238,0.3342130482196808,0.13596589863300323,0.28035426139831543,0.3342130482196808,-0.06066574528813362,1.0000001192092896,0.21217478811740875,0.37408962845802307,0.2225843071937561,0.3260490298271179,0.004906277637928724,0.25293946266174316,0.1532735973596573
northern,0.19332477450370789,0.25616052746772766,0.3422943353652954,0.1200660690665245,0.20134946703910828,0.3422943353652954,0.06596051156520844,0.21217478811740875,0.9999998807907104,0.5330277681350708,0.19095240533351898,0.2446863204240799,-0.00325992819853127,0.16213791072368622,0.13149388134479523
hemisphere,0.22344490885734558,0.27357393503189087,0.33851611614227295,0.05769944190979004,0.21686029434204102,0.33851611614227295,0.08712878078222275,0.37408962845802307,0.5330277681350708,1.0000001192092896,0.3864635229110718,0.24254855513572693,-0.013914857991039753,0.28676512837409973,0.1242181733250618
temperature,0.26338207721710205,0.2979726195335388,0.27585095167160034,0.08318041265010834,0.1894524246454239,0.27585095167160034,0.12101208418607712,0.2225843071937561,0.19095240533351898,0.3864635229110718,1.0000001192092896,0.09737630933523178,-0.012803425081074238,0.2838182747364044,0.2011885941028595
