,what,was,the,final,score,of,the,afc,championship,game,?
they,0.4431931674480438,0.3300964832305908,0.49925389885902405,0.1924978792667389,0.12757958471775055,0.3426007330417633,0.49925389885902405,0.21711619198322296,0.15806850790977478,0.2399950921535492,0.2753053903579712
then,0.4072686731815338,0.27044644951820374,0.4297412931919098,0.2475893348455429,0.13396427035331726,0.2937326431274414,0.4297412931919098,0.1339207887649536,0.1592818647623062,0.2141346037387848,0.2884598970413208
beat,0.15686821937561035,0.20154671370983124,0.24951939284801483,0.32037389278411865,0.2974954843521118,0.15358257293701172,0.24951939284801483,0.27999043464660645,0.3523143529891968,0.30160796642303467,0.19461682438850403
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,1.0,0.25863510370254517,0.2540402412414551,0.285271555185318,0.22068053483963013
defending,0.23624549806118011,0.22164638340473175,0.3322177529335022,0.31204620003700256,0.24398641288280487,0.23717111349105835,0.3322177529335022,0.31483370065689087,0.3780851662158966,0.2670046389102936,0.19775530695915222
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.18389330804347992,0.14868654310703278,0.14718765020370483,0.21959073841571808,0.37206512689590454,0.28836938738822937,0.3480181396007538,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.2308216542005539,0.18485401570796967,0.2243070751428604,0.21576224267482758,0.41199249029159546,0.3428266644477844,0.2413962334394455,0.21118052303791046
xlix,0.14570996165275574,0.2720302939414978,0.28379157185554504,0.3209652006626129,0.24367795884609222,0.2005508840084076,0.28379157185554504,0.40457528829574585,0.39353930950164795,0.3429282605648041,0.2639070451259613
champion,0.11434172838926315,0.24402377009391785,0.23575055599212646,0.29954957962036133,0.21362051367759705,0.1902693659067154,0.23575055599212646,0.40495696663856506,0.8011947274208069,0.23105087876319885,0.14080514013767242
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.19231615960597992,0.1504337638616562,0.343457967042923,0.3845241069793701,0.21401186287403107,0.16864041984081268,0.20104768872261047,0.14782847464084625
england,0.21399550139904022,0.2656741440296173,0.28280043601989746,0.19347596168518066,0.15861229598522186,0.24624483287334442,0.28280043601989746,0.28026673197746277,0.19480040669441223,0.23439037799835205,0.13436897099018097
patriots,0.17429088056087494,0.22398477792739868,0.2345433384180069,0.20374567806720734,0.21112143993377686,0.16020618379116058,0.2345433384180069,0.3464110493659973,0.2684765160083771,0.298821359872818,0.11474817991256714
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25512343645095825,0.13240541517734528,0.5696388483047485,0.6662389636039734,0.20746317505836487,0.20047812163829803,0.23986028134822845,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,1.0,0.25863510370254517,0.2540402412414551,0.285271555185318,0.22068053483963013
afc,0.1550256609916687,0.1794671267271042,0.25863510370254517,0.29253631830215454,0.26805704832077026,0.20684249699115753,0.25863510370254517,1.0,0.41897451877593994,0.2785787284374237,0.2026895433664322
championship,0.12797051668167114,0.2460748702287674,0.2540402412414551,0.3445517122745514,0.23830360174179077,0.1809549629688263,0.2540402412414551,0.41897451877593994,1.0000001192092896,0.24432945251464844,0.1390383541584015
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.32037389278411865,0.3166070282459259,0.2298848181962967,0.285271555185318,0.2785787284374237,0.24432945251464844,0.9999998807907104,0.1829071193933487
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.16025088727474213,0.4946078956127167,0.4933079481124878,0.30482783913612366,0.256124883890152,0.2653886377811432,0.31091248989105225
20–18,0.15608283877372742,0.2390316277742386,0.07738925516605377,0.019269054755568504,-0.007207646034657955,0.06535910815000534,0.07738925516605377,-0.008962220512330532,0.05231450870633125,0.03933378681540489,0.10603919625282288
