,what,is,a,protein,that,is,closely,intertwined,with,circadian,rhythms,?
additionally,0.27606531977653503,0.31744685769081116,0.3181990087032318,0.23809115588665009,0.4137907326221466,0.31744685769081116,0.2572469711303711,0.35053491592407227,0.3831340968608856,0.2400352954864502,0.25045478343963623,0.24129506945610046
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.19672410190105438,0.4137537479400635,0.4691906273365021,0.24965941905975342,0.33409374952316284,0.4120737314224243,0.24315546452999115,0.24559620022773743,0.31091248989105225
proteins,0.21361225843429565,0.2132607400417328,0.23701471090316772,0.9022840261459351,0.2839849293231964,0.2132607400417328,0.2595587372779846,0.30664291977882385,0.25165173411369324,0.28884157538414,0.2082333117723465,0.18469302356243134
such,0.23989605903625488,0.23545363545417786,0.2706976532936096,0.25957393646240234,0.4479874074459076,0.23545363545417786,0.2566186785697937,0.3577568531036377,0.3346101939678192,0.29314032196998596,0.2987557351589203,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.2427019327878952,0.4735107421875,0.43216490745544434,0.23396137356758118,0.3654461205005646,0.40387406945228577,0.26451990008354187,0.1943911910057068,0.27043893933296204
nfil3,0.11203157901763916,0.10236921161413193,0.19798751175403595,0.17729327082633972,0.1473643183708191,0.10236921161413193,0.1051035225391388,0.15217821300029755,0.14992083609104156,0.11408716440200806,0.04138293117284775,0.22053231298923492
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.19672410190105438,0.4137537479400635,0.4691906273365021,0.24965941905975342,0.33409374952316284,0.4120737314224243,0.24315546452999115,0.24559620022773743,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.56894451379776,0.35944828391075134,0.6894589066505432,0.4457404911518097,0.33799082040786743,0.4404899775981903,0.46403205394744873,0.34310248494148254,0.33500105142593384,0.25814583897590637
have,0.39808809757232666,0.3613572418689728,0.338716596364975,0.28631678223609924,0.6182622313499451,0.3613572418689728,0.32668817043304443,0.3856889009475708,0.48046383261680603,0.3060096800327301,0.24720734357833862,0.32991164922714233
been,0.2567804455757141,0.39566612243652344,0.3315402865409851,0.19455106556415558,0.4152003228664398,0.39566612243652344,0.24793097376823425,0.3256131708621979,0.2804456949234009,0.20950517058372498,0.18632496893405914,0.24354910850524902
