,why,is,majority,rule,used,?
the,0.30742117762565613,0.5823672413825989,0.28757327795028687,0.29894936084747314,0.3718377649784088,0.22068053483963013
reason,0.6080238819122314,0.25543609261512756,0.2169373333454132,0.24441155791282654,0.3059914708137512,0.3403966724872589
for,0.3869043290615082,0.43268078565597534,0.2237682044506073,0.19033655524253845,0.4236139953136444,0.264628142118454
the,0.30742117762565613,0.5823672413825989,0.28757327795028687,0.29894936084747314,0.3718377649784088,0.22068053483963013
majority,0.2353130728006363,0.19749082624912262,0.9999998807907104,0.28764021396636963,0.15247294306755066,0.220119908452034
rule,0.2631331980228424,0.18984714150428772,0.28764021396636963,1.0,0.14890249073505402,0.1955260932445526
is,0.26410171389579773,1.0,0.19749082624912262,0.18984714150428772,0.3288823366165161,0.22961433231830597
the,0.30742117762565613,0.5823672413825989,0.28757327795028687,0.29894936084747314,0.3718377649784088,0.22068053483963013
high,0.1454300731420517,0.2383800595998764,0.19460004568099976,0.13051705062389374,0.2048027515411377,0.11137914657592773
risk,0.2183406949043274,0.1508130580186844,0.18137601017951965,0.12626025080680847,0.22085656225681305,0.22318896651268005
of,0.28464117646217346,0.4854315221309662,0.29706597328186035,0.25175079703330994,0.3075267970561981,0.1826142966747284
a,0.2667238116264343,0.658733606338501,0.227370023727417,0.2032480239868164,0.3864384889602661,0.23916715383529663
conflict,0.2798466384410858,0.18503378331661224,0.27713820338249207,0.31080421805381775,0.12814143300056458,0.26744839549064636
of,0.28464117646217346,0.4854315221309662,0.29706597328186035,0.25175079703330994,0.3075267970561981,0.1826142966747284
interest,0.30843985080718994,0.19835616648197174,0.26808962225914,0.15555396676063538,0.15445354580879211,0.2411724328994751
and/or,0.2853020429611206,0.1926940530538559,0.22974495589733124,0.0794432982802391,0.3575632572174072,0.24081800878047943
the,0.30742117762565613,0.5823672413825989,0.28757327795028687,0.29894936084747314,0.3718377649784088,0.22068053483963013
avoidance,0.27000194787979126,0.26133865118026733,0.24283674359321594,0.23565934598445892,0.26102203130722046,0.24061895906925201
of,0.28464117646217346,0.4854315221309662,0.29706597328186035,0.25175079703330994,0.3075267970561981,0.1826142966747284
absolute,0.2263038456439972,0.2352413386106491,0.29098209738731384,0.3381969630718231,0.21698953211307526,0.22724391520023346
powers,0.21375709772109985,0.16329245269298553,0.26555755734443665,0.3043040633201599,0.1629108041524887,0.17269276082515717
.,0.32909876108169556,0.4569662809371948,0.30306822061538696,0.2436654418706894,0.33111312985420227,0.4130953550338745
