,what,are,pharmacists,in,the,united,kingdom,being,increasingly,paid,for,?
they,0.4431931674480438,0.610666811466217,0.40619930624961853,0.4330179989337921,0.49925389885902405,0.21470296382904053,0.15075713396072388,0.41845834255218506,0.33136796951293945,0.3012423813343048,0.3466525673866272,0.2753053903579712
are,0.29724663496017456,1.0,0.33935052156448364,0.3841303884983063,0.40399202704429626,0.16919764876365662,0.1453586220741272,0.4656608998775482,0.3079953193664551,0.1507190614938736,0.3895993232727051,0.24591213464736938
also,0.42747777700424194,0.4565894305706024,0.33415913581848145,0.5073733329772949,0.6021018624305725,0.30441129207611084,0.23465117812156677,0.45938754081726074,0.3446916937828064,0.23859842121601105,0.5373267531394958,0.21848613023757935
being,0.3760843276977539,0.4656608998775482,0.19349634647369385,0.33162933588027954,0.419739305973053,0.18308168649673462,0.1611398458480835,1.0,0.3699547052383423,0.22492796182632446,0.41687241196632385,0.26743772625923157
paid,0.254770964384079,0.1507190614938736,0.28743237257003784,0.1910562664270401,0.22871042788028717,0.19637057185173035,0.16185572743415833,0.22492796182632446,0.17271654307842255,1.0,0.29203978180885315,0.20964482426643372
for,0.3017193675041199,0.3895993232727051,0.21977780759334564,0.4322226941585541,0.4739971458911896,0.30487096309661865,0.19669248163700104,0.41687241196632385,0.26445040106773376,0.29203978180885315,0.9999999403953552,0.264628142118454
by,0.2455483376979828,0.37842893600463867,0.22679635882377625,0.370934396982193,0.4408751428127289,0.23958808183670044,0.23067373037338257,0.4690866470336914,0.2621919810771942,0.24049314856529236,0.3248702883720398,0.17966607213020325
the,0.42745697498321533,0.40399202704429626,0.24311043322086334,0.6662389636039734,1.0,0.34367692470550537,0.3143408000469208,0.419739305973053,0.3152945339679718,0.22871042788028717,0.4739971458911896,0.22068053483963013
government,0.28074538707733154,0.20126859843730927,0.2533871531486511,0.3066793978214264,0.31798112392425537,0.33881843090057373,0.2937403917312622,0.2148837000131607,0.27110159397125244,0.38255640864372253,0.23902073502540588,0.18851417303085327
for,0.3017193675041199,0.3895993232727051,0.21977780759334564,0.4322226941585541,0.4739971458911896,0.30487096309661865,0.19669248163700104,0.41687241196632385,0.26445040106773376,0.29203978180885315,0.9999999403953552,0.264628142118454
medicine,0.20377366244792938,0.15540048480033875,0.4579932391643524,0.2281779944896698,0.19564834237098694,0.18836098909378052,0.1739109605550766,0.07267028838396072,0.09553609788417816,0.09350083768367767,0.18250344693660736,0.14826606214046478
use,0.3453877568244934,0.4174068570137024,0.29568368196487427,0.2715643048286438,0.34342584013938904,0.21465958654880524,0.17247320711612701,0.307609498500824,0.29709863662719727,0.13670887053012848,0.47655582427978516,0.32795652747154236
reviews,0.2519516944885254,0.19435645639896393,0.18531891703605652,0.21180737018585205,0.2074589878320694,0.2485240250825882,0.19240827858448029,0.18217207491397858,0.20490114390850067,0.23009829223155975,0.24666745960712433,0.18590256571769714
.,0.3567904531955719,0.3452940285205841,0.27446362376213074,0.5591574311256409,0.5934505462646484,0.3406063914299011,0.23047322034835815,0.35574623942375183,0.19793471693992615,0.22304166853427887,0.4726039469242096,0.4130953550338745
