,what,did,the,license,to,build,this,type,of,car,expire,in,2011,?
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.15557733178138733,0.45010748505592346,0.26063278317451477,0.45205554366111755,0.20604541897773743,0.5696388483047485,0.22567488253116608,0.17287667095661163,1.0,0.08290185779333115,0.20430970191955566
2005,0.0704459398984909,0.11135691404342651,0.037273142486810684,-0.014275545254349709,0.018235651776194572,0.009705946780741215,0.0450877845287323,0.008830571547150612,0.017815761268138885,-0.0971316322684288,0.0019664722494781017,0.009931974112987518,0.003485365305095911,0.10709824413061142
the,0.42745697498321533,0.34736719727516174,1.0,0.1774267554283142,0.535392165184021,0.2602573335170746,0.6274310946464539,0.21819381415843964,0.733189046382904,0.19754165410995483,0.2778683006763458,0.6662389636039734,0.07811610400676727,0.22068053483963013
factory,0.13602052628993988,0.14986419677734375,0.2101404368877411,0.13470391929149628,0.18206502497196198,0.293474406003952,0.2093925178050995,0.1678464710712433,0.1801474392414093,0.32886719703674316,0.1873837560415268,0.2757321298122406,0.044716283679008484,0.13535508513450623
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.14467355608940125,0.3636345863342285,0.20898228883743286,0.3638818562030792,0.14348182082176208,0.4069072902202606,0.24117164313793182,0.20893912017345428,0.45514053106307983,-0.022202642634510994,0.18412111699581146
sold,0.16570822894573212,0.22639408707618713,0.21929198503494263,0.24620512127876282,0.17380841076374054,0.20859186351299286,0.20097370445728302,0.10908089578151703,0.2036660611629486,0.3148678243160248,0.2289884388446808,0.2828634977340698,0.039566345512866974,0.14943712949752808
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.24317960441112518,1.0,0.38783395290374756,0.5759071707725525,0.19930607080459595,0.41548454761505127,0.22916598618030548,0.3504388928413391,0.45010748505592346,0.03410811722278595,0.29463258385658264
avtozaz,0.18154066801071167,0.1205434501171112,0.22733737528324127,0.2262556254863739,0.22380222380161285,0.13393357396125793,0.2115229070186615,0.1554582566022873,0.1569330096244812,0.19144941866397858,0.21807797253131866,0.23016929626464844,0.07567038387060165,0.27710530161857605
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.1872958391904831,0.44245919585227966,0.22204548120498657,0.4316047728061676,0.1804078221321106,0.4946078956127167,0.21104301512241364,0.2339862883090973,0.5201468467712402,0.08851227909326553,0.31091248989105225
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.16238512098789215,0.45503583550453186,0.26229962706565857,0.5422310829162598,0.3813284635543823,0.5052502155303955,0.2654946446418762,0.20882435142993927,0.539380669593811,0.03359675034880638,0.23916715383529663
ukrainian,0.18664930760860443,0.14084014296531677,0.15516172349452972,0.02967294119298458,0.10753278434276581,0.07101371884346008,0.1513572633266449,0.14132331311702728,0.11537127941846848,0.05791598558425903,0.04716324061155319,0.1520697921514511,-0.12087047100067139,0.16211342811584473
car,0.17601905763149261,0.18183770775794983,0.19754165410995483,0.23509706556797028,0.22916598618030548,0.2076648771762848,0.18375924229621887,0.11790666729211807,0.1781313419342041,0.9999999403953552,0.1529265195131302,0.22567488253116608,-0.03295155614614487,0.19800566136837006
manufacturer,0.13465645909309387,0.12589189410209656,0.18454907834529877,0.29251131415367126,0.18490533530712128,0.23608052730560303,0.14890050888061523,0.20615890622138977,0.1593974381685257,0.3890666365623474,0.23740564286708832,0.15855246782302856,0.03348104655742645,0.11731472611427307
which,0.5261979103088379,0.2750149369239807,0.6521818041801453,0.24943670630455017,0.5345056653022766,0.3311580419540405,0.6719430088996887,0.31462597846984863,0.5011631846427917,0.2058745175600052,0.2827061116695404,0.4840516746044159,0.13200733065605164,0.25814583897590637
assembled,0.20026713609695435,0.20860891044139862,0.2575589418411255,0.2015502005815506,0.17700643837451935,0.2973842918872833,0.2092290222644806,0.18532253801822662,0.28042295575141907,0.18651415407657623,0.16916747391223907,0.187361940741539,0.07339603453874588,0.1162143424153328
there,0.35085538029670715,0.29736605286598206,0.47025805711746216,0.16984665393829346,0.40669289231300354,0.2676873207092285,0.47775381803512573,0.2376682013273239,0.44397735595703125,0.13314156234264374,0.22384056448936462,0.5361666083335876,0.09869915246963501,0.29405656456947327
the,0.42745697498321533,0.34736719727516174,1.0,0.1774267554283142,0.535392165184021,0.2602573335170746,0.6274310946464539,0.21819381415843964,0.733189046382904,0.19754165410995483,0.2778683006763458,0.6662389636039734,0.07811610400676727,0.22068053483963013
chevrolet,0.135665163397789,0.12046641111373901,0.1811670958995819,0.2396996170282364,0.2033875435590744,0.18187348544597626,0.1643083393573761,0.1493694931268692,0.1439085155725479,0.5515615344047546,0.16608072817325592,0.18544410169124603,0.006155481096357107,0.1429024338722229
aveo,0.1543923318386078,0.0824507400393486,0.2452358454465866,0.22008204460144043,0.2210971713066101,0.2148330807685852,0.23020796477794647,0.19201551377773285,0.1872210055589676,0.2830537259578705,0.12291523814201355,0.21192730963230133,0.04318207874894142,0.1795371174812317
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.19337931275367737,0.4645031690597534,0.275961309671402,0.500583827495575,0.23195341229438782,0.5352458953857422,0.2388465255498886,0.21515992283821106,0.5591574311256409,0.10024500638246536,0.4130953550338745
,what,did,the,license,to,build,this,type,of,car,expire,in,2011,?
