,what,theory,best,explains,gravity,?
since,0.29783400893211365,0.15682072937488556,0.16410422325134277,0.18799692392349243,0.16463571786880493,0.2876587212085724
then,0.4072686731815338,0.21114028990268707,0.16115278005599976,0.2152833491563797,0.18143334984779358,0.2884598970413208
",",0.3087472915649414,0.18095813691616058,0.3461092710494995,0.24439138174057007,0.18731217086315155,0.31091248989105225
and,0.31309178471565247,0.1765792816877365,0.30328524112701416,0.2654622495174408,0.20030911266803741,0.20544172823429108
so,0.539469838142395,0.27414456009864807,0.26355841755867004,0.38680341839790344,0.2890898883342743,0.43163934350013733
far,0.34794166684150696,0.19317570328712463,0.22113163769245148,0.2126137614250183,0.2550528943538666,0.2170870453119278
",",0.3087472915649414,0.18095813691616058,0.3461092710494995,0.24439138174057007,0.18731217086315155,0.31091248989105225
general,0.24928055703639984,0.23614253103733063,0.14293214678764343,0.2224668711423874,0.23165400326251984,0.1972234547138214
relativity,0.2980750799179077,0.5565682053565979,0.20537713170051575,0.39991116523742676,0.584568977355957,0.26250147819519043
has,0.20338068902492523,0.19130924344062805,0.23016110062599182,0.2809385359287262,0.16565106809139252,0.15994466841220856
been,0.2567804455757141,0.13807545602321625,0.1830461174249649,0.20859798789024353,0.13339069485664368,0.24354910850524902
acknowledged,0.27519023418426514,0.25060391426086426,0.2275218367576599,0.2794091999530792,0.10481944680213928,0.20185135304927826
as,0.31749409437179565,0.18675357103347778,0.32800307869911194,0.29660099744796753,0.1831320971250534,0.27043893933296204
the,0.42745697498321533,0.2277156263589859,0.3134109377861023,0.28699636459350586,0.22609853744506836,0.22068053483963013
theory,0.297923743724823,0.9999999403953552,0.1768724024295807,0.3951927423477173,0.4349239766597748,0.1387292891740799
that,0.6297725439071655,0.36183905601501465,0.24222435057163239,0.4315432608127594,0.3047354817390442,0.32716336846351624
best,0.3036847710609436,0.1768724024295807,0.9999999403953552,0.19184979796409607,0.18963879346847534,0.2799045741558075
explains,0.4083625376224518,0.3951927423477173,0.19184979796409607,0.9999999403953552,0.36992964148521423,0.30715012550354004
gravity,0.259439080953598,0.4349239766597748,0.18963879346847534,0.36992964148521423,0.9999999403953552,0.18354056775569916
.,0.3567904531955719,0.18047811090946198,0.31068575382232666,0.24199087917804718,0.19336320459842682,0.4130953550338745
