,who,lost,to,the,broncos,in,the,afc,championship,?
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.25985947251319885,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.22068053483963013
broncos,0.1763724684715271,0.19186308979988098,0.23674264550209045,0.25985947251319885,1.0000001192092896,0.20316283404827118,0.25985947251319885,0.4436691403388977,0.38168099522590637,0.18377114832401276
finished,0.18257364630699158,0.24937547743320465,0.24378257989883423,0.2754973769187927,0.21319273114204407,0.2933714687824249,0.2754973769187927,0.12556922435760498,0.2826940715312958,0.14789283275604248
the,0.3733934462070465,0.3376973867416382,0.535392165184021,1.0,0.25985947251319885,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.22068053483963013
regular,0.2929244339466095,0.16834764182567596,0.30861178040504456,0.3214086890220642,0.26932692527770996,0.23172755539417267,0.3214086890220642,0.3085647523403168,0.22342713177204132,0.18334713578224182
season,0.13809308409690857,0.15863358974456787,0.22382742166519165,0.2507155239582062,0.3664494454860687,0.2184021919965744,0.2507155239582062,0.34177109599113464,0.34766685962677,0.16793298721313477
with,0.3282766342163086,0.18925613164901733,0.4239959120750427,0.4223487675189972,0.2245701551437378,0.4080928862094879,0.4223487675189972,0.1709529012441635,0.21191054582595825,0.2433311939239502
a,0.36608949303627014,0.24504798650741577,0.45503583550453186,0.5829201340675354,0.19771797955036163,0.539380669593811,0.5829201340675354,0.13271647691726685,0.18214380741119385,0.23916715383529663
12–4,-0.0220048651099205,0.025823328644037247,0.13714060187339783,0.06233663484454155,0.01670256443321705,0.019164228811860085,0.06233663484454155,0.16016320884227753,0.09561607986688614,0.4863562285900116
record,0.24139603972434998,0.18031509220600128,0.22007153928279877,0.23569516837596893,0.18765106797218323,0.23162534832954407,0.23569516837596893,0.2514786422252655,0.23019155859947205,0.14407116174697876
",",0.3365725874900818,0.26788443326950073,0.44245919585227966,0.4933079481124878,0.2558487057685852,0.5201468467712402,0.4933079481124878,0.30482783913612366,0.256124883890152,0.31091248989105225
and,0.41279885172843933,0.25558507442474365,0.48971283435821533,0.5171257257461548,0.20959050953388214,0.4954058527946472,0.5171257257461548,0.1934938281774521,0.22004875540733337,0.20544172823429108
denied,0.22065044939517975,0.23788434267044067,0.31743186712265015,0.22753532230854034,0.1653260588645935,0.2281353622674942,0.22753532230854034,0.19039246439933777,0.2763569951057434,0.2030181586742401
