,what,is,the,theory,that,this,king,'s,name,is,the,origin,of,``,huguenot,'',called,?
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.25241342186927795,0.6049469113349915,0.5247883796691895,0.18585199117660522,0.056411296129226685,0.18756690621376038,0.3038453459739685,0.4566698372364044,0.24303457140922546,0.4300730526447296,0.06408426910638809,0.2022833526134491,0.04253336414694786,0.4143916368484497,0.2562315762042999
disagree,0.53138667345047,0.19938750565052032,0.23200152814388275,0.2853727340698242,0.4534648060798645,0.4089656472206116,0.14617952704429626,0.01914253458380699,0.15168412029743195,0.19938750565052032,0.23200152814388275,0.2163519263267517,0.22792287170886993,0.10992507636547089,0.2313895970582962,0.05080296844244003,0.17735882103443146,0.37936678528785706
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.21627245843410492,0.4154358208179474,0.36358317732810974,0.1820080578327179,-0.04624466598033905,0.17897967994213104,0.3250955045223236,0.4223487675189972,0.14820793271064758,0.41827285289764404,0.08974023163318634,0.19856593012809753,0.07907696813344955,0.3139074146747589,0.2433311939239502
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.2231651395559311,0.4479874074459076,0.4230159521102905,0.12029030919075012,0.05073437839746475,0.14280109107494354,0.23545363545417786,0.3575236201286316,0.19594697654247284,0.3209529519081116,0.02061607502400875,0.1115405485033989,0.04183737933635712,0.2647407650947571,0.17851735651493073
double,0.16209302842617035,0.1794169545173645,0.21355170011520386,0.17947201430797577,0.2372189164161682,0.26558858156204224,0.13179191946983337,0.05522814020514488,0.06667885184288025,0.1794169545173645,0.21355170011520386,0.17465117573738098,0.18580502271652222,0.098689503967762,0.12335899472236633,0.012350732460618019,0.15876372158527374,0.10017921775579453
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.21121910214424133,0.4729836881160736,0.4406825602054596,0.18941067159175873,0.06871571391820908,0.19621294736862183,0.41870999336242676,0.4174870550632477,0.17930443584918976,0.3792596757411957,0.1197475790977478,0.17501351237297058,0.04548122361302376,0.4293559193611145,0.32389625906944275
triple,0.1699010133743286,0.1815485954284668,0.23220868408679962,0.1861153393983841,0.23268833756446838,0.21126684546470642,0.1328723430633545,-0.014886848628520966,0.06433127820491791,0.1815485954284668,0.23220868408679962,0.14766892790794373,0.19114786386489868,0.07601647824048996,0.17255151271820068,0.029907066375017166,0.1617029756307602,0.10550399124622345
non-french,0.2697906792163849,0.25579768419265747,0.29699745774269104,0.23016522824764252,0.27123939990997314,0.3612876236438751,0.19007296860218048,0.06118505820631981,0.23662160336971283,0.25579768419265747,0.29699745774269104,0.18570689857006073,0.2606109380722046,0.15536265075206757,0.49277979135513306,0.009504010900855064,0.23415212333202362,0.28853076696395874
linguistic,0.2583354115486145,0.22383882105350494,0.22038806974887848,0.3238382637500763,0.2365589588880539,0.2397730052471161,0.09026843309402466,0.019549645483493805,0.16384470462799072,0.22383882105350494,0.22038806974887848,0.36560043692588806,0.27630457282066345,0.15024080872535706,0.24780523777008057,0.07077524811029434,0.1959882229566574,0.1955655962228775
origins,0.2137981504201889,0.1919078379869461,0.2890577018260956,0.36078178882598877,0.2644680440425873,0.233239084482193,0.19828785955905914,-0.02242027409374714,0.3060031235218048,0.1919078379869461,0.2890577018260956,0.6893133521080017,0.2670811712741852,-0.002278135856613517,0.24975153803825378,0.06510860472917557,0.22973352670669556,0.1275135576725006
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18095813691616058,0.4137537479400635,0.4316047728061676,0.27879971265792847,-0.0016132977325469255,0.28145334124565125,0.4691906273365021,0.4933079481124878,0.2943580448627472,0.4946078956127167,0.09681109338998795,0.24752236902713776,-0.037358131259679794,0.26549121737480164,0.31091248989105225
arguing,0.4372275173664093,0.20807532966136932,0.2737332284450531,0.2511671483516693,0.36448192596435547,0.29066070914268494,0.20834070444107056,-0.01983710750937462,0.12390898168087006,0.20807532966136932,0.2737332284450531,0.11812327057123184,0.24923518300056458,-0.004630387760698795,0.1386193186044693,-0.012894967570900917,0.1768004596233368,0.2956003248691559
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.36183905601501465,1.0,0.6909449696540833,0.16788895428180695,0.04397977516055107,0.27224332094192505,0.3995479643344879,0.5473989248275757,0.20789451897144318,0.41498205065727234,0.05285148695111275,0.19593703746795654,0.007880004122853279,0.41604554653167725,0.32716336846351624
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.20500218868255615,0.4137635827064514,0.5082864165306091,0.17887762188911438,-0.07241261005401611,0.25737348198890686,0.43268078565597534,0.4739971458911896,0.20526328682899475,0.4185989499092102,0.01270448137074709,0.14738403260707855,-0.04479556903243065,0.29870352149009705,0.264628142118454
