,when,a,commission,reached,no,decision,",",what,happened,?
the,0.5091903209686279,0.5829201340675354,0.24418850243091583,0.29860952496528625,0.3461136817932129,0.2905151844024658,0.4933079481124878,0.42745697498321533,0.3589572608470917,0.22068053483963013
issues,0.26781919598579407,0.24391965568065643,0.2130601704120636,0.2052391767501831,0.3135167360305786,0.363338828086853,0.2560703754425049,0.33279702067375183,0.268297404050827,0.320565789937973
of,0.3757161796092987,0.5052502155303955,0.2698368728160858,0.18604008853435516,0.24809792637825012,0.2331373691558838,0.4946078956127167,0.33290785551071167,0.30501094460487366,0.1826142966747284
conflicting,0.3156471252441406,0.21103858947753906,0.1909053772687912,0.1787300705909729,0.256348192691803,0.3826504647731781,0.2603031396865845,0.40057775378227234,0.37483131885528564,0.3185083568096161
territorial,0.26421302556991577,0.20547889173030853,0.27866339683532715,0.18806716799736023,0.21707479655742645,0.23472008109092712,0.2575375437736511,0.21081089973449707,0.12536630034446716,0.10118355602025986
claims,0.2201000452041626,0.17994755506515503,0.17926497757434845,0.1384468525648117,0.22015225887298584,0.32193928956985474,0.24985520541667938,0.2397100329399109,0.23527702689170837,0.18741291761398315
between,0.38258615136146545,0.29385313391685486,0.17447040975093842,0.2285044938325882,0.16708187758922577,0.13711562752723694,0.27714940905570984,0.2462156116962433,0.2955036163330078,0.12887074053287506
british,0.1642608791589737,0.1984395682811737,0.2042473405599594,0.13048458099365234,0.09040936827659607,0.22346839308738708,0.25734075903892517,0.19255435466766357,0.14851735532283783,0.09711728990077972
and,0.4716290831565857,0.3739250600337982,0.21015366911888123,0.19567863643169403,0.25880882143974304,0.20328959822654724,0.6633074283599854,0.31309178471565247,0.22602374851703644,0.20544172823429108
french,0.18820616602897644,0.24285779893398285,0.16324959695339203,0.1381673812866211,0.0959450900554657,0.11753804236650467,0.28806620836257935,0.17393042147159576,0.13984420895576477,0.1386883556842804
