,the,paintings,donated,by,john,sheepshanks,were,by,artists,of,which,nationality,?
in,0.6662389636039734,0.2264205515384674,0.2671816647052765,0.370934396982193,0.22177861630916595,0.2991338074207306,0.3815755248069763,0.370934396982193,0.1669624298810959,0.5696388483047485,0.4840516746044159,0.1939406394958496,0.20430970191955566
1857,0.04397021234035492,0.02965756133198738,0.16182605922222137,0.0963342934846878,-0.08969142287969589,0.0015483234310522676,0.0652524083852768,0.0963342934846878,0.04482029005885124,0.10165759176015854,0.16274131834506989,0.0875367745757103,0.07002107053995132
john,0.2230520099401474,0.1214088574051857,0.17012862861156464,0.2502059042453766,1.0000001192092896,0.3003201186656952,0.19632886350154877,0.2502059042453766,0.1472584307193756,0.2407056987285614,0.20415355265140533,0.05339326336979866,0.13162356615066528
sheepshanks,0.33741626143455505,0.31781435012817383,0.21179375052452087,0.3757704794406891,0.3003201186656952,1.0,0.2866239547729492,0.3757704794406891,0.28953954577445984,0.23987549543380737,0.3156430125236511,0.16049227118492126,0.26307445764541626
donated,0.24606364965438843,0.34472015500068665,0.9999998807907104,0.24880395829677582,0.17012862861156464,0.21179375052452087,0.22954699397087097,0.24880395829677582,0.19301623106002808,0.27521181106567383,0.26752161979675293,0.15359441936016083,0.10052662342786789
233,0.11286590248346329,0.1642085462808609,0.04551561176776886,0.016649683937430382,0.19291822612285614,0.1961708962917328,0.07398822903633118,0.016649683937430382,0.18618512153625488,0.010215288028120995,0.027183672413229942,0.0433414950966835,0.15934571623802185
paintings,0.2167874127626419,1.0,0.34472015500068665,0.24946486949920654,0.1214088574051857,0.31781435012817383,0.2921231985092163,0.24946486949920654,0.525743842124939,0.21768251061439514,0.207008495926857,0.21177536249160767,0.1866389960050583
",",0.4933079481124878,0.22040317952632904,0.2569865584373474,0.3680937886238098,0.23961079120635986,0.3846465051174164,0.36755475401878357,0.3680937886238098,0.2220294177532196,0.4946078956127167,0.3658004403114319,0.25539466738700867,0.31091248989105225
mainly,0.3790479004383087,0.14844375848770142,0.19562441110610962,0.2982672154903412,0.16730929911136627,0.31656530499458313,0.30168282985687256,0.2982672154903412,0.15976263582706451,0.3325652480125427,0.4569816291332245,0.18002742528915405,0.07608037441968918
by,0.4408751428127289,0.24946486949920654,0.24880395829677582,1.0000001192092896,0.2502059042453766,0.3757704794406891,0.4406847059726715,1.0000001192092896,0.3067220449447632,0.3646814823150635,0.40543368458747864,0.2942885756492615,0.17966607213020325
contemporary,0.25350451469421387,0.3579981327056885,0.22848476469516754,0.2336142212152481,0.19271551072597504,0.21759819984436035,0.23908266425132751,0.2336142212152481,0.43324336409568787,0.2923402488231659,0.22929219901561737,0.25080621242523193,0.09539991617202759
british,0.28973397612571716,0.16699564456939697,0.1522148698568344,0.26707085967063904,0.2667495906352997,0.31396764516830444,0.27742838859558105,0.26707085967063904,0.10065519064664841,0.23701532185077667,0.2002234309911728,0.3241701126098633,0.09711728990077972
artists,0.2150506228208542,0.525743842124939,0.19301623106002808,0.3067220449447632,0.1472584307193756,0.28953954577445984,0.2431362122297287,0.3067220449447632,1.0000001192092896,0.18416832387447357,0.15925386548042297,0.27011075615882874,0.1482434719800949
",",0.4933079481124878,0.22040317952632904,0.2569865584373474,0.3680937886238098,0.23961079120635986,0.3846465051174164,0.36755475401878357,0.3680937886238098,0.2220294177532196,0.4946078956127167,0.3658004403114319,0.25539466738700867,0.31091248989105225
and,0.5171257257461548,0.2532086968421936,0.2513214945793152,0.4289871156215668,0.21634717285633087,0.3736935555934906,0.42175528407096863,0.4289871156215668,0.22698481380939484,0.5116966962814331,0.506277859210968,0.23912757635116577,0.20544172823429108
a,0.5829201340675354,0.15623857080936432,0.25708192586898804,0.32094135880470276,0.20638683438301086,0.30057379603385925,0.17203083634376526,0.32094135880470276,0.14613932371139526,0.5052502155303955,0.56894451379776,0.16426464915275574,0.23916715383529663
similar,0.2963123023509979,0.13490474224090576,0.1729986071586609,0.28307145833969116,0.08773703128099442,0.19343295693397522,0.28374379873275757,0.28307145833969116,0.053683020174503326,0.2911645472049713,0.4783022403717041,0.21368923783302307,0.23309361934661865
number,0.35145696997642517,0.10740683227777481,0.17024017870426178,0.2551532983779907,0.1263035535812378,0.1822153627872467,0.2910310626029968,0.2551532983779907,0.17902690172195435,0.2778518795967102,0.3661547005176544,0.26055899262428284,0.19256845116615295
of,0.733189046382904,0.21768251061439514,0.27521181106567383,0.3646814823150635,0.2407056987285614,0.23987549543380737,0.34038281440734863,0.3646814823150635,0.18416832387447357,1.0,0.5011631846427917,0.16924145817756653,0.1826142966747284
drawings,0.19117170572280884,0.608963131904602,0.2965519428253174,0.24822719395160675,0.12626059353351593,0.3229633569717407,0.2953549921512604,0.24822719395160675,0.4134586751461029,0.23873206973075867,0.23354779183864594,0.08816824853420258,0.15541397035121918
to,0.535392165184021,0.21597011387348175,0.25148287415504456,0.33534231781959534,0.2070634365081787,0.3082112967967987,0.31913647055625916,0.33534231781959534,0.2258228361606598,0.41548454761505127,0.5345056653022766,0.195908322930336,0.29463258385658264
the,1.0,0.2167874127626419,0.24606364965438843,0.4408751428127289,0.2230520099401474,0.33741626143455505,0.3906462490558624,0.4408751428127289,0.2150506228208542,0.733189046382904,0.6521818041801453,0.21899528801441193,0.22068053483963013
museum,0.24861779808998108,0.3647291660308838,0.32454055547714233,0.15592984855175018,0.14412403106689453,0.18640516698360443,0.16107067465782166,0.15592984855175018,0.22386404871940613,0.23314370214939117,0.22731433808803558,0.1266155242919922,0.14128351211547852
with,0.4223487675189972,0.1865503191947937,0.22566799819469452,0.39731505513191223,0.1736196130514145,0.3228703439235687,0.3179011940956116,0.39731505513191223,0.2461453378200531,0.41827285289764404,0.46403205394744873,0.13285885751247406,0.2433311939239502
the,1.0,0.2167874127626419,0.24606364965438843,0.4408751428127289,0.2230520099401474,0.33741626143455505,0.3906462490558624,0.4408751428127289,0.2150506228208542,0.733189046382904,0.6521818041801453,0.21899528801441193,0.22068053483963013
intention,0.25965142250061035,0.16787314414978027,0.1959584802389145,0.2023926079273224,0.16788670420646667,0.1683426797389984,0.18952234089374542,0.2023926079273224,0.1032526046037674,0.20242100954055786,0.2725229561328888,0.18002857267856598,0.27262312173843384
of,0.733189046382904,0.21768251061439514,0.27521181106567383,0.3646814823150635,0.2407056987285614,0.23987549543380737,0.34038281440734863,0.3646814823150635,0.18416832387447357,1.0,0.5011631846427917,0.16924145817756653,0.1826142966747284
