,what,portion,of,households,in,jacksonville,have,only,one,person,?
23.9,-0.23426231741905212,-0.17747202515602112,-0.22124890983104706,-0.3020097017288208,-0.22282035648822784,-0.11939264088869095,-0.21454860270023346,-0.2277834117412567,-0.20013675093650818,-0.13792265951633453,-0.028928926214575768
%,0.20738190412521362,0.2712008059024811,0.19953428208827972,0.4648574888706207,0.19465309381484985,0.14513275027275085,0.25054386258125305,0.31281548738479614,0.19197086989879608,0.1734224408864975,0.21441808342933655
of,0.33290785551071167,0.31845465302467346,1.0,0.2765655219554901,0.5696388483047485,0.23084138333797455,0.3802283704280853,0.49632513523101807,0.4999135136604309,0.27674683928489685,0.1826142966747284
households,0.1889873743057251,0.2736966907978058,0.2765655219554901,1.0000001192092896,0.24879489839076996,0.228903666138649,0.23133477568626404,0.2671475112438202,0.23005732893943787,0.3186606168746948,0.17362827062606812
had,0.23849567770957947,0.22401762008666992,0.37755560874938965,0.29948997497558594,0.385026752948761,0.2762775421142578,0.6263401508331299,0.3839550316333771,0.3595404326915741,0.2310890257358551,0.20728366076946259
children,0.22469459474086761,0.04582809656858444,0.1978350728750229,0.36043110489845276,0.2065156251192093,0.16101597249507904,0.24149258434772491,0.24917519092559814,0.225452721118927,0.2855251133441925,0.21788206696510315
under,0.20154598355293274,0.1494409292936325,0.32766106724739075,0.16036809980869293,0.2535393238067627,0.12107047438621521,0.2579502761363983,0.2947874963283539,0.1822032481431961,0.20110675692558289,0.18233340978622437
the,0.42745697498321533,0.42017096281051636,0.733189046382904,0.26440316438674927,0.6662389636039734,0.2176690250635147,0.40389683842658997,0.5497692227363586,0.5514441132545471,0.3487054407596588,0.22068053483963013
age,0.1895245760679245,0.0773964449763298,0.2372717410326004,0.26058149337768555,0.30576348304748535,0.18874578177928925,0.1837892234325409,0.24253050982952118,0.18903999030590057,0.1818782389163971,0.16859300434589386
of,0.33290785551071167,0.31845465302467346,1.0,0.2765655219554901,0.5696388483047485,0.23084138333797455,0.3802283704280853,0.49632513523101807,0.4999135136604309,0.27674683928489685,0.1826142966747284
18,-0.09284763038158417,-0.04824835807085037,-0.09725122153759003,-0.07622837275266647,-0.061147160828113556,-0.017295503988862038,-0.06754421442747116,-0.13804906606674194,-0.05258643627166748,-0.00022402044851332903,-0.04919438064098358
living,0.22245320677757263,0.18191459774971008,0.3499443829059601,0.4100218415260315,0.3253810405731201,0.17041432857513428,0.2538067102432251,0.2753382921218872,0.24753230810165405,0.20545604825019836,0.18362653255462646
with,0.2464839518070221,0.2707788050174713,0.41827285289764404,0.26435455679893494,0.4080928862094879,0.2283513844013214,0.48046383261680603,0.367427259683609,0.3855307400226593,0.22800223529338837,0.2433311939239502
them,0.4994642734527588,0.2718612849712372,0.34503093361854553,0.2886597514152527,0.29119014739990234,0.20000717043876648,0.5357621312141418,0.47087645530700684,0.4273320138454437,0.4140796363353729,0.35435691475868225
",",0.3087472915649414,0.23716022074222565,0.4946078956127167,0.2694286108016968,0.5201468467712402,0.2837527096271515,0.3541618287563324,0.4220978021621704,0.3696635365486145,0.2255365252494812,0.31091248989105225
43.8,-6.835996464360505e-05,0.06684288382530212,0.10555125772953033,0.09230180084705353,0.13803623616695404,0.21374933421611786,-0.0992765873670578,-0.042462799698114395,-0.09310354292392731,0.03433967009186745,-0.025394409894943237
%,0.20738190412521362,0.2712008059024811,0.19953428208827972,0.4648574888706207,0.19465309381484985,0.14513275027275085,0.25054386258125305,0.31281548738479614,0.19197086989879608,0.1734224408864975,0.21441808342933655
were,0.22298263013362885,0.19479751586914062,0.34038281440734863,0.3441278040409088,0.3815755248069763,0.20713816583156586,0.5193349123001099,0.34466472268104553,0.3453167676925659,0.16889125108718872,0.17890112102031708
married,0.13977670669555664,0.021934296935796738,0.1619977355003357,0.23323188722133636,0.21549314260482788,0.1943131387233734,0.1660231202840805,0.2016739696264267,0.14407356083393097,0.17802105844020844,0.18062160909175873
couples,0.1835072785615921,0.1745380312204361,0.21549354493618011,0.45348840951919556,0.2503395974636078,0.1983143389225006,0.332898885011673,0.31720206141471863,0.2341650128364563,0.3327270448207855,0.18474175035953522
",",0.3087472915649414,0.23716022074222565,0.4946078956127167,0.2694286108016968,0.5201468467712402,0.2837527096271515,0.3541618287563324,0.4220978021621704,0.3696635365486145,0.2255365252494812,0.31091248989105225
15.2,-0.32092905044555664,-0.15232111513614655,-0.2780207693576813,-0.16183330118656158,-0.25646278262138367,-0.05601220205426216,-0.39057204127311707,-0.35682547092437744,-0.3795720636844635,-0.31310364603996277,-0.24455633759498596
%,0.20738190412521362,0.2712008059024811,0.19953428208827972,0.4648574888706207,0.19465309381484985,0.14513275027275085,0.25054386258125305,0.31281548738479614,0.19197086989879608,0.1734224408864975,0.21441808342933655
had,0.23849567770957947,0.22401762008666992,0.37755560874938965,0.29948997497558594,0.385026752948761,0.2762775421142578,0.6263401508331299,0.3839550316333771,0.3595404326915741,0.2310890257358551,0.20728366076946259
a,0.3320399522781372,0.3207106590270996,0.5052502155303955,0.20367343723773956,0.539380669593811,0.28008249402046204,0.338716596364975,0.47549712657928467,0.4910551905632019,0.4078793525695801,0.23916715383529663
female,0.14235767722129822,0.06908636540174484,0.26416701078414917,0.20643673837184906,0.1986217200756073,0.12654149532318115,0.213423952460289,0.21896429359912872,0.2639651894569397,0.31493324041366577,0.17839525640010834
householder,0.20170222222805023,0.23655356466770172,0.28523769974708557,0.9071156978607178,0.22324803471565247,0.206154927611351,0.18809323012828827,0.2816815674304962,0.24542862176895142,0.3567846417427063,0.20234358310699463
with,0.2464839518070221,0.2707788050174713,0.41827285289764404,0.26435455679893494,0.4080928862094879,0.2283513844013214,0.48046383261680603,0.367427259683609,0.3855307400226593,0.22800223529338837,0.2433311939239502
no,0.339326947927475,0.14424017071723938,0.24809792637825012,0.23270967602729797,0.24372287094593048,0.1304234266281128,0.38691386580467224,0.4522853493690491,0.32319608330726624,0.259426087141037,0.32165053486824036
husband,0.14778389036655426,0.10604991763830185,0.20487503707408905,0.33966103196144104,0.2923726737499237,0.15013547241687775,0.12240935117006302,0.20482386648654938,0.19175773859024048,0.30929335951805115,0.15407632291316986
present,0.30940163135528564,0.13118880987167358,0.3116828501224518,0.2548104226589203,0.23905439674854279,0.12374603748321533,0.23713251948356628,0.23204892873764038,0.23905925452709198,0.1226738914847374,0.21759982407093048
