,when,did,luther,appeared,before,the,diet,of,worms,?
on,0.37706470489501953,0.2670976221561432,0.19090485572814941,0.28960493206977844,0.3903424143791199,0.5107308030128479,0.19876515865325928,0.3966929316520691,0.21352466940879822,0.2714994251728058
18,-0.16991649568080902,-0.16295963525772095,-0.04762841388583183,-0.09677022695541382,-0.13283929228782654,-0.07796193659305573,0.08825282752513885,-0.09725122153759003,-0.051086507737636566,-0.04919438064098358
april,0.2554110586643219,0.2925565242767334,0.1579839140176773,0.1910775601863861,0.297839492559433,0.23232673108577728,0.08224161714315414,0.18706536293029785,0.11197866499423981,0.25704094767570496
1521,0.20012322068214417,0.09373841434717178,0.08881302922964096,0.22788354754447937,0.16310261189937592,0.18627284467220306,-0.05484926328063011,0.10520750284194946,-0.0740685909986496,0.0046399421989917755
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.30425316095352173,0.3156566619873047,0.4933079481124878,0.16744621098041534,0.4946078956127167,0.25400060415267944,0.31091248989105225
luther,0.14516782760620117,0.23667675256729126,1.0,0.2048204094171524,0.18152235448360443,0.1759674996137619,0.2504214346408844,0.1719115972518921,0.2998431622982025,0.1732746809720993
appeared,0.1832868754863739,0.2999138832092285,0.2048204094171524,1.0,0.21280698478221893,0.30265679955482483,0.13352526724338531,0.24007049202919006,0.20422974228858948,0.1384376585483551
as,0.4437963366508484,0.3596470057964325,0.20242992043495178,0.3160499334335327,0.3552539646625519,0.48381632566452026,0.22122228145599365,0.3886612355709076,0.14256945252418518,0.27043893933296204
ordered,0.2436567097902298,0.3289390504360199,0.18546730279922485,0.22066009044647217,0.2606208622455597,0.2839050590991974,0.15008829534053802,0.31747159361839294,0.07284994423389435,0.11423391848802567
before,0.5650408267974854,0.33642593026161194,0.18152235448360443,0.21280698478221893,1.0,0.45900648832321167,0.16089646518230438,0.3282964527606964,0.13036982715129852,0.2507109045982361
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.30265679955482483,0.45900648832321167,1.0,0.2280237376689911,0.733189046382904,0.22492028772830963,0.22068053483963013
diet,0.15782000124454498,0.14340093731880188,0.2504214346408844,0.13352526724338531,0.16089646518230438,0.2280237376689911,1.0,0.22600968182086945,0.30078601837158203,0.10425104945898056
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.24007049202919006,0.3282964527606964,0.733189046382904,0.22600968182086945,1.0,0.18906788527965546,0.1826142966747284
worms,0.14841488003730774,0.1653052270412445,0.2998431622982025,0.20422974228858948,0.13036982715129852,0.22492028772830963,0.30078601837158203,0.18906788527965546,1.0,0.18053190410137177
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.2511556148529053,0.36693984270095825,0.5934505462646484,0.21237871050834656,0.5352458953857422,0.24195295572280884,0.4130953550338745
