,what,did,graham,twigg,publish,in,1984,?
in,0.30808621644973755,0.2593238651752472,0.18576331436634064,0.21276359260082245,0.17019827663898468,1.0,0.006334475241601467,0.20430970191955566
1984,-0.09343484789133072,-0.041119784116744995,0.1894482523202896,0.142195463180542,-0.005184780806303024,0.006334475241601467,1.0,0.07765956968069077
zoologist,0.17740082740783691,0.13447155058383942,0.19585920870304108,0.2257867455482483,0.24819274246692657,0.2203589379787445,0.3700103759765625,0.14744341373443604
graham,0.19604507088661194,0.14297722280025482,1.0000001192092896,0.2621676027774811,0.16835343837738037,0.18576331436634064,0.1894482523202896,0.11933253705501556
twigg,0.20210035145282745,0.13913574814796448,0.2621676027774811,0.9999999403953552,0.14124438166618347,0.21276359260082245,0.142195463180542,0.2193375676870346
produced,0.1393624097108841,0.16971632838249207,0.11899250745773315,0.27480167150497437,0.13403193652629852,0.2542861998081207,0.08013717830181122,0.1623450517654419
the,0.42745697498321533,0.34736719727516174,0.20041067898273468,0.2632475197315216,0.1611112356185913,0.6662389636039734,-0.007670710328966379,0.22068053483963013
first,0.28086137771606445,0.33691170811653137,0.24322928488254547,0.23628726601600647,0.1888585090637207,0.4127444326877594,0.030499061569571495,0.18701928853988647
major,0.21026742458343506,0.20997437834739685,0.12434563785791397,0.07740223407745361,0.13728007674217224,0.3249945342540741,0.08666738867759705,0.19788557291030884
work,0.3762225806713104,0.336654931306839,0.14419175684452057,0.14932547509670258,0.3973886966705322,0.2753349542617798,-0.05921536684036255,0.2621155381202698
to,0.455847829580307,0.4452643394470215,0.1571163535118103,0.2052803635597229,0.29983964562416077,0.45010748505592346,-0.1508965641260147,0.29463258385658264
challenge,0.2741846442222595,0.22132587432861328,0.15005113184452057,0.2079497128725052,0.1395939737558365,0.2110528200864792,-0.04882728308439255,0.2207598239183426
the,0.42745697498321533,0.34736719727516174,0.20041067898273468,0.2632475197315216,0.1611112356185913,0.6662389636039734,-0.007670710328966379,0.22068053483963013
bubonic,0.24423125386238098,0.24302518367767334,0.1903487592935562,0.18273036181926727,0.22963374853134155,0.3032926917076111,0.14007195830345154,0.21706949174404144
plague,0.22263506054878235,0.1901843398809433,0.15409541130065918,0.11465906351804733,0.260653555393219,0.2488756626844406,0.045321885496377945,0.11872942000627518
theory,0.297923743724823,0.20347590744495392,0.14068014919757843,0.1882743388414383,0.25718027353286743,0.16955126821994781,0.029515264555811882,0.1387292891740799
directly,0.3618607521057129,0.2733418643474579,0.11425076425075531,0.15558426082134247,0.160366028547287,0.25104159116744995,-0.11239863187074661,0.2187996357679367
",",0.3087472915649414,0.3015086054801941,0.27060064673423767,0.31409451365470886,0.25024911761283875,0.5201468467712402,0.1623975932598114,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.23618346452713013,0.2821139693260193,0.23082147538661957,0.4954058527946472,0.01118233148008585,0.20544172823429108
his,0.26976513862609863,0.3546801507472992,0.24320179224014282,0.2878037393093109,0.27212437987327576,0.3598145842552185,-0.04006465524435043,0.18075084686279297
doubts,0.35621142387390137,0.29532986879348755,0.13436296582221985,0.1891743391752243,0.33103588223457336,0.19462288916110992,-0.034897446632385254,0.30609560012817383
about,0.47976887226104736,0.28723078966140747,0.15368643403053284,0.16285917162895203,0.27262452244758606,0.39797019958496094,0.02567019872367382,0.302409827709198
the,0.42745697498321533,0.34736719727516174,0.20041067898273468,0.2632475197315216,0.1611112356185913,0.6662389636039734,-0.007670710328966379,0.22068053483963013
identity,0.24968291819095612,0.17384132742881775,0.19358313083648682,0.23693612217903137,0.24639195203781128,0.19517956674098969,-0.09876172989606857,0.1520950198173523
of,0.33290785551071167,0.2513895630836487,0.1767251193523407,0.22761499881744385,0.12460750341415405,0.5696388483047485,0.018355052918195724,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.20041067898273468,0.2632475197315216,0.1611112356185913,0.6662389636039734,-0.007670710328966379,0.22068053483963013
black,0.12054000794887543,0.14310608804225922,0.1183723583817482,0.14040163159370422,0.15064005553722382,0.20407067239284515,0.16675379872322083,0.15159966051578522
death,0.2267695665359497,0.2252790331840515,0.12429337203502655,0.16548913717269897,0.17519015073776245,0.18743370473384857,0.008045680820941925,0.21149799227714539
have,0.39808809757232666,0.3783526122570038,0.19057874381542206,0.2116669863462448,0.25567424297332764,0.36843645572662354,-0.0515444315969944,0.32991164922714233
been,0.2567804455757141,0.2835664749145508,0.2385447472333908,0.21759548783302307,0.21740128099918365,0.3515113592147827,0.004211060237139463,0.24354910850524902
taken,0.26014965772628784,0.2038538008928299,0.15981461107730865,0.15082481503486633,0.18788637220859528,0.2500644326210022,-0.07224805653095245,0.17662954330444336
up,0.28591108322143555,0.21613863110542297,0.1513201743364334,0.26352426409721375,0.07782888412475586,0.3120773434638977,-0.08017574995756149,0.1819818764925003
by,0.2455483376979828,0.18574509024620056,0.17205315828323364,0.2615986466407776,0.21025247871875763,0.370934396982193,-0.054156653583049774,0.17966607213020325
