,who,designed,the,entrance,hall,and,rotunda,?
prince,0.19059205055236816,0.14096035063266754,0.24284426867961884,0.12706822156906128,0.17307685315608978,0.2184920310974121,0.13619489967823029,0.15431542694568634
albert,0.20950829982757568,0.17104186117649078,0.17599669098854065,0.10822673887014389,0.25479140877723694,0.23445942997932434,0.17751742899417877,0.15350762009620667
appears,0.23125708103179932,0.15870153903961182,0.3605367839336395,0.15924739837646484,0.08968189358711243,0.24003387987613678,0.13021284341812134,0.22075983881950378
within,0.18261831998825073,0.1550234705209732,0.39827480912208557,0.17245091497898102,0.0908125713467598,0.35049548745155334,0.28688594698905945,0.1870293766260147
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
main,0.18417203426361084,0.1976516991853714,0.38631999492645264,0.23408080637454987,0.19524629414081573,0.29831406474113464,0.24004146456718445,0.1665669083595276
arch,0.1268027126789093,0.34277400374412537,0.26320189237594604,0.36923497915267944,0.26752525568008423,0.2051219940185547,0.3724049925804138,0.12708529829978943
above,0.1116432398557663,0.12021158635616302,0.33988961577415466,0.19681398570537567,0.11600779742002487,0.2363634556531906,0.20990291237831116,0.2521739900112152
the,0.3733934462070465,0.2559613883495331,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.2560749650001526,0.22068053483963013
twin,0.1588747799396515,0.28058236837387085,0.15579135715961456,0.1149597242474556,0.11044172942638397,0.2663886547088623,0.19751985371112823,0.12249694019556046
entrances,0.22065013647079468,0.2436451017856598,0.29704830050468445,0.8519443273544312,0.32879528403282166,0.28792881965637207,0.42412739992141724,0.10733003914356232
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.14223605394363403,0.2648565471172333,0.6633074283599854,0.17191007733345032,0.31091248989105225
queen,0.20093972980976105,0.11582991480827332,0.24681736528873444,0.19976085424423218,0.18151694536209106,0.24302659928798676,0.2693082094192505,0.17460165917873383
