,what,governing,body,appoints,commissioners,and,the,board,of,european,central,bank,?
the,0.42745697498321533,0.3302684724330902,0.31682634353637695,0.2540651261806488,0.30569928884506226,0.5171257257461548,1.0,0.2871673107147217,0.733189046382904,0.3423081040382385,0.3417201042175293,0.3216422498226166,0.22068053483963013
commission,0.22273972630500793,0.4039348363876343,0.17369301617145538,0.41989371180534363,0.8064931035041809,0.21015366911888123,0.24418850243091583,0.3074697256088257,0.2698368728160858,0.32984089851379395,0.16653120517730713,0.20571835339069366,0.16231559216976166
oversees,0.18797709047794342,0.4485175609588623,0.20583666861057281,0.44186732172966003,0.4693359434604645,0.3495406210422516,0.31797218322753906,0.2776302695274353,0.38254740834236145,0.19399394094944,0.19587218761444092,0.24036335945129395,0.12969982624053955
departments,0.1946287304162979,0.2687184512615204,0.17247885465621948,0.3516203761100769,0.3511424958705902,0.30895543098449707,0.322636216878891,0.21478845179080963,0.319271445274353,0.15908591449260712,0.23104752600193024,0.1830483227968216,0.11303292214870453
and,0.31309178471565247,0.2586982250213623,0.2872275710105896,0.2617189884185791,0.29613837599754333,1.0,0.5171257257461548,0.24616685509681702,0.5116966962814331,0.24143946170806885,0.2465941160917282,0.23291631042957306,0.20544172823429108
various,0.26045072078704834,0.2196403592824936,0.2181817591190338,0.14222471415996552,0.22344379127025604,0.4264104664325714,0.3235042691230774,0.21161441504955292,0.3196488320827484,0.22193078696727753,0.2030559480190277,0.11617201566696167,0.12823495268821716
agencies,0.2035544514656067,0.34557920694351196,0.18039651215076447,0.31847479939460754,0.41031819581985474,0.2802145481109619,0.2486087828874588,0.23094868659973145,0.22542637586593628,0.19143998622894287,0.24918261170387268,0.23469975590705872,0.1637895703315735
that,0.6297725439071655,0.20442156493663788,0.32291916012763977,0.15947778522968292,0.21793541312217712,0.4731321930885315,0.5473989248275757,0.18093496561050415,0.41498205065727234,0.2049320936203003,0.23977944254875183,0.19731587171554565,0.32716336846351624
execute,0.25897201895713806,0.16781029105186462,0.19071820378303528,0.25810766220092773,0.26317691802978516,0.21144668757915497,0.1872476041316986,0.1364901065826416,0.23248693346977234,0.11289162188768387,0.11725890636444092,0.14359726011753082,0.1967925727367401
or,0.33867141604423523,0.2488667070865631,0.31698328256607056,0.17668446898460388,0.23691986501216888,0.4713204801082611,0.4174870550632477,0.21005669236183167,0.3792596757411957,0.2412617802619934,0.17267680168151855,0.1537061631679535,0.32389625906944275
enforce,0.335531085729599,0.39288684725761414,0.15695767104625702,0.28419116139411926,0.3327735364437103,0.25722014904022217,0.2724851667881012,0.1607803851366043,0.2509682774543762,0.1659049391746521,0.1688116043806076,0.13521212339401245,0.2633580267429352
eu,0.15409135818481445,0.24239535629749298,0.07676316052675247,0.17046046257019043,0.21505162119865417,0.16977795958518982,0.14126400649547577,0.10277380794286728,0.1579294353723526,0.46552222967147827,0.10102983564138412,0.2074131816625595,0.21586786210536957
law,0.2145031988620758,0.2678234577178955,0.16696499288082123,0.319144606590271,0.24953687191009521,0.254730761051178,0.24548950791358948,0.1185259073972702,0.2816956341266632,0.17164482176303864,0.14515723288059235,0.176515594124794,0.1528988480567932
.,0.3567904531955719,0.27306726574897766,0.29751062393188477,0.21293091773986816,0.2468523532152176,0.588965117931366,0.5934505462646484,0.2503213584423065,0.5352458953857422,0.2095622420310974,0.3193301260471344,0.24876342713832855,0.4130953550338745
