,what,did,itv,increase,their,yearly,offer,for,control,of,the,rights,to,broadcast,the,primer,league,to,?
itv,0.1658191829919815,0.07018956542015076,0.9999999403953552,0.10118148475885391,0.22497563064098358,0.139572873711586,0.15346859395503998,0.18492071330547333,0.12130842357873917,0.18129809200763702,0.2226376235485077,0.13584239780902863,0.17307810485363007,0.5397028923034668,0.2226376235485077,0.14064383506774902,0.21407081186771393,0.17307810485363007,0.16615986824035645
had,0.23849567770957947,0.540525496006012,0.2138408124446869,0.3162323832511902,0.4145275354385376,0.17739588022232056,0.2828470468521118,0.3270139992237091,0.2237638384103775,0.37755560874938965,0.3875846862792969,0.188299298286438,0.37984350323677063,0.15132653713226318,0.3875846862792969,0.07371875643730164,0.12540528178215027,0.37984350323677063,0.20728366076946259
increased,0.1599731743335724,0.20765343308448792,0.14149931073188782,0.8384779691696167,0.3329881429672241,0.2658812999725342,0.2961618900299072,0.2777559161186218,0.3184686303138733,0.3371390700340271,0.3188653886318207,0.18942438066005707,0.2690577805042267,0.14856283366680145,0.3188653886318207,0.056156259030103683,0.1895616501569748,0.2690577805042267,0.09587585180997849
its,0.30393704771995544,0.19922670722007751,0.26818448305130005,0.29412996768951416,0.5367968082427979,0.2363421618938446,0.1825581192970276,0.2992613911628723,0.23098616302013397,0.48690423369407654,0.559237003326416,0.1595378965139389,0.3691340684890747,0.22796769440174103,0.559237003326416,0.1415989100933075,0.1876724362373352,0.3691340684890747,0.15103481709957123
offer,0.20134106278419495,0.30979153513908386,0.15346859395503998,0.3309883773326874,0.29210105538368225,0.21188992261886597,0.9999998807907104,0.35623615980148315,0.18503281474113464,0.19393298029899597,0.21118608117103577,0.1664283722639084,0.34615713357925415,0.16457588970661163,0.21118608117103577,0.15015262365341187,0.11975909024477005,0.34615713357925415,0.1774262934923172
from,0.2737620174884796,0.20248863101005554,0.09294851869344711,0.20796631276607513,0.3038119673728943,0.23060433566570282,0.16435587406158447,0.314039945602417,0.19431272149085999,0.4249346852302551,0.40150508284568787,0.159982830286026,0.4069952368736267,0.1824430525302887,0.40150508284568787,0.1359376162290573,0.18873094022274017,0.4069952368736267,0.19969791173934937
£18m,-0.011236189864575863,0.10728207975625992,0.18068787455558777,0.016052231192588806,0.146019846200943,0.2169293612241745,0.12369479238986969,0.12111589312553406,0.12715360522270203,0.08960234373807907,0.18296125531196594,0.10742639750242233,0.1184723824262619,0.1495344489812851,0.18296125531196594,0.03638148680329323,0.18087142705917358,0.1184723824262619,-0.02243470400571823
to,0.455847829580307,0.4452643394470215,0.17307810485363007,0.3378143310546875,0.44619059562683105,0.23069515824317932,0.34615713357925415,0.4451248347759247,0.28164729475975037,0.41548454761505127,0.535392165184021,0.2570022940635681,1.0,0.2326623648405075,0.535392165184021,0.14596419036388397,0.18720030784606934,1.0,0.29463258385658264
£34m,-0.02531159482896328,-0.09242264181375504,-0.11890685558319092,-0.048348795622587204,-0.06132727861404419,-0.04881179332733154,-0.05929670110344887,-0.04050428420305252,0.07103262841701508,0.13183234632015228,0.05848770961165428,0.08531134575605392,-0.04022938758134842,-0.06987086683511734,0.05848770961165428,-0.17756131291389465,-0.013548762537539005,-0.04022938758134842,0.002676799427717924
per,0.21384303271770477,0.14237605035305023,0.12077448517084122,0.2976338863372803,0.11565384268760681,0.3447881042957306,0.21977736055850983,0.22882020473480225,0.09297436475753784,0.17468707263469696,0.21691934764385223,0.09142616391181946,0.2519395351409912,0.158647358417511,0.21691934764385223,0.05827123299241066,0.13522902131080627,0.2519395351409912,0.22323818504810333
year,0.15184831619262695,0.21422851085662842,0.19473740458488464,0.23070736229419708,0.20591455698013306,0.5071943998336792,0.21693181991577148,0.29294124245643616,0.11895512789487839,0.2578314542770386,0.3609684407711029,0.1866040676832199,0.23523004353046417,0.23991180956363678,0.3609684407711029,0.09513874351978302,0.20387181639671326,0.23523004353046417,0.18315006792545319
to,0.455847829580307,0.4452643394470215,0.17307810485363007,0.3378143310546875,0.44619059562683105,0.23069515824317932,0.34615713357925415,0.4451248347759247,0.28164729475975037,0.41548454761505127,0.535392165184021,0.2570022940635681,1.0,0.2326623648405075,0.535392165184021,0.14596419036388397,0.18720030784606934,1.0,0.29463258385658264
keep,0.3147064745426178,0.23574070632457733,0.14851608872413635,0.2767546474933624,0.27155911922454834,0.18521633744239807,0.2399614304304123,0.2518472671508789,0.2671772241592407,0.16512422263622284,0.22379513084888458,0.17401379346847534,0.31550586223602295,0.127992182970047,0.22379513084888458,0.10875138640403748,0.16254204511642456,0.31550586223602295,0.2537146508693695
control,0.2821830213069916,0.22942528128623962,0.12130842357873917,0.28359106183052063,0.2660429775714874,0.1125020682811737,0.18503281474113464,0.2014283388853073,1.0,0.2817542552947998,0.32841500639915466,0.22015011310577393,0.28164729475975037,0.13184086978435516,0.32841500639915466,0.023398930206894875,0.08248909562826157,0.28164729475975037,0.1620711386203766
of,0.33290785551071167,0.2513895630836487,0.18129809200763702,0.3156060576438904,0.4329940676689148,0.29303279519081116,0.19393298029899597,0.4185989499092102,0.2817542552947998,1.0,0.733189046382904,0.19425496459007263,0.41548454761505127,0.20155203342437744,0.733189046382904,0.1419251263141632,0.23588460683822632,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.2226376235485077,0.32049667835235596,0.516537070274353,0.3435767889022827,0.21118608117103577,0.4739971458911896,0.32841500639915466,0.733189046382904,1.0,0.2579100430011749,0.535392165184021,0.2713715434074402,1.0,0.18682411313056946,0.2724147439002991,0.535392165184021,0.22068053483963013
rights,0.2386135458946228,0.2525300085544586,0.13584239780902863,0.17423830926418304,0.223011314868927,0.20202508568763733,0.1664283722639084,0.24823954701423645,0.22015011310577393,0.19425496459007263,0.2579100430011749,0.9999999403953552,0.2570022940635681,0.21661575138568878,0.2579100430011749,0.04983527585864067,0.22009842097759247,0.2570022940635681,0.21814769506454468
.,0.3567904531955719,0.35288307070732117,0.2164604514837265,0.24619564414024353,0.34427863359451294,0.2410760521888733,0.23210087418556213,0.4726039469242096,0.24319837987422943,0.5352458953857422,0.5934505462646484,0.24957291781902313,0.4645031690597534,0.2280997633934021,0.5934505462646484,0.13666391372680664,0.29573896527290344,0.4645031690597534,0.4130953550338745
