,during,which,period,did,jacksonville,become,a,popular,destination,for,the,rich,?
during,1.0,0.3590145409107208,0.5020045042037964,0.30679523944854736,0.2325054407119751,0.2473139762878418,0.30341604351997375,0.2540067732334137,0.23604603111743927,0.3448435664176941,0.4838213622570038,0.10614783316850662,0.1325719803571701
reconstruction,0.2746521830558777,0.3072117865085602,0.2797553539276123,0.20505712926387787,0.1438952535390854,0.15445742011070251,0.2340194433927536,0.0822911262512207,0.10180630534887314,0.20098422467708588,0.32034212350845337,0.1391814798116684,0.13694316148757935
and,0.36462149024009705,0.506277859210968,0.23878438770771027,0.34479495882987976,0.2603762745857239,0.3416603207588196,0.3739250600337982,0.3164171278476715,0.2021334022283554,0.5064792633056641,0.5171257257461548,0.33923646807670593,0.20544172823429108
the,0.4838213622570038,0.6521818041801453,0.3125074505805969,0.34736719727516174,0.2176690250635147,0.31731709837913513,0.5829201340675354,0.2724021077156067,0.3243162930011749,0.4739971458911896,1.0,0.2007024586200714,0.22068053483963013
gilded,0.3211785554885864,0.2591400146484375,0.2609832286834717,0.18609340488910675,0.1526738703250885,0.19617174565792084,0.20491907000541687,0.22921517491340637,0.10768310725688934,0.18641243875026703,0.31577226519584656,0.2522084712982178,0.10421735048294067
age,0.27434083819389343,0.1620659977197647,0.3056888282299042,0.1816447526216507,0.18874578177928925,0.20928703248500824,0.19297243654727936,0.14743097126483917,0.14325837790966034,0.23129768669605255,0.24711290001869202,0.22015905380249023,0.16859300434589386
",",0.3225448727607727,0.3658004403114319,0.25030651688575745,0.3015086054801941,0.2837527096271515,0.29676204919815063,0.427140474319458,0.2819201350212097,0.22128739953041077,0.4464869201183319,0.4933079481124878,0.272274911403656,0.31091248989105225
jacksonville,0.2325054407119751,0.18266190588474274,0.14107023179531097,0.22992172837257385,1.0000001192092896,0.15151262283325195,0.28008249402046204,0.1604941189289093,0.16849134862422943,0.28549739718437195,0.2176690250635147,0.10459644347429276,0.1359667330980301
and,0.36462149024009705,0.506277859210968,0.23878438770771027,0.34479495882987976,0.2603762745857239,0.3416603207588196,0.3739250600337982,0.3164171278476715,0.2021334022283554,0.5064792633056641,0.5171257257461548,0.33923646807670593,0.20544172823429108
nearby,0.22444021701812744,0.29588741064071655,0.18412967026233673,0.2088260054588318,0.2436562329530716,0.17283733189105988,0.19101864099502563,0.14332810044288635,0.2577247619628906,0.1691284328699112,0.2903098165988922,0.2615703046321869,0.07977716624736786
st.,0.1428316831588745,0.16463634371757507,0.04044356197118759,0.11965964734554291,0.1262202113866806,0.1451207548379898,0.23918339610099792,0.15920856595039368,0.027210548520088196,0.13670651614665985,0.18141359090805054,0.16313816606998444,0.13592876493930817
augustine,0.14770883321762085,0.19162240624427795,0.14840231835842133,0.09729888290166855,0.2524765431880951,0.153105691075325,0.19658590853214264,0.146812304854393,0.19494861364364624,0.11969921737909317,0.23652029037475586,0.10615632683038712,0.21213193237781525
became,0.37706515192985535,0.17613163590431213,0.2737521827220917,0.3632316589355469,0.20491723716259003,0.6258460283279419,0.28774285316467285,0.3909672796726227,0.19421309232711792,0.3017078936100006,0.36325156688690186,0.24764348566532135,0.11374033987522125
popular,0.2540067732334137,0.2955121099948883,0.18534919619560242,0.20788706839084625,0.1604941189289093,0.29701900482177734,0.2756339907646179,1.0,0.3590366840362549,0.30736467242240906,0.2724021077156067,0.23956681787967682,0.13108457624912262
winter,0.3251231908798218,0.20852844417095184,0.15080933272838593,0.1873176246881485,0.1367608904838562,0.20886364579200745,0.19113492965698242,0.21467217803001404,0.24357613921165466,0.22830931842327118,0.30035296082496643,0.21541959047317505,0.1591269075870514
resorts,0.1968042552471161,0.26018667221069336,0.146294966340065,0.12233125418424606,0.21262869238853455,0.17840616405010223,0.20265254378318787,0.3341812193393707,0.4364703595638275,0.22717539966106415,0.2703041136264801,0.24078291654586792,0.086017906665802
for,0.3448435664176941,0.44095608592033386,0.27999383211135864,0.318512886762619,0.28549739718437195,0.3047906458377838,0.44038116931915283,0.30736467242240906,0.23392128944396973,0.9999999403953552,0.4739971458911896,0.17148081958293915,0.264628142118454
the,0.4838213622570038,0.6521818041801453,0.3125074505805969,0.34736719727516174,0.2176690250635147,0.31731709837913513,0.5829201340675354,0.2724021077156067,0.3243162930011749,0.4739971458911896,1.0,0.2007024586200714,0.22068053483963013
rich,0.10614783316850662,0.2625499963760376,0.18032048642635345,0.16406011581420898,0.10459644347429276,0.23863470554351807,0.25359082221984863,0.23956681787967682,0.17013317346572876,0.17148081958293915,0.2007024586200714,0.9999998807907104,0.13849185407161713
and,0.36462149024009705,0.506277859210968,0.23878438770771027,0.34479495882987976,0.2603762745857239,0.3416603207588196,0.3739250600337982,0.3164171278476715,0.2021334022283554,0.5064792633056641,0.5171257257461548,0.33923646807670593,0.20544172823429108
famous,0.3248801827430725,0.24636515974998474,0.23465754091739655,0.22946208715438843,0.1729043871164322,0.16916657984256744,0.26728492975234985,0.6023072600364685,0.2693023979663849,0.2801532745361328,0.28616565465927124,0.30801695585250854,0.10379006713628769
.,0.3485563397407532,0.45942068099975586,0.2575049102306366,0.35288307070732117,0.2843366861343384,0.32859939336776733,0.50484299659729,0.2864297032356262,0.2400459349155426,0.4726039469242096,0.5934505462646484,0.24216711521148682,0.4130953550338745
