,how,many,miners,died,in,the,typhoid,outbreak,of,1854,?
conditions,0.2993250787258148,0.3021313548088074,0.2266293317079544,0.14522309601306915,0.2580132484436035,0.2622014284133911,0.33478987216949463,0.2525770664215088,0.2074868083000183,0.08457176387310028,0.17021824419498444
on,0.32655060291290283,0.32520127296447754,0.14178158342838287,0.2450883537530899,0.46853652596473694,0.5107308030128479,0.16913427412509918,0.1643761843442917,0.3966929316520691,0.13511189818382263,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.25137653946876526,0.18710990250110626,0.6662389636039734,1.0,0.20365437865257263,0.28401845693588257,0.733189046382904,0.18093430995941162,0.22068053483963013
gold,0.12317182868719101,0.19098812341690063,0.39578977227211,0.13537055253982544,0.21206732094287872,0.27136439085006714,0.14666548371315002,0.15011130273342133,0.2101457566022873,-0.0469035878777504,0.11542754620313644
fields,0.21759624779224396,0.23597875237464905,0.1869921237230301,0.09397224336862564,0.19709080457687378,0.16397054493427277,0.1431291699409485,0.11146166920661926,0.19633589684963226,0.06794856488704681,0.1411406248807907
were,0.2082374095916748,0.4804460406303406,0.34333986043930054,0.29009872674942017,0.3815755248069763,0.3906462490558624,0.2361990064382553,0.23478053510189056,0.34038281440734863,0.12179926782846451,0.17890112102031708
cramped,0.24581462144851685,0.3033696413040161,0.2681780457496643,0.1548762321472168,0.20911946892738342,0.3091980516910553,0.21140390634536743,0.15948191285133362,0.27223554253578186,0.02537871152162552,0.13061223924160004
and,0.33647966384887695,0.5296266674995422,0.19314245879650116,0.20853787660598755,0.4954058527946472,0.5171257257461548,0.2513933777809143,0.190837100148201,0.5116966962814331,0.13534758985042572,0.20544172823429108
unsanitary,0.19890238344669342,0.27705907821655273,0.3046826422214508,0.23952609300613403,0.23664337396621704,0.18144868314266205,0.4419211745262146,0.36385539174079895,0.247420072555542,0.08634364604949951,0.1970222145318985
;,0.07230665534734726,0.11763367056846619,-0.022661713883280754,-0.035317663103342056,0.092739537358284,0.09152708947658539,-0.0010295225074514747,-0.004273817874491215,0.054534342139959335,0.05668460577726364,0.10349778085947037
an,0.2520636022090912,0.2465583086013794,0.11606648564338684,0.17960475385189056,0.2605783939361572,0.4207492768764496,0.20399755239486694,0.17751002311706543,0.32280945777893066,0.08428315073251724,0.19793890416622162
outbreak,0.12083837389945984,0.26459184288978577,0.26686710119247437,0.26605287194252014,0.27757999300956726,0.28401845693588257,0.4458583891391754,1.0,0.22559921443462372,0.02402537316083908,0.1898726373910904
of,0.2480744868516922,0.37253960967063904,0.22123932838439941,0.25637882947921753,0.5696388483047485,0.733189046382904,0.2518491744995117,0.22559921443462372,1.0,0.08209068328142166,0.1826142966747284
typhoid,0.16458553075790405,0.2518306076526642,0.23769231140613556,0.4057103097438812,0.2235962301492691,0.20365437865257263,0.9999999403953552,0.4458583891391754,0.2518491744995117,-0.044156599789857864,0.15795691311359406
at,0.2154216170310974,0.2716965675354004,0.19255401194095612,0.27932441234588623,0.4374977946281433,0.457212895154953,0.15813787281513214,0.1322581022977829,0.42558613419532776,0.09694350510835648,0.21978627145290375
buckland,0.16111695766448975,0.1971444934606552,0.262802392244339,0.1893521100282669,0.25448256731033325,0.2706074118614197,0.22705890238285065,0.17814992368221283,0.20943960547447205,0.042742982506752014,0.14224427938461304
valley,0.16011130809783936,0.19893474876880646,0.2525745928287506,0.1332320272922516,0.2723499834537506,0.2923165559768677,0.15212854743003845,0.18568181991577148,0.23914365470409393,0.11229633539915085,0.11486150324344635
in,0.2601168751716614,0.41474202275276184,0.25962114334106445,0.25881269574165344,1.0,0.6662389636039734,0.2235962301492691,0.27757999300956726,0.5696388483047485,0.08061579614877701,0.20430970191955566
1854,0.038201842457056046,0.12192768603563309,0.13723480701446533,-0.1675778478384018,0.08061579614877701,0.18093430995941162,-0.044156599789857864,0.02402537316083908,0.08209068328142166,1.0,0.08305927366018295
killed,0.1255389302968979,0.1783437877893448,0.27909934520721436,0.42802461981773376,0.1957504004240036,0.23115427792072296,0.2744944989681244,0.34175610542297363,0.2589981257915497,-0.03799910098314285,0.17928971350193024
over,0.31446483731269836,0.47131630778312683,0.14174970984458923,0.18640899658203125,0.3605569899082184,0.39856547117233276,0.17546966671943665,0.25866279006004333,0.36136594414711,0.13332337141036987,0.25742942094802856
"1,000",-0.019969388842582703,0.12109162658452988,0.22441813349723816,0.3361210525035858,0.1234334334731102,0.13923996686935425,0.3553914427757263,0.12973079085350037,0.09292811155319214,-0.09874341636896133,0.02905043587088585
miners,0.16415783762931824,0.257687509059906,1.0000001192092896,0.17215105891227722,0.25962114334106445,0.25137653946876526,0.23769231140613556,0.26686710119247437,0.22123932838439941,0.13723480701446533,0.13432356715202332
.,0.3287222981452942,0.3974229395389557,0.17927470803260803,0.24093139171600342,0.5591574311256409,0.5934505462646484,0.237738698720932,0.23181170225143433,0.5352458953857422,0.05628908425569534,0.4130953550338745
