,what,surrounds,the,church,of,st.,andrew,?
it,0.45803478360176086,0.2776908874511719,0.6251175999641418,0.23105517029762268,0.38761502504348755,0.11486785858869553,0.17079833149909973,0.25732165575027466
is,0.28837618231773376,0.30281105637550354,0.5823672413825989,0.203276589512825,0.4854315221309662,0.16120703518390656,0.19632114470005035,0.22961433231830597
surrounded,0.1255793571472168,0.8548226952552795,0.3510684669017792,0.22187145054340363,0.3294748365879059,0.17326700687408447,0.09117487072944641,-0.022393958643078804
by,0.2455483376979828,0.22941306233406067,0.4408751428127289,0.135782390832901,0.3646814823150635,0.22391770780086517,0.21592731773853302,0.17966607213020325
the,0.42745697498321533,0.3477858304977417,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.22068053483963013
last,0.23175878822803497,0.1281256377696991,0.3698786795139313,0.11115076392889023,0.3052992522716522,0.1263762265443802,0.08173089474439621,0.22371746599674225
of,0.33290785551071167,0.34442681074142456,0.733189046382904,0.3079429268836975,1.0,0.19887582957744598,0.22439399361610413,0.1826142966747284
the,0.42745697498321533,0.3477858304977417,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.22068053483963013
ancient,0.2318045049905777,0.17891308665275574,0.28808021545410156,0.2272900491952896,0.3361112177371979,0.0856420174241066,0.16524890065193176,0.12938068807125092
churchyards,0.20056775212287903,0.30969056487083435,0.2977049648761749,0.699739933013916,0.34001412987709045,0.3532150089740753,0.27394595742225647,0.16167396306991577
to,0.455847829580307,0.25068747997283936,0.535392165184021,0.24439501762390137,0.41548454761505127,0.20982599258422852,0.19888398051261902,0.29463258385658264
retain,0.178955540060997,0.2741475999355316,0.2913416624069214,0.13543249666690826,0.24860581755638123,0.14633727073669434,0.05489583685994148,0.10032857954502106
its,0.30393704771995544,0.2364216446876526,0.559237003326416,0.19295279681682587,0.48690423369407654,0.06561868637800217,0.12455376982688904,0.15103481709957123
original,0.24651947617530823,0.13403120636940002,0.4037000238895416,0.21877658367156982,0.30228546261787415,0.08345268666744232,0.19239521026611328,0.17256900668144226
character,0.22097444534301758,0.14799654483795166,0.25992274284362793,0.08141668140888214,0.17163237929344177,0.14729633927345276,0.09648601710796356,0.18056271970272064
.,0.3567904531955719,0.21727266907691956,0.5934505462646484,0.28898224234580994,0.5352458953857422,0.2214197814464569,0.2573677599430084,0.4130953550338745
