,what,did,lady,gaga,sing,?
six-time,0.2736853361129761,0.25986844301223755,0.21395280957221985,0.319461464881897,0.29417529702186584,0.24173711240291595
grammy,0.14717522263526917,0.21635033190250397,0.2254769206047058,0.4510344862937927,0.2734967768192291,0.1939576119184494
winner,0.16745254397392273,0.1856318712234497,0.1605258584022522,0.17046664655208588,0.18525947630405426,0.14322948455810547
and,0.31309178471565247,0.34479495882987976,0.20816072821617126,0.238522008061409,0.2613985240459442,0.20544172823429108
academy,0.11844556778669357,0.16967160999774933,0.18219038844108582,0.18406526744365692,0.12259822338819504,0.1340850442647934
award,0.15951679646968842,0.19671815633773804,0.1910662055015564,0.23578475415706635,0.17519055306911469,0.18240714073181152
nominee,0.18658216297626495,0.19428716599941254,0.2593964636325836,0.32138848304748535,0.18193784356117249,0.21817171573638916
lady,0.14833222329616547,0.13136650621891022,0.9999999403953552,0.4824264645576477,0.2644665837287903,0.14158371090888977
gaga,0.19459430873394012,0.18077217042446136,0.4824264645576477,1.0000001192092896,0.3177512288093567,0.20982980728149414
performed,0.17447373270988464,0.2536868453025818,0.20621344447135925,0.26540297269821167,0.4201100468635559,0.14428307116031647
the,0.42745697498321533,0.34736719727516174,0.21662424504756927,0.22846719622612,0.20337216556072235,0.22068053483963013
national,0.16882304847240448,0.17743784189224243,0.11993757635354996,0.11412747204303741,0.12764528393745422,0.15643028914928436
anthem,0.18111002445220947,0.17120929062366486,0.32031533122062683,0.3087579011917114,0.4058619439601898,0.17449809610843658
",",0.3087472915649414,0.3015086054801941,0.2576631009578705,0.26485028862953186,0.228787362575531,0.31091248989105225
while,0.35511791706085205,0.3330625295639038,0.18806852400302887,0.22772952914237976,0.19330580532550812,0.21076419949531555
academy,0.11844556778669357,0.16967160999774933,0.18219038844108582,0.18406526744365692,0.12259822338819504,0.1340850442647934
award,0.15951679646968842,0.19671815633773804,0.1910662055015564,0.23578475415706635,0.17519055306911469,0.18240714073181152
winner,0.16745254397392273,0.1856318712234497,0.1605258584022522,0.17046664655208588,0.18525947630405426,0.14322948455810547
marlee,0.2346910834312439,0.13476203382015228,0.24616581201553345,0.2920103669166565,0.3107168674468994,0.24211622774600983
matlin,0.19595620036125183,0.22680321335792542,0.24739928543567657,0.34432172775268555,0.2114597111940384,0.2595809996128082
provided,0.2206064909696579,0.2778315246105194,0.13395105302333832,0.10337411612272263,0.17015093564987183,0.16893617808818817
american,0.1909721940755844,0.21486236155033112,0.21131841838359833,0.2127927541732788,0.17291709780693054,0.18877598643302917
sign,0.2690769135951996,0.222271129488945,0.06696368753910065,0.10514011979103088,0.23214149475097656,0.21454890072345734
language,0.28220435976982117,0.1788339912891388,0.15205544233322144,0.20596906542778015,0.27928027510643005,0.25349316000938416
(,0.2411840260028839,0.18979617953300476,0.1679210513830185,0.148438960313797,0.13380354642868042,0.40561532974243164
asl,0.27971982955932617,0.15472246706485748,0.11180070042610168,0.1329747885465622,0.1946275234222412,0.2692483067512512
),0.26259949803352356,0.18584993481636047,0.18707416951656342,0.17963387072086334,0.1385146975517273,0.42300865054130554
translation,0.22188860177993774,0.1068030595779419,0.12484363466501236,0.0944509506225586,0.2142384797334671,0.22574150562286377
.,0.3567904531955719,0.35288307070732117,0.19070248305797577,0.1853291243314743,0.22265979647636414,0.4130953550338745
