,eicosanoids,include,what,compounds,that,result,in,fever,and,blood,vessel,dilation,?
eicosanoids,1.0,0.2846618592739105,0.2890376150608063,0.47086918354034424,0.3240887224674225,0.25248396396636963,0.2497195452451706,0.31754010915756226,0.3267737030982971,0.36882835626602173,0.29968422651290894,0.3567578196525574,0.2850205898284912
include,0.2846618592739105,1.0,0.1535889357328415,0.22393904626369476,0.2797866463661194,0.07369694113731384,0.28694382309913635,0.27664610743522644,0.3915219306945801,0.20222443342208862,0.14896538853645325,0.1891758292913437,0.14925788342952728
prostaglandins,0.4591199457645416,0.22448621690273285,0.08471278846263885,0.31929662823677063,0.1519971489906311,0.1747463345527649,0.30986830592155457,0.33774644136428833,0.3026121258735657,0.32063889503479004,0.268272340297699,0.31540608406066895,0.16542012989521027
that,0.3240887224674225,0.2797866463661194,0.6297725439071655,0.26948118209838867,1.0,0.3031747341156006,0.435920387506485,0.22264009714126587,0.4731321930885315,0.2747363746166229,0.2498200237751007,0.2516542971134186,0.32716336846351624
produce,0.3430296778678894,0.2638784646987915,0.1685742735862732,0.33791932463645935,0.3393034040927887,0.3067944049835205,0.21160131692886353,0.17776623368263245,0.2701570689678192,0.1885373592376709,0.16472068428993225,0.3028174340724945,0.19229066371917725
fever,0.31754010915756226,0.27664610743522644,0.18325752019882202,0.18645837903022766,0.22264009714126587,0.1369103193283081,0.22277675569057465,0.9999999403953552,0.21023203432559967,0.3681679368019104,0.24803313612937927,0.26820215582847595,0.19472312927246094
and,0.3267737030982971,0.3915219306945801,0.31309178471565247,0.25433242321014404,0.4731321930885315,0.27436327934265137,0.4954058527946472,0.21023203432559967,1.0,0.2636592388153076,0.19361111521720886,0.18472996354103088,0.20544172823429108
the,0.3143060505390167,0.2951717972755432,0.42745697498321533,0.18294313549995422,0.5473989248275757,0.27778977155685425,0.6662389636039734,0.22987264394760132,0.5171257257461548,0.2815113961696625,0.2978035807609558,0.254480242729187,0.22068053483963013
dilation,0.3567578196525574,0.1891758292913437,0.25037243962287903,0.3024769425392151,0.2516542971134186,0.3153175115585327,0.14536064863204956,0.26820215582847595,0.18472996354103088,0.3848193287849426,0.3568195700645447,1.0000001192092896,0.20558391511440277
of,0.323611855506897,0.37431180477142334,0.33290785551071167,0.232599675655365,0.41498205065727234,0.231380432844162,0.5696388483047485,0.1963004767894745,0.5116966962814331,0.2294820100069046,0.23386210203170776,0.21466094255447388,0.1826142966747284
