,when,did,the,chinese,famine,begin,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.20821347832679749,0.2875092029571533,0.2903634011745453,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.2785343527793884,0.33704057335853577,0.34293439984321594,0.22068053483963013
1330s,0.08515991270542145,0.08462709933519363,0.13302259147167206,0.08940970152616501,0.03541899845004082,0.11308151483535767,0.1854134500026703
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.23124997317790985,0.2050371766090393,0.22845244407653809,0.23916715383529663
large,0.2779814898967743,0.2084006518125534,0.3828733265399933,0.15491966903209686,0.2693978548049927,0.17705702781677246,0.1355665624141693
number,0.2767394483089447,0.19046731293201447,0.35145696997642517,0.1805671602487564,0.20348365604877472,0.13823634386062622,0.19256845116615295
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.24275560677051544,0.3027348816394806,0.24830074608325958,0.1826142966747284
natural,0.17298151552677155,0.08853514492511749,0.2291368842124939,0.1580987125635147,0.16785180568695068,0.16407744586467743,0.16155436635017395
disasters,0.22551743686199188,0.20368145406246185,0.27290815114974976,0.20384660363197327,0.45742663741111755,0.21636062860488892,0.22316484153270721
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.25892454385757446,0.22804881632328033,0.2599445581436157,0.20544172823429108
plagues,0.2105775624513626,0.18630291521549225,0.24431635439395905,0.12406652420759201,0.43034958839416504,0.10221786797046661,0.15059924125671387
led,0.2072276622056961,0.3213953971862793,0.3267505168914795,0.1986471265554428,0.33299311995506287,0.2752450108528137,0.09273858368396759
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.17416036128997803,0.23473279178142548,0.33302420377731323,0.29463258385658264
widespread,0.24177096784114838,0.23944862186908722,0.30728161334991455,0.16947002708911896,0.4065956473350525,0.20475029945373535,0.16958627104759216
famine,0.221396341919899,0.2533646523952484,0.33704057335853577,0.2547686994075775,1.0000001192092896,0.24336320161819458,0.17393353581428528
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2697280943393707,0.2719517946243286,0.27304404973983765,0.31091248989105225
starting,0.34866392612457275,0.22911779582500458,0.37272053956985474,0.2069382518529892,0.22137032449245453,0.40425553917884827,0.19133803248405457
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.20821347832679749,0.2875092029571533,0.2903634011745453,0.20430970191955566
1331,0.17254456877708435,0.13968689739704132,0.15874484181404114,0.21168383955955505,0.24672143161296844,0.05794043093919754,0.01895035430788994
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2697280943393707,0.2719517946243286,0.27304404973983765,0.31091248989105225
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.18660885095596313,0.1747482717037201,0.25770750641822815,0.2433311939239502
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.23124997317790985,0.2050371766090393,0.22845244407653809,0.23916715383529663
deadly,0.2531704008579254,0.2064650058746338,0.25301113724708557,0.16896463930606842,0.28760436177253723,0.17324866354465485,0.1889878809452057
plague,0.25819700956344604,0.1901843398809433,0.2537761330604553,0.1461462527513504,0.4524409770965576,0.15472468733787537,0.11872942000627518
arriving,0.3520132303237915,0.2379974126815796,0.340482234954834,0.18409986793994904,0.27229490876197815,0.3107743263244629,0.11047270894050598
soon,0.538250207901001,0.35734426975250244,0.3431394100189209,0.14873912930488586,0.21988822519779205,0.37902581691741943,0.17460282146930695
after,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.17401684820652008,0.28519630432128906,0.4157010316848755,0.16608688235282898
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.25441038608551025,0.25033071637153625,0.24827922880649567,0.4130953550338745
