,what,are,frets,?
wrapped,0.22306659817695618,0.2015298753976822,0.37475278973579407,0.17514555156230927
around,0.27475327253341675,0.3560173511505127,0.3069053888320923,0.14729668200016022
the,0.42745697498321533,0.40399202704429626,0.26939889788627625,0.22068053483963013
grana,0.12482953071594238,0.1395915150642395,0.07568225264549255,0.1099926009774208
are,0.29724663496017456,1.0,0.40563279390335083,0.24591213464736938
helicoid,0.2660759389400482,0.2925097644329071,0.28462502360343933,0.18578045070171356
stromal,0.25136467814445496,0.2601601183414459,0.27182239294052124,0.16544461250305176
thylakoids,0.18655724823474884,0.4048384726047516,0.3330134153366089,0.17522360384464264
",",0.3087472915649414,0.4062570035457611,0.31107035279273987,0.31091248989105225
also,0.42747777700424194,0.4565894305706024,0.24212047457695007,0.21848613023757935
known,0.20381177961826324,0.26720109581947327,0.14503510296344757,0.18314571678638458
as,0.31749409437179565,0.3826591968536377,0.25189417600631714,0.27043893933296204
frets,0.25662511587142944,0.40563279390335083,1.0,0.21933668851852417
or,0.33867141604423523,0.5374364256858826,0.35120031237602234,0.32389625906944275
lamellar,0.2070125788450241,0.23919174075126648,0.2361249178647995,0.19064095616340637
thylakoids,0.18655724823474884,0.4048384726047516,0.3330134153366089,0.17522360384464264
.,0.3567904531955719,0.3452940285205841,0.2562098801136017,0.4130953550338745
