,what,would,type,of,studying,would,require,a,teacher,to,take,on,a,supervisor,role,?
outside,0.3224688768386841,0.2742229402065277,0.1506529003381729,0.2973117530345917,0.24908965826034546,0.2742229402065277,0.2174648493528366,0.3113526403903961,0.17518547177314758,0.3292369544506073,0.1965198814868927,0.3252089023590088,0.3113526403903961,0.14929164946079254,0.11005720496177673,0.14839068055152893
of,0.33290785551071167,0.3353942930698395,0.18112817406654358,1.0,0.2883101999759674,0.3353942930698395,0.20683176815509796,0.5052502155303955,0.19968076050281525,0.41548454761505127,0.29282352328300476,0.3966929316520691,0.5052502155303955,0.21963465213775635,0.1797693818807602,0.1826142966747284
the,0.42745697498321533,0.4133751392364502,0.21819381415843964,0.733189046382904,0.24704718589782715,0.4133751392364502,0.17356595396995544,0.5829201340675354,0.17760860919952393,0.535392165184021,0.31620436906814575,0.5107308030128479,0.5829201340675354,0.1879754215478897,0.26607486605644226,0.22068053483963013
classroom,0.2124699205160141,0.2238803505897522,0.15583519637584686,0.18854095041751862,0.3197438418865204,0.2238803505897522,0.29868021607398987,0.24022886157035828,0.41544046998023987,0.2640056908130646,0.26607048511505127,0.24903182685375214,0.24022886157035828,0.3104217052459717,0.18182285130023956,0.23190370202064514
teachers,0.2526462972164154,0.2516131103038788,0.09933348745107651,0.27737662196159363,0.42401689291000366,0.2516131103038788,0.16695812344551086,0.2509842813014984,0.7334206104278564,0.2668606638908386,0.23758941888809204,0.24610933661460876,0.2509842813014984,0.2805941104888916,0.11980735510587692,0.19522249698638916
may,0.25739946961402893,0.4155452847480774,0.1642589271068573,0.26447007060050964,0.252461314201355,0.4155452847480774,0.1945846825838089,0.29255667328834534,0.15417979657649994,0.391582727432251,0.21812210977077484,0.3428080081939697,0.29255667328834534,0.11982645094394684,0.15055087208747864,0.2768254578113556
accompany,0.2596289813518524,0.26893770694732666,0.1983618587255478,0.26545068621635437,0.17214606702327728,0.26893770694732666,0.22161047160625458,0.21991916000843048,0.2993709146976471,0.3101063072681427,0.28794705867767334,0.23859620094299316,0.21991916000843048,0.25314581394195557,0.29553645849227905,0.17882870137691498
students,0.2380729615688324,0.21702182292938232,0.11906036734580994,0.25513339042663574,0.4046291410923004,0.21702182292938232,0.16217435896396637,0.2676560878753662,0.5254908204078674,0.2905822694301605,0.2664281129837036,0.2211644947528839,0.2676560878753662,0.27379319071769714,0.08779976516962051,0.18017297983169556
on,0.34226128458976746,0.35589995980262756,0.2118636518716812,0.3966929316520691,0.20808975398540497,0.35589995980262756,0.17585624754428864,0.3848365545272827,0.1997784823179245,0.41031414270401,0.27423644065856934,0.9999999403953552,0.3848365545272827,0.1782940924167633,0.16022825241088867,0.2714994251728058
field,0.1825202852487564,0.18384042382240295,0.19923466444015503,0.20410659909248352,0.15979614853858948,0.18384042382240295,0.131705641746521,0.2030690312385559,0.16775856912136078,0.2647967040538788,0.15211299061775208,0.192391499876976,0.2030690312385559,0.1991025060415268,0.1300649642944336,0.11279727518558502
trips,0.2086525410413742,0.29564720392227173,0.09353122860193253,0.23944911360740662,0.2504025101661682,0.29564720392227173,0.17884883284568787,0.20099662244319916,0.19797804951667786,0.3429054319858551,0.2901137173175812,0.30167388916015625,0.20099662244319916,0.16688217222690582,0.05582616105675697,0.07787525653839111
